Composition Class,Deposit Name Key,Minimum Distinct Elements,Part Index,Mineable Element GUID,Mineable Element Class,Mineable Element Name,Min Percentage,Max Percentage,Probability,Curve Exponent,Quality Scale,Record GUID,Record Path
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,0,3776294d-5689-41f2-b03d-e8fcd17ede6a,Aluminium_Ore,Aluminum (Ore),30,70,1,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.5,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.1,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.5,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.3,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,5,fc62043c-3f29-4fff-b754-2301762723f7,Quantainium_Raw,Quantainium (Raw),20,50,0.12,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,0,3776294d-5689-41f2-b03d-e8fcd17ede6a,Aluminium_Ore,Aluminum (Ore),30,70,1,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.5,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.1,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.5,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.3,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Aluminium,hud_mining_asteroid_name_5,2,5,fc62043c-3f29-4fff-b754-2301762723f7,Quantainium_Raw,Quantainium (Raw),20,50,0.12,1,1,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_aluminium.xml
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,0,ee12edc1-a2c3-4202-909d-9b729a050a3f,Copper_Ore,Copper (Ore),30,70,1,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,1,220c2e18-9324-4528-b399-2f908488b204,Hephaestanite_Raw,Hephaestanite (Raw),30,60,0.5,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,2,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,Gold_Ore,Gold (Ore),20,50,0.2,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,3,8893c670-f9f7-48df-a05b-e85764994256,Taranite_Raw,Taranite (Raw),20,50,0.3,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,4,f48b147f-713e-481f-adf2-ff9869ac61bd,Bexalite_Raw,Bexalite (Raw),20,50,0.5,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,5,fc62043c-3f29-4fff-b754-2301762723f7,Quantainium_Raw,Quantainium (Raw),20,50,0.07,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
Asteroid_CType_Copper,hud_mining_asteroid_name_5,2,0,ee12edc1-a2c3-4202-909d-9b729a050a3f,Copper_Ore,Copper (Ore),30,70,1,1,1,bd7712f1-df33-42d5-a1de-571b04405f23,libs/foundry/records/mining/rockcompositionpresets/asteroid_ctype_copper.xml
