Param Type,Param Class,Highlight Occluded Alpha,Highlight Outline Width,Highlight Distant Mineables Range,Show Child Rock Radar Icon,Scale Power Graph Min,No Progress Hint Time,No Progress Hint Power,Fracture Done Feedback Duration,Max Scan Raycast Distance,Highlight Color,Highlight Color Absorbable,Highlight Color Distant,Highlight Color Distant Scanned,Camera Shake Enabled,Camera Shake Time Period,Camera Shake Frequency Noise Factor,Camera Shake Translation Noise,Camera Shake Rotation Noise,Camera Shake Max Under Optimal Window,Camera Shake In Optimal Window,Camera Shake Min In Danger Window,Camera Shake Change Lerp Speed,Camera Shake Offset Position,Camera Shake Offset Angle,Block Throttle Change When Not Firing,Throttle Reset On Stop Fire,Throttle Change Per Action,Throttle Acc Period,Throttle Acc Factor,Throttle Hold Acc Factor,Throttle RTPC,Power Capacity Per Mass,Decay Per Mass,Optimal Window Size,Optimal Window Factor,Resistance Curve Factor,Optimal Window Thinness Curve Factor,Optimal Window Max Size,Controlled Breaking Fill Rate,Controlled Breaking Fill Rate Danger,Controlled Breaking Decay Rate,Danger Breaking Fill Rate,Danger Breaking Fill Rate Exponent,Danger Breaking Decay Rate,Absorbable Volume Threshold,Child Rock Invulnerability Time,CSCU Per Volume,Default Mass,Modifier Persistence Time,Child Rock Life Timer,Child Rock Zero G Damping,Terrain Factor Static Threshold,Show Explosion FX For Surplus Child,Child Rock Inactivity Lifetime,Gadget Detach Threshold,Gadget Destroy Threshold,Danger To Gadget Damage,Waste Resource Type,Instability Wave Period,Instability Wave Variance,Instability Curve Factor,Danger Pool Factor,Explosion Default Volume,Hit History Window,Standard Deviation Multiplier,Time Exponent,Min Deviation,Extraction Magnitude,Max Effect On Instability,Fracture Particle Effect,Explosion Particle Effect,Center Rock Destroy Particle Effect,Fully Extracted Rock Particle Effect,Mineable Power Increasing Fall Off,Mineable Power Level RTPC,Mineable Danger Breaking RTPC,Mineable Optimal Breaking RTPC,Mineable Mass RTPC,Mineable Crack Glow Strength RTPC,Mining Start Trigger,Mining Stop Trigger,Good Fractured Trigger,Bad Fractured Trigger,Extracted Trigger,Cluster Detection Radius,Cluster Upper Object Count DGS,Cluster Upper Object Count Persistence,Cluster Persistence Timeout,Reset Lifetime On Move,Entity Idle Bury Only,Record GUID,Record Path
MiningAudioParams,MiningGlobalAudioParams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mineable_Rock_Power_Level,Mineable_Danger_Breaking,Mineable_Optimal_Breaking,Mineable_Mass,Mineable_Crack_Glow_Strength,Play_MCAN_Mining_Rock_Sequence,Stop_MCAN_Mining_Rock_Sequence,Play_MCAN_Mining_Rock_Explosion_Controlled,Play_MCAN_Mining_Rock_Explosion_Dangerous,Play_MCAN_Mining_Rock_Despawn,,,,,,,5f5c1a61-6500-46a1-8a01-7ba4956751d1,libs/foundry/records/miningaudioparams/miningglobalaudioparams.xml
MiningAudioParams,MiningGlobalAudioParams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mineable_Rock_Power_Level,Mineable_Danger_Breaking,Mineable_Optimal_Breaking,Mineable_Mass,Mineable_Crack_Glow_Strength,Play_MCAN_Mining_Rock_Sequence,Stop_MCAN_Mining_Rock_Sequence,Play_MCAN_Mining_Rock_Explosion_Controlled,Play_MCAN_Mining_Rock_Explosion_Dangerous,Play_MCAN_Mining_Rock_Despawn,,,,,,,5f5c1a61-6500-46a1-8a01-7ba4956751d1,libs/foundry/records/miningaudioparams/miningglobalaudioparams.xml
MiningAudioParams,MiningGlobalAudioParamsFPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Mineable_Rock_Power_Level,Mineable_Danger_Breaking,Mineable_Optimal_Breaking,Mineable_Mass,Mineable_Crack_Glow_Strength,Play_MCAN_FPS_Mining_Rock_Sequence,Stop_MCAN_FPS_Mining_Rock_Sequence,Play_PHOB_FPS_Mineable_Rock_Break_Success,Play_PHOB_FPS_Mineable_Rock_Break_Fail,,,,,,,,0246b606-78f3-407c-95cb-12ccc9496198,libs/foundry/records/miningaudioparams/miningglobalaudioparamsfps.xml
MiningAudioParams,MiningGlobalAudioParamsFPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Mineable_Rock_Power_Level,Mineable_Danger_Breaking,Mineable_Optimal_Breaking,Mineable_Mass,Mineable_Crack_Glow_Strength,Play_MCAN_FPS_Mining_Rock_Sequence,Stop_MCAN_FPS_Mining_Rock_Sequence,Play_PHOB_FPS_Mineable_Rock_Break_Success,Play_PHOB_FPS_Mineable_Rock_Break_Fail,,,,,,,,0246b606-78f3-407c-95cb-12ccc9496198,libs/foundry/records/miningaudioparams/miningglobalaudioparamsfps.xml
MiningAudioParams,MiningGlobalAudioParamsGRINROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mineable_Rock_Power_Level,Mineable_Danger_Breaking,Mineable_Optimal_Breaking,Mineable_Mass,Mineable_Crack_Glow_Strength,Play_MCAN_Grin_Roc_Mining_Rock_Sequence,Stop_MCAN_Grin_Roc_Mining_Rock_Sequence,Play_MVER_Grin_Roc_Mineable_Rock_Fracture_Success,Play_MVER_Grin_Roc_Mineable_Rock_Fracture_Fail,Play_MVER_Grin_Roc_Mineable_Rock_Despawn,,,,,,,a204c138-b6ef-418a-8079-8abbaeda3cc9,libs/foundry/records/miningaudioparams/miningglobalaudioparamsgrinroc.xml
MiningAudioParams,MiningGlobalAudioParamsGRINROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mineable_Rock_Power_Level,Mineable_Danger_Breaking,Mineable_Optimal_Breaking,Mineable_Mass,Mineable_Crack_Glow_Strength,Play_MCAN_Grin_Roc_Mining_Rock_Sequence,Stop_MCAN_Grin_Roc_Mining_Rock_Sequence,Play_MVER_Grin_Roc_Mineable_Rock_Fracture_Success,Play_MVER_Grin_Roc_Mineable_Rock_Fracture_Fail,Play_MVER_Grin_Roc_Mineable_Rock_Despawn,,,,,,,a204c138-b6ef-418a-8079-8abbaeda3cc9,libs/foundry/records/miningaudioparams/miningglobalaudioparamsgrinroc.xml
MiningControllerGlobalParams,MiningControllerParamsFPS,0.5,1,2,1,1,60,5,3,1500,"1,0.5906188,0.1589608,0.6724432","0.2961383,0.1412633,0.9911021,0.5","0.4019778,0.6938718,1,1","0.4019778,0.6938718,1,0.1441285",1,0.2,0,0,0,0.1,0.05,0.3,0.6,"0.025,0.025,0.025","2,2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0e24e0c-a940-40ee-a242-9443f5cea213,libs/foundry/records/mining/miningcontrollerparamsfps.xml
MiningControllerGlobalParams,MiningControllerParamsFPS,0.5,1,2,1,1,60,5,3,1500,"1,0.5906188,0.1589608,0.6724432","0.2961383,0.1412633,0.9911021,0.5","0.4019778,0.6938718,1,1","0.4019778,0.6938718,1,0.1441285",1,0.2,0,0,0,0.1,0.05,0.3,0.6,"0.025,0.025,0.025","2,2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0e24e0c-a940-40ee-a242-9443f5cea213,libs/foundry/records/mining/miningcontrollerparamsfps.xml
MiningControllerGlobalParams,MiningControllerParamsShip,0,1,150,1,1,60,5,3,1500,"1,0.5906188,0.1589608,0.6724432","0.2961383,0.1412633,0.9911021,0.5","0.4019778,0.6938718,1,1","0.4019778,0.6938718,1,0.1441285",1,0.2,0,0,0,0.1,0.05,0.3,0.6,"0.025,0.025,0.025","2,2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9a959a5a-fba8-452a-9620-e3712208f5e1,libs/foundry/records/mining/miningcontrollerparamsship.xml
MiningControllerGlobalParams,MiningControllerParamsShip,0,1,150,1,1,60,5,3,1500,"1,0.5906188,0.1589608,0.6724432","0.2961383,0.1412633,0.9911021,0.5","0.4019778,0.6938718,1,1","0.4019778,0.6938718,1,0.1441285",1,0.2,0,0,0,0.1,0.05,0.3,0.6,"0.025,0.025,0.025","2,2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9a959a5a-fba8-452a-9620-e3712208f5e1,libs/foundry/records/mining/miningcontrollerparamsship.xml
MiningControllerGlobalParams,MiningControllerParamsVehicle,0,1,50,1,1,60,5,3,1500,"1,0.5906188,0.1589608,0.6724432","0.2961383,0.1412633,0.9911021,0.5","0.4019778,0.6938718,1,1","0.4019778,0.6938718,1,0.1441285",1,0.2,0,0,0,0.1,0.05,0.3,0.6,"0.025,0.025,0.025","2,2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81715946-e40a-48ed-9b1e-dc3531d19423,libs/foundry/records/mining/miningcontrollerparamsvehicle.xml
MiningControllerGlobalParams,MiningControllerParamsVehicle,0,1,50,1,1,60,5,3,1500,"1,0.5906188,0.1589608,0.6724432","0.2961383,0.1412633,0.9911021,0.5","0.4019778,0.6938718,1,1","0.4019778,0.6938718,1,0.1441285",1,0.2,0,0,0,0.1,0.05,0.3,0.6,"0.025,0.025,0.025","2,2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81715946-e40a-48ed-9b1e-dc3531d19423,libs/foundry/records/mining/miningcontrollerparamsvehicle.xml
