Entity Class,Variant Family,Rarity,Element Token,Scan Signature,Record GUID,Record Path
MineableRock_AsteroidCommon_Aluminum,asteroid,common,Aluminum,4285,1c949ce0-c99b-485b-b783-2ea3b49162c0,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_aluminum.xml
MineableRock_AsteroidCommon_Aluminum,asteroid,common,Aluminum,4285,1c949ce0-c99b-485b-b783-2ea3b49162c0,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_aluminum.xml
MineableRock_AsteroidCommon_Copper,asteroid,common,Copper,4240,139a292f-037d-45ed-8f08-644b649863b2,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_copper.xml
MineableRock_AsteroidCommon_Copper,asteroid,common,Copper,4240,139a292f-037d-45ed-8f08-644b649863b2,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_copper.xml
MineableRock_AsteroidCommon_Corundum,asteroid,common,Corundum,4225,b8c75d71-52f1-44bb-9d27-61075591d91a,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_corundum.xml
MineableRock_AsteroidCommon_Corundum,asteroid,common,Corundum,4225,b8c75d71-52f1-44bb-9d27-61075591d91a,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_corundum.xml
MineableRock_AsteroidCommon_Hephaestanite,asteroid,common,Hephaestanite,4180,42b45ec5-c3d7-4075-a3ec-12d0775f69c6,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_hephaestanite.xml
MineableRock_AsteroidCommon_Hephaestanite,asteroid,common,Hephaestanite,4180,42b45ec5-c3d7-4075-a3ec-12d0775f69c6,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_hephaestanite.xml
MineableRock_AsteroidCommon_Ice,asteroid,common,Ice,4300,3aee138f-553f-44e7-bd62-4ba34e22361f,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_ice.xml
MineableRock_AsteroidCommon_Ice,asteroid,common,Ice,4300,3aee138f-553f-44e7-bd62-4ba34e22361f,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_ice.xml
MineableRock_AsteroidCommon_Iron,asteroid,common,Iron,4270,35f663f2-a499-4da3-a3ac-a1d834667931,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_iron.xml
MineableRock_AsteroidCommon_Iron,asteroid,common,Iron,4270,35f663f2-a499-4da3-a3ac-a1d834667931,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_iron.xml
MineableRock_AsteroidCommon_Quartz,asteroid,common,Quartz,4210,6b212c2b-d7a3-45a1-937c-2618301b7856,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_quartz.xml
MineableRock_AsteroidCommon_Quartz,asteroid,common,Quartz,4210,6b212c2b-d7a3-45a1-937c-2618301b7856,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_quartz.xml
MineableRock_AsteroidCommon_Silicon,asteroid,common,Silicon,4255,565948ac-8d01-42fd-994a-92898988a536,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_silicon.xml
MineableRock_AsteroidCommon_Silicon,asteroid,common,Silicon,4255,565948ac-8d01-42fd-994a-92898988a536,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_silicon.xml
MineableRock_AsteroidCommon_TEMPLATE,asteroid,common,TEMPLATE,4000,4aef9bf7-2c9a-471d-be3e-360151afb8c8,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_template.xml
MineableRock_AsteroidCommon_TEMPLATE,asteroid,common,TEMPLATE,4000,4aef9bf7-2c9a-471d-be3e-360151afb8c8,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_template.xml
MineableRock_AsteroidCommon_Tin,asteroid,common,Tin,4195,ef1b442c-d8fa-47e3-8fb6-ed58bd5c256e,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_tin.xml
MineableRock_AsteroidCommon_Tin,asteroid,common,Tin,4195,ef1b442c-d8fa-47e3-8fb6-ed58bd5c256e,libs/foundry/records/entities/mineable/mineablerock_asteroidcommon_tin.xml
MineableRock_AsteroidEpic_Lindinium,asteroid,epic,Lindinium,3400,17205afb-5064-4181-b987-d77499e087a4,libs/foundry/records/entities/mineable/mineablerock_asteroidepic_lindinium.xml
MineableRock_AsteroidEpic_Lindinium,asteroid,epic,Lindinium,3400,17205afb-5064-4181-b987-d77499e087a4,libs/foundry/records/entities/mineable/mineablerock_asteroidepic_lindinium.xml
MineableRock_AsteroidEpic_Ouratite,asteroid,epic,Ouratite,3370,28164692-18ae-403e-8290-21cd840bd427,libs/foundry/records/entities/mineable/mineablerock_asteroidepic_ouratite.xml
