Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Cooling Rate
cool_acom_s01_iceplunge,item_NameCOOL_ACOM_S01_IcePlunge,,item_DescCOOL_ACOM_S01_IcePlunge,,1,3,UNDEFINED,69,34
cool_acom_s01_quickcool,item_NameCOOL_ACOM_S01_QuickCool,,item_DescCOOL_ACOM_S01_QuickCool,,1,4,UNDEFINED,62,32
cool_acom_s01_zerorush,item_Name_COOL_ACOM_S01_ZeroRush,,item_Desc_COOL_ACOM_S01_ZeroRush,,1,2,UNDEFINED,78,34
cool_acom_s02_absolutezero,item_NameCOOL_ACOM_S02_AbsoluteZero_SCItem,,item_DescCOOL_ACOM_S02_AbsoluteZero_SCItem,,2,2,UNDEFINED,210,46
cool_acom_s02_icedive,item_NameCOOL_ACOM_S02_IceDive_SCItem,,item_DescCOOL_ACOM_S02_IceDive_SCItem,,2,3,UNDEFINED,190,46
cool_acom_s02_rapidcool,item_NameCOOL_ACOM_S02_RapidCool_SCItem,,item_DescCOOL_ACOM_S02_RapidCool_SCItem,,2,4,UNDEFINED,170,43
cool_aegs_s01_bracer,item_NameCOOL_AEGS_S01_Bracer,,item_DescCOOL_AEGS_S01_Bracer,,1,3,UNDEFINED,180,34
cool_aegs_s01_glacier,item_Name_COOL_AEGS_S01_Glacier,,item_Desc_COOL_AEGS_S01_Glacier,,1,1,UNDEFINED,230,38
cool_aegs_s01_polar,item_NameCOOL_AEGS_S01_Polar,,item_DescCOOL_AEGS_S01_Polar,,1,2,UNDEFINED,210,34
cool_aegs_s01_tundra,item_NameCOOL_AEGS_S01_Tundra,,item_DescCOOL_AEGS_S01_Tundra,,1,4,UNDEFINED,160,32
cool_aegs_s02_arctic,item_NameCOOL_AEGS_S02_Arctic,,item_DescCOOL_AEGS_S02_Arctic,,2,3,UNDEFINED,490,46
