Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Alignment Rate,Alignment Decay,Tuning Rate,Tuning Decay,Fuel Usage Mult
jdrv_aegs_s04_javelin,LOC_PLACEHOLDER,,,,4,3,UNDEFINED,77000,,,,,
jdrv_orig_s04_890j,LOC_PLACEHOLDER,,,,4,3,UNDEFINED,6300,,,,,
jdrv_rsi_s04_bengal,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,280000,,,,,
jdrv_s01_template,LOC_PLACEHOLDER,,,,1,1,UNDEFINED,170,,,,,
jdrv_s02_template,LOC_PLACEHOLDER,,,,2,1,UNDEFINED,460,,,,,
jdrv_s03_template,LOC_PLACEHOLDER,,,,3,1,UNDEFINED,1300,,,,,
jdrv_s04_template,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,3400,,,,,
jdrv_tars_s01_explorer,item_NameJUMP_TARS_S1_C,,item_DescJUMP_TARS_S1_C,,1,1,UNDEFINED,130,,,,,
jdrv_tars_s02_excelsior,item_NameJUMP_TARS_S2_C,,item_DescJUMP_TARS_S2_C,,2,3,UNDEFINED,350,,,,,
jdrv_tars_s03_exodus,item_NameJUMP_TARS_S3_C,,item_DescJUMP_TARS_S3_C,,3,3,UNDEFINED,960,,,,,
jdrv_tars_s04_c_explorer,LOC_PLACEHOLDER,,,,4,3,UNDEFINED,2700,,,,,
jdrv_wetk_s04_idris,item_NameJDRV_WETK_S04_Idris,,item_DescJDRV_WETK_S04_Idris,,4,1,UNDEFINED,41000,,,,,
jumpdriveflighttuning_default,,,,,,,,,,,,,
jumpdriveflighttuning_s01,,,,,,,,,,,,,
jumpdriveflighttuning_s02,,,,,,,,,,,,,
jumpdriveflighttuning_s03,,,,,,,,,,,,,
jumpdriveflighttuning_s04,,,,,,,,,,,,,
jumptunnelforces_default,,,,,,,,,,,,,
jumptunnelforces_s01,,,,,,,,,,,,,
jumptunnelforces_s01_modified_easy,,,,,,,,,,,,,
jumptunnelforces_s01_modified_high_control,,,,,,,,,,,,,
jumptunnelforces_s02,,,,,,,,,,,,,
jumptunnelforces_s03,,,,,,,,,,,,,
jumptunnelforces_s04,,,,,,,,,,,,,
