Clustering Class,Probability Of Clustering,Param Index,Relative Probability,Min Size,Max Size,Min Proximity,Max Proximity,Record GUID,Record Path
Asteroid_Cluster_Pyro,30,0,0.1,6,8,5,15,0afb7287-9206-44e4-ac97-d842e9131ea9,libs/foundry/records/harvestable/clusteringpresets/asteroid_cluster_pyro.xml
Asteroid_Cluster_Pyro,30,1,0.5,5,6,3,10,0afb7287-9206-44e4-ac97-d842e9131ea9,libs/foundry/records/harvestable/clusteringpresets/asteroid_cluster_pyro.xml
Asteroid_Cluster_Pyro,30,2,1,4,6,2,5,0afb7287-9206-44e4-ac97-d842e9131ea9,libs/foundry/records/harvestable/clusteringpresets/asteroid_cluster_pyro.xml
Asteroid_Lrg_Med_Sml,10,0,0.1,4,5,5,15,70128b72-7c50-4315-bed8-59a1c2ef7996,libs/foundry/records/harvestable/clusteringpresets/asteroid_lrg_med_sml.xml
Asteroid_Lrg_Med_Sml,10,1,0.5,3,4,3,10,70128b72-7c50-4315-bed8-59a1c2ef7996,libs/foundry/records/harvestable/clusteringpresets/asteroid_lrg_med_sml.xml
Asteroid_Lrg_Med_Sml,10,2,1,2,3,2,5,70128b72-7c50-4315-bed8-59a1c2ef7996,libs/foundry/records/harvestable/clusteringpresets/asteroid_lrg_med_sml.xml
Asteroid_Small,20,0,0.1,4,5,5,15,ef86f29a-d4d5-477b-bfb1-b2489311cf3a,libs/foundry/records/harvestable/clusteringpresets/asteroid_small.xml
Asteroid_Small,20,1,0.5,3,4,3,10,ef86f29a-d4d5-477b-bfb1-b2489311cf3a,libs/foundry/records/harvestable/clusteringpresets/asteroid_small.xml
Asteroid_Small,20,2,1,2,3,2,5,ef86f29a-d4d5-477b-bfb1-b2489311cf3a,libs/foundry/records/harvestable/clusteringpresets/asteroid_small.xml
Harvestables_Cluster_Large,100,0,1,5,10,5,10,50b251a4-2395-435f-bf33-53548649cd00,libs/foundry/records/harvestable/clusteringpresets/harvestables_cluster_large.xml
Harvestables_Cluster_Low,100,0,1,2,3,2,5,61404ece-5cbc-4952-805a-0053345dd91d,libs/foundry/records/harvestable/clusteringpresets/harvestables_cluster_low.xml
Harvestables_Cluster_Medium,100,0,1,3,5,3,7,c4d0e865-86f1-427f-a8d8-ff701557c269,libs/foundry/records/harvestable/clusteringpresets/harvestables_cluster_medium.xml
Mining_Rare_Cluster,5,0,0.9,2,3,2,4,9776d961-d608-47c1-a338-927a6e9e8a88,libs/foundry/records/harvestable/clusteringpresets/mining_rare_cluster.xml
Mining_Rare_Cluster,5,1,0.2,3,4,2,4,9776d961-d608-47c1-a338-927a6e9e8a88,libs/foundry/records/harvestable/clusteringpresets/mining_rare_cluster.xml
MiningCluster_Med_Lrg,100,0,0.2,10,22,3,5,d3bc17e2-7a06-450a-82a0-1c5774329054,libs/foundry/records/harvestable/clusteringpresets/miningcluster_med_lrg.xml
MiningCluster_Med_Lrg,100,1,0.3,13,24,2,8,d3bc17e2-7a06-450a-82a0-1c5774329054,libs/foundry/records/harvestable/clusteringpresets/miningcluster_med_lrg.xml
MiningCluster_Med_Lrg,100,2,0.5,15,25,1.5,10,d3bc17e2-7a06-450a-82a0-1c5774329054,libs/foundry/records/harvestable/clusteringpresets/miningcluster_med_lrg.xml
MiningCluster_Sml_Med,100,0,0.2,10,18,2,4,4ffceda3-639a-4c1f-9e24-cf4df9af1253,libs/foundry/records/harvestable/clusteringpresets/miningcluster_sml_med.xml
MiningCluster_Sml_Med,100,1,0.3,12,20,1.5,3,4ffceda3-639a-4c1f-9e24-cf4df9af1253,libs/foundry/records/harvestable/clusteringpresets/miningcluster_sml_med.xml
MiningCluster_Sml_Med,100,2,0.5,13,21,1,2,4ffceda3-639a-4c1f-9e24-cf4df9af1253,libs/foundry/records/harvestable/clusteringpresets/miningcluster_sml_med.xml
Salvage_Cluster_Elite_Common,0.8,0,1,3,3,3,10,2c2fd5fb-7e69-487c-a89b-aa7f0f81dc72,libs/foundry/records/harvestable/clusteringpresets/salvage_cluster_elite_common.xml
Salvage_Cluster_Elite_Rare,0.7,0,1,2,2,3,10,4ea7cc50-5077-41ea-875b-4df58330a0b9,libs/foundry/records/harvestable/clusteringpresets/salvage_cluster_elite_rare.xml
Salvage_Cluster_Elite_Uncommon,0.75,0,1,3,3,3,10,2239d6ba-ac77-4db4-9ac3-c16ce78f7779,libs/foundry/records/harvestable/clusteringpresets/salvage_cluster_elite_uncommon.xml
Salvage_Cluster_Normal_Common,0.2,0,1,2,2,5,15,47b073fa-4c40-4eeb-a19f-eda0ac00ba89,libs/foundry/records/harvestable/clusteringpresets/salvage_cluster_normal_common.xml
Salvage_Cluster_Normal_Rare,0.1,0,1,2,2,5,15,d822672a-2b30-4ad3-84c5-949047b978f0,libs/foundry/records/harvestable/clusteringpresets/salvage_cluster_normal_rare.xml
Salvage_Cluster_Normal_Uncommon,0.15,0,1,2,2,5,15,394e415c-d177-4b5e-97ef-8eba9eb54bbc,libs/foundry/records/harvestable/clusteringpresets/salvage_cluster_normal_uncommon.xml
Salvage_Cluster_Poor_Common,0.5,0,1,2,2,2,5,2fabb75c-c641-483e-a353-96dc83093132,libs/foundry/records/harvestable/clusteringpresets/salvage_cluster_poor_common.xml
Salvage_Cluster_Poor_Rare,0.4,0,1,3,3,2,5,2f064233-7070-4992-b62e-1c4f5dccd7eb,libs/foundry/records/harvestable/clusteringpresets/salvage_cluster_poor_rare.xml
Salvage_Cluster_Poor_Uncommon,0.5,0,1,3,3,2,5,f0dc276e-dd23-4b03-a3e8-faee717ea276,libs/foundry/records/harvestable/clusteringpresets/salvage_cluster_poor_uncommon.xml
SalvageScrap_Pyro,100,0,0.1,10,15,5,15,26f40438-7add-46ea-924a-2f3fd4acab7d,libs/foundry/records/harvestable/clusteringpresets/salvagescrap_pyro.xml
SalvageScrap_Pyro,100,1,0.5,7,10,3,10,26f40438-7add-46ea-924a-2f3fd4acab7d,libs/foundry/records/harvestable/clusteringpresets/salvagescrap_pyro.xml
SalvageScrap_Pyro,100,2,1,5,7,2,5,26f40438-7add-46ea-924a-2f3fd4acab7d,libs/foundry/records/harvestable/clusteringpresets/salvagescrap_pyro.xml
SalvageScrap,100,0,1,3,15,5,15,ea8562fe-4d9f-4366-a5c2-114d18a2f7c3,libs/foundry/records/harvestable/clusteringpresets/salvagescrap.xml
SalvageScrap,100,1,1,3,8,3,10,ea8562fe-4d9f-4366-a5c2-114d18a2f7c3,libs/foundry/records/harvestable/clusteringpresets/salvagescrap.xml
SalvageScrap,100,2,1,3,5,2,5,ea8562fe-4d9f-4366-a5c2-114d18a2f7c3,libs/foundry/records/harvestable/clusteringpresets/salvagescrap.xml
CommonShipMineable_Cluster,100,0,0.1,6,6,1,12,1f5f80cc-1b4d-41df-8481-5d07d00441a7,libs/foundry/records/harvestable/clusteringpresets/shipmineables/commonshipmineable_cluster.xml
CommonShipMineable_Cluster,100,1,0.3,5,5,1,8,1f5f80cc-1b4d-41df-8481-5d07d00441a7,libs/foundry/records/harvestable/clusteringpresets/shipmineables/commonshipmineable_cluster.xml
CommonShipMineable_Cluster,100,2,0.6,4,4,1,6,1f5f80cc-1b4d-41df-8481-5d07d00441a7,libs/foundry/records/harvestable/clusteringpresets/shipmineables/commonshipmineable_cluster.xml
EpicShipMineable_Cluster,40,0,0.1,3,3,1,12,b097c899-4a14-4092-8d07-75c1cf9d05c2,libs/foundry/records/harvestable/clusteringpresets/shipmineables/epicshipmineable_cluster.xml
EpicShipMineable_Cluster,40,1,0.3,2,2,1,8,b097c899-4a14-4092-8d07-75c1cf9d05c2,libs/foundry/records/harvestable/clusteringpresets/shipmineables/epicshipmineable_cluster.xml
LegendaryShipMineable_Cluster,25,0,0.1,2,2,1,12,3638ea41-8218-4f04-948c-40beaa3e9ee9,libs/foundry/records/harvestable/clusteringpresets/shipmineables/legendaryshipmineable_cluster.xml
RareShipMineable_Cluster,100,0,0.1,4,4,1,12,cd074871-2f6d-45c1-a88f-38b21ef02309,libs/foundry/records/harvestable/clusteringpresets/shipmineables/rareshipmineable_cluster.xml
RareShipMineable_Cluster,100,1,0.3,3,3,1,8,cd074871-2f6d-45c1-a88f-38b21ef02309,libs/foundry/records/harvestable/clusteringpresets/shipmineables/rareshipmineable_cluster.xml
RareShipMineable_Cluster,100,2,0.6,2,2,1,6,cd074871-2f6d-45c1-a88f-38b21ef02309,libs/foundry/records/harvestable/clusteringpresets/shipmineables/rareshipmineable_cluster.xml
UncommonShipMineable_Cluster,100,0,0.1,5,5,1,12,cf2ebacb-255a-40e6-b300-7414c949ce76,libs/foundry/records/harvestable/clusteringpresets/shipmineables/uncommonshipmineable_cluster.xml
UncommonShipMineable_Cluster,100,1,0.3,4,4,1,8,cf2ebacb-255a-40e6-b300-7414c949ce76,libs/foundry/records/harvestable/clusteringpresets/shipmineables/uncommonshipmineable_cluster.xml
UncommonShipMineable_Cluster,100,2,0.6,3,3,1,6,cf2ebacb-255a-40e6-b300-7414c949ce76,libs/foundry/records/harvestable/clusteringpresets/shipmineables/uncommonshipmineable_cluster.xml
