Location Class,Source Reason,Name Key,Description Key,Callout 1 Key,Callout 2 Key,Callout 3 Key,Type GUID,Parent GUID,Parent Class,Parent Path,Location Hierarchy Tag,Nav Icon,Size,Hide In Starmap,Hide In World,Is Scannable,Block Travel,Arrival Radius,Adoption Radius,Set Entity Location On Enter,Expose For Player Created Missions,Record GUID,Record Path
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_01,class-or-path-mining,ab_mine_pyro_regiona_med_001,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,544034db-6fde-44b4-aba8-c2ea35421ccd,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_01.xml
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_02,class-or-path-mining,ab_mine_pyro_regiona_med_002,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,f190a18c-c7ec-4d7f-8c61-5ebd26b6503d,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_02.xml
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_03,class-or-path-mining,ab_mine_pyro_regiona_med_003,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,37f2fe41-c155-42fe-a954-e813c1b5af59,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_03.xml
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_04,class-or-path-mining,ab_mine_pyro_regiona_med_004,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,2c507fae-95ea-4dfa-ac40-54757f346cc5,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_04.xml
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_05,class-or-path-mining,ab_mine_pyro_regiona_med_005,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,4f03be5d-618e-4683-9a4c-6584304f485d,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_05.xml
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_06,class-or-path-mining,ab_mine_pyro_regiona_med_006,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,489db56c-b334-4813-b6c7-f96b521edeae,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_06.xml
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_07,class-or-path-mining,ab_mine_pyro_regiona_med_007,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,029ab865-e8ac-4cec-9a61-5e39125126b3,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_07.xml
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_08,class-or-path-mining,ab_mine_pyro_regiona_med_008,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,4f6a3169-12b6-4298-b7b7-14480584c0d5,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_08.xml
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_09,class-or-path-mining,ab_mine_pyro_regiona_med_009,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,95b26839-a3d6-4803-aa9c-45d7f99111d4,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_09.xml
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_10,class-or-path-mining,ab_mine_pyro_regiona_med_010,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,5166bda3-7234-4769-8d2d-b86710ced303,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_10.xml
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_11,class-or-path-mining,ab_mine_pyro_regiona_med_011,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,9f015be6-8431-4d91-b243-994785764219,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_11.xml
AsteroidCluster_MiningBase_Pyro_RegionA_Medium_12,class-or-path-mining,ab_mine_pyro_regiona_med_012,ab_mine_pyro_desc,LOC_UNINITIALIZED,LOC_UNINITIALIZED,LOC_UNINITIALIZED,e60452a5-b85c-4ab1-97e7-9cefb466f87b,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,400,0,0,0,0,18000,20000,1,0,55fd5203-5587-4115-997a-566e939b42df,libs/foundry/records/starmap/pu/asteroidcluster_miningbase_pyro_regiona_medium_12.xml
