Distribution Class,Distribution Type,Mineable Family,Location GUID,Location Class,Location Path,Min Quality,Max Quality,Mean,Stddev,Record GUID,Record Path
FPSMineable_QualityDistribution_Carinite,default,fpsmineables,,,,501,1000,203,270,82a3ee12-b15d-44df-a52f-f2122cec7ff1,libs/foundry/records/crafting/qualitydistribution/fpsmineables/fpsmineable_qualitydistribution_carinite.xml
FPSMineable_QualityDistribution_Default,default,fpsmineables,,,,201,1000,201,298,ef749246-fa19-45bf-ae65-1d5a02e51c98,libs/foundry/records/crafting/qualitydistribution/fpsmineables/fpsmineable_qualitydistribution_default.xml
FPSMineable_QualityDistribution_Pyro,location-override,fpsmineables,286cb603-b4ae-4279-80a1-d4505fee1916,PyroSolarSystem,libs/foundry/records/starmap/pu/pyrosolarsystem.xml,201,1000,209,308,d4574707-cc74-423b-b098-d061bd500d39,libs/foundry/records/crafting/qualitydistribution/fpsmineables/fpsmineable_qualitydistribution_pyro.xml
GroundMineable_QualityDistribution_Default,default,groundmineables,,,,1,1000,297,256,6279bffe-7818-4f09-8396-5b542a786ad8,libs/foundry/records/crafting/qualitydistribution/groundmineables/groundmineable_qualitydistribution_default.xml
GroundMineable_QualityDistribution_Pyro,location-override,groundmineables,286cb603-b4ae-4279-80a1-d4505fee1916,PyroSolarSystem,libs/foundry/records/starmap/pu/pyrosolarsystem.xml,1,1000,324,256,00598851-c876-42de-b8b8-5cdca885fb7e,libs/foundry/records/crafting/qualitydistribution/groundmineables/groundmineable_qualitydistribution_pyro.xml
CommonShipMineable_QualityDistribution_Default,default,shipmineables,,,,501,1000,105,209,48928819-0ff4-4804-b4d7-210b1bcaf030,libs/foundry/records/crafting/qualitydistribution/shipmineables/commonshipmineable_qualitydistribution_default.xml
CommonShipMineable_QualityOverride_Pyro,location-override,shipmineables,286cb603-b4ae-4279-80a1-d4505fee1916,PyroSolarSystem,libs/foundry/records/starmap/pu/pyrosolarsystem.xml,501,1000,104,214,6b3f9232-d6f7-4ce9-8c30-f21aab55f073,libs/foundry/records/crafting/qualitydistribution/shipmineables/commonshipmineable_qualityoverride_pyro.xml
EpicShipMineable_QualityDistribution_Default,default,shipmineables,,,,501,1000,118,241,62d5b862-9ee1-4b8f-bbf7-6ab0ef707ad7,libs/foundry/records/crafting/qualitydistribution/shipmineables/epicshipmineable_qualitydistribution_default.xml
EpicShipMineable_QualityOverride_Pyro,location-override,shipmineables,286cb603-b4ae-4279-80a1-d4505fee1916,PyroSolarSystem,libs/foundry/records/starmap/pu/pyrosolarsystem.xml,501,1000,116,249,2b2159cc-3c40-4e20-9090-ec175670142b,libs/foundry/records/crafting/qualitydistribution/shipmineables/epicshipmineable_qualityoverride_pyro.xml
LegendaryShipMineable_QualityDistribution_Default,default,shipmineables,,,,501,1000,121,248,3b944c86-8b9c-426a-a7b7-299bc46cb1c2,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualitydistribution_default.xml
LegendaryShipMineable_QualityOverride_Pyro,location-override,shipmineables,286cb603-b4ae-4279-80a1-d4505fee1916,PyroSolarSystem,libs/foundry/records/starmap/pu/pyrosolarsystem.xml,501,1000,123,256,2a1474d0-b0d9-4b70-8abf-3178aab270a9,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_pyro.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,286cb603-b4ae-4279-80a1-d4505fee1916,PyroSolarSystem,libs/foundry/records/starmap/pu/pyrosolarsystem.xml,501,1000,123,256,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,42f77630-6ab2-403b-8443-0dc2c35c8d61,AsteroidClusterBase_Nyx_Rockcracker,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
LegendaryShipMineable_QualityOverride_RCD,location-override,shipmineables,36a9e3b4-cb53-4dab-8cf3-d630e1dc089f,AsteroidClusterBase_Nyx_Rockcracker_001,libs/foundry/records/starmap/pu/asteroidclusterbase_nyx_rockcracker_001.xml,651,1000,100,190,c2bace55-b544-49f2-a0e6-a7f78e56d6be,libs/foundry/records/crafting/qualitydistribution/shipmineables/legendaryshipmineable_qualityoverride_rcd.xml
