Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Type,Charges,Duration,Resistance,Instability,Optimal Charge Zone,Optimal Rate,Shatter Damage,Cluster Factor,Overcharge Rate,Inert Materials
argo_mpuv_arm,ui_Mining_ShipMiningArm,,,,1,1,UNDEFINED,,,,,,,,,,,,
drak_golem_mining_arm,ui_Mining_ShipMiningArm,,,,1,1,UNDEFINED,,,,,,,,,,,,
mining_modules_active_brandt,item_Mining_Consumable_Brandt,,item_Mining_Consumable_Brandt_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_active_forel,item_Mining_Consumable_Forel,,item_Mining_Consumable_Forel_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_active_lifeline,item_Mining_Consumable_Lifeline,,item_Mining_Consumable_Lifeline_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_active_optimum,item_Mining_Consumable_Optimum,,item_Mining_Consumable_Optimum_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_active_rime,item_Mining_Consumable_Rime,,item_Mining_Consumable_Rime_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_active_stampede,item_Mining_Consumable_Stampede,,item_Mining_Consumable_Stampede_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_active_surge,item_Mining_Consumable_Surge,,item_Mining_Consumable_Surge_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_active_torpid,item_Mining_Consumable_Torpid,,item_Mining_Consumable_Torpid_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_fltr_mk1,item_Mining_Modules_Passive_FLTR_MK1,,item_Mining_Modules_Passive_FLTR_MK1_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_fltr_mk2,item_Mining_Modules_Passive_FLTR_MK2,,item_Mining_Modules_Passive_FLTR_MK2_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_fltr_mk3,item_Mining_Modules_Passive_FLTR_MK3,,item_Mining_Modules_Passive_FLTR_MK3_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_focus_mk1,item_Mining_Modules_Passive_Focus_MK1,,item_Mining_Modules_Passive_Focus_MK1_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_focus_mk2,item_Mining_Modules_Passive_Focus_MK2,,item_Mining_Modules_Passive_Focus_MK2_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_focus_mk3,item_Mining_Modules_Passive_Focus_MK3,,item_Mining_Modules_Passive_Focus_MK3_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_rieger_mk1,item_Mining_Modules_Passive_Rieger_MK1,,item_Mining_Modules_Passive_Rieger_MK1_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_rieger_mk2,item_Mining_Modules_Passive_Rieger_MK2,,item_Mining_Modules_Passive_Rieger_MK2_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_rieger_mk3,item_Mining_Modules_Passive_Rieger_MK3,,item_Mining_Modules_Passive_Rieger_MK3_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_torrent_mk1,item_Mining_Modules_Passive_Torrent_MK1,,item_Mining_Modules_Passive_Torrent_MK1_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_torrent_mk2,item_Mining_Modules_Passive_Torrent_MK2,,item_Mining_Modules_Passive_Torrent_MK2_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_torrent_mk3,item_Mining_Modules_Passive_Torrent_MK3,,item_Mining_Modules_Passive_Torrent_MK3_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_vaux_mk1,item_Mining_Modules_Passive_Vaux_MK1,,item_Mining_Modules_Passive_Vaux_MK1_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_vaux_mk2,item_Mining_Modules_Passive_Vaux_MK2,,item_Mining_Modules_Passive_Vaux_MK2_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_vaux_mk3,item_Mining_Modules_Passive_Vaux_MK3,,item_Mining_Modules_Passive_Vaux_MK3_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_xtr_mk1,item_Mining_Modules_Passive_XTR_MK1,,item_Mining_Modules_Passive_XTR_MK1_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_xtr_mk2,item_Mining_Modules_Passive_XTR_MK2,,item_Mining_Modules_Passive_XTR_MK2_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_passive_xtr_mk3,item_Mining_Modules_Passive_XTR_MK3,,item_Mining_Modules_Passive_XTR_MK3_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_vehiclemod_argogeo,item_Mining_Modules_VehicleMod_ARGOGeo_Name,,item_Mining_Modules_VehicleMod_ARGOGeo_Desc,,1,1,Gun,200,,,,,,,,,,,
mining_modules_vehiclemod_rocds,item_Mining_Modules_VehicleMod_ROCds_Name,,item_Mining_Modules_VehicleMod_ROCds_Desc,,1,1,Gun,200,,,,,,,,,,,
misc_prospector_mining_arm,ui_Mining_ShipMiningArm,,,,1,1,UNDEFINED,,,,,,,,,,,,
