Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Tracking Signal,Damage Total,Damage Physical,Damage Energy,Damage Distortion,Speed,Arm Delay,Lock Delay,Lock Range,Lock Angle,Explosion Radius
bomb_s03_fski_thunderball,item_NameBOMB_S03_FSKI_Thunderball,item_NameBOMB_S03_FSKI_Thunderball_short,item_DescBOMB_S03_FSKI_Thunderball,,3,1,Utility,1000,,,,,,,,,,,
bomb_s05_fski,item_NameBOMB_S05_FSKI_Stormburst,item_NameBOMB_S05_FSKI_Stormburst_short,item_DescBOMB_S05_FSKI_Stormburst,,5,1,Utility,1000,,,,,,,,,,,
bomb_s10_fski_colossus,item_NameBOMB_S10_FSKI_Colossus,item_NameBOMB_S10_FSKI_Colossus_short,item_DescBOMB_S10_FSKI_Colossus,,10,1,Utility,1000,,,,,,,,,,,
gmisl_s01_cs_fski_spark,item_NameGMISL_S01_CS_FSKI_Spark,item_NameGMISL_S01_CS_FSKI_Spark_short,item_DescGMISL_S01_CS_FSKI_Spark,,1,1,GroundVehicleMissile,25,,,,,,,,,,,
gmisl_s01_em_behr_pioneer,item_NameGMISL_S01_EM_BEHR_Pioneer,item_NameGMISL_S01_EM_BEHR_Pioneer_short,item_DescGMISL_S01_EM_BEHR_Pioneer,,1,1,GroundVehicleMissile,25,,,,,,,,,,,
gmisl_s01_em_thcn_taskforce,item_NameGMISL_S01_EM_THCN_TaskForce,item_NameGMISL_S01_EM_THCN_TaskForce_short,item_DescGMISL_S01_EM_THCN_TaskForce,,1,1,GroundVehicleMissile,25,,,,,,,,,,,
gmisl_s01_ir_behr_marksman,item_NameGMISL_S01_IR_BEHR_Marksman,item_NameGMISL_S01_IR_BEHR_Marksman_short,item_DescGMISL_S01_IR_BEHR_Marksman,,1,1,GroundVehicleMissile,25,,,,,,,,,,,
gmisl_s02_cs_fski_tempest,item_NameGMISL_S02_CS_FSKI_Tempest,item_NameGMISL_S02_CS_FSKI_Tempest_short,item_DescGMISL_S02_CS_FSKI_Tempest,,2,1,GroundVehicleMissile,25,,,,,,,,,,,
gmisl_s02_cs_thcn_strikeforce,item_NameGMISL_S02_CS_THCN_StrikeForce,item_NameGMISL_S02_CS_THCN_StrikeForce_short,item_DescGMISL_S02_CS_THCN_StrikeForce,,2,1,GroundVehicleMissile,25,,,,,,,,,,,
gmisl_s02_em_taln_dominator,item_NameGMISL_S02_EM_TALN_Dominator,item_NameGMISL_S02_EM_TALN_Dominator_short,item_DescGMISL_S02_EM_TALN_Dominator,,2,1,GroundVehicleMissile,25,,,,,,,,,,,
