Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Missile Quantity,Missile Size
mrck_s03_aegs_sabre_firebird,item_NameMRCK_S03_AEGS_Sabre_Firebird,,item_DescMRCK_S03_AEGS_Sabre_Firebird,,6,1,MissileRack,200,,
mrck_s04_aegs_redeemer,item_NameMRCK_S04_BEHR_Quad_S02,,item_DescMRCK_S04_BEHR_Quad_S02,,4,1,MissileRack,200,,
mrck_s04_aegs_vanguard,item_NameMRCK_S04_BEHR_Quad_S02,,item_DescMRCK_S04_BEHR_Quad_S02,,4,1,MissileRack,200,,
mrck_s05_aegs_idris_left,item_NameAEGS_MRCK_S05_Bespoke,item_NameAEGS_MRCK_S05_Bespoke_Short,item_DescAEGS_MRCK_S05_Bespoke,,5,1,MissileRack,200,,
mrck_s05_aegs_idris_right,item_NameAEGS_MRCK_S05_Bespoke,item_NameAEGS_MRCK_S05_Bespoke_Short,item_DescAEGS_MRCK_S05_Bespoke,,5,1,MissileRack,200,,
mrck_s05_aegs_vanguard,item_NameMRCK_S05_AEGS_Vanguard,,item_DescMRCK_S05_AEGS_Vanguard,,5,1,MissileRack,200,,
mrck_s08_aegs_idris,item_NameAEGS_MRCK_S08_Bespoke,,item_DescAEGS_MRCK_S08_Bespoke,,8,1,MissileRack,5000,,
mrck_s09_aegs_eclipse,item_NameMRCK_S09_AEGS_Eclipse,,item_DescMRCK_S09_AEGS_Eclipse,,9,1,MissileRack,200,,
mrck_s09_aegs_retaliator_fore,item_NameMRCK_S09_AEGS_Retaliator,,item_DescMRCK_S09_AEGS_Retaliator,,9,1,MissileRack,200,,
mrck_s09_aegs_retaliator_rear,item_NameMRCK_S09_AEGS_Retaliator,,item_DescMRCK_S09_AEGS_Retaliator,,9,1,MissileRack,200,,
mrck_s12_aegs_javelin,item_NameMRCK_S09_AEGS_Retaliator,,item_DescMRCK_S09_AEGS_Retaliator,,9,1,MissileRack,10000,,
mrck_anvl_ballista_quad_s05,item_NameMRCK_S05_ANVL_Ballista,,item_DescMRCK_S05_ANVL_Ballista,,5,1,MissileRack,,,
mrck_s04_anvl_hornet_f7cm_mk2_turret,item_NameMRCK_S04_ANVL_Hornet_F7CM_Mk2_Turret,,item_DescMRCK_S04_ANVL_Hornet_F7CM_Mk2_Turret,,4,1,MissileRack,200,,
mrck_s04_anvl_lightning_f8_quad,item_NameMRCK_S04_BEHR_Quad_S02,,item_DescMRCK_S04_BEHR_Quad_S02,,4,1,MissileRack,200,,
mrck_s06_anvl_gladiator,item_NameMRCK_S06_ANVL_Gladiator,,item_DescMRCK_S06_ANVL_Gladiator,,6,1,MissileRack,200,,
mrck_s07_anvl_ballista_duel,item_NameMRCK_S07_ANVL_Ballista,,item_DescMRCK_S07_ANVL_Ballista,,7,1,MissileRack,,,
mrck_s01_behr_single_s01,item_NameMRCK_S01_BEHR_Single_S01,,item_DescMRCK_S01_BEHR_Single_S01,,1,1,MissileRack,200,,
mrck_s01_krig_quad,item_SubTypeMissileRack,,item_DescMRCK_S01_BEHR_Single_S01,,1,1,MissileRack,200,,
mrck_s01_krig_quad_right,item_SubTypeMissileRack,,item_DescMRCK_S01_BEHR_Single_S01,,1,1,MissileRack,200,,
mrck_s02_behr_dual_s01,item_NameMRCK_S02_BEHR_Dual_S01,,item_DescMRCK_S02_BEHR_Dual_S01,,2,1,MissileRack,200,,
