Localization Key,Localization Role,Attribute,Record Type,Entity Class,Record GUID,Record Path
am_CFP_Delivery_title_1,title,title,MissionBrokerEntry,PU_Delivery_Local_legal_outpost_Pyro_CFP,2b2aca9f-282b-481f-89ac-c44e99f491a3,libs/foundry/records/missionbroker/pu_missions/delivery/pu_delivery_local_legal_outpost_pyro_cfp.xml
am_destroytripmine_title,title,title,MissionBrokerEntry,PU_Destroy_TripMines,ab98532e-2e71-4a8c-8333-c96b8aafc124,libs/foundry/records/missionbroker/pu_missions/infiltrateanddefend/pu_destroy_tripmines.xml
am_elimall_hangar_rr_Pyro1_desc,description,description,MissionBrokerEntry,PU_EliminateAll_Stations_Hangar_Pyro_RR_Hard,9515db5a-aead-44f1-8244-6af45dda52f1,libs/foundry/records/missionbroker/pu_missions/infiltrateanddefend/pu_eliminateall_stations_hangar_pyro_rr_hard.xml
am_elimall_hangar_rr_Pyro1_desc,description,description,MissionBrokerEntry,PU_EliminateAll_Stations_Hangar_Pyro_RR_Medium,38db2c39-9814-4e09-a0c2-3bc2c0946812,libs/foundry/records/missionbroker/pu_missions/infiltrateanddefend/pu_eliminateall_stations_hangar_pyro_rr_medium.xml
am_MultiElimBoss_desc,description,description,MissionBrokerEntry,PU_MultiElimAllAndBoss_DC_Stanton,d8f8c903-5a7a-4ab8-aecf-c24c3fe3231c,libs/foundry/records/missionbroker/pu_missions/combinedmissions/multielimallandboss/pu_multielimallandboss_dc_stanton.xml
am_MultiElimBoss_desc,description,description,MissionBrokerEntry,PU_MultiElimAllAndBoss_DistributionCentres,4fe49da6-f66c-422b-a935-fc9d6db1c756,libs/foundry/records/missionbroker/pu_missions/combinedmissions/multielimallandboss/pu_multielimallandboss_distributioncentres.xml
am_MultiElimBoss_title,title,title,MissionBrokerEntry,PU_MultiElimAllAndBoss_DC_Stanton,d8f8c903-5a7a-4ab8-aecf-c24c3fe3231c,libs/foundry/records/missionbroker/pu_missions/combinedmissions/multielimallandboss/pu_multielimallandboss_dc_stanton.xml
am_MultiElimBoss_title,title,title,MissionBrokerEntry,PU_MultiElimAllAndBoss_DistributionCentres,4fe49da6-f66c-422b-a935-fc9d6db1c756,libs/foundry/records/missionbroker/pu_missions/combinedmissions/multielimallandboss/pu_multielimallandboss_distributioncentres.xml
am_otlw_elimall_hatch_desc_Pyro2,description,description,MissionBrokerEntry,PU_EliminateAll_Stations_Hatch_Pyro_RR_Hard,b1a5028d-2085-4507-937d-b661a7331df0,libs/foundry/records/missionbroker/pu_missions/infiltrateanddefend/pu_eliminateall_stations_hatch_pyro_rr_hard.xml
am_RCJ_Pyro1_desc,description,description,MissionBrokerEntry,PU_RemoveClaimJumpers_Pyro_HeadHunters_Pyro1,3d51c213-7aab-4512-90f1-4e0ee39f2862,libs/foundry/records/missionbroker/pu_missions/pu_mercenary/pu_removeclaimjumpers_pyro_headhunters_pyro1.xml
