Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Power Output,EM Per Segment
powr_acom_s01_lumacore,item_Name_POWR_ACOM_S01_LumaCore,,item_Desc_POWR_ACOM_S01_LumaCore,,1,1,Power,140,,
powr_acom_s01_starheart,item_NamePOWR_ACOM_S01_StarHeart,,item_DescPOWR_ACOM_S01_StarHeart,,1,2,Power,120,,
powr_acom_s01_sunflare,item_NamePOWR_ACOM_S01_SunFlare_SCItem,,item_DescPOWR_ACOM_S01_Sunflare,,1,3,Power,110,,
powr_acom_s02_luxcore,item_NamePOWR_ACOM_S02_LuxCore_SCItem,,item_DescPOWR_ACOM_S02_LuxCore_SCItem,,2,1,Power,380,,
powr_acom_s02_solarflare,item_Name_POWR_ACOM_S02_SolarFlare,,item_Desc_POWR_ACOM_S02_SolarFlare,,2,3,Power,290,,
powr_acom_s02_starburn,item_NamePOWR_ACOM_S02_StarBurn_SCItem,,item_DescPOWR_ACOM_S02_StarBurn_SCItem,,2,2,Power,330,,
powr_aegs_s01_charger,item_NamePOWR_AEGS_S01_Charger,,item_DescPOWR_AEGS_S01_Charger,,1,4,Power,240,,
powr_aegs_s01_fierellcascade,item_NamePOWR_AEGS_S01_FierellCascade_SCItem,,item_Desc_POWR_AEGS_S01_FierellCascade,,1,2,Power,310,,
powr_aegs_s01_quadracell,item_Name_POWR_AEGS_S01_QuadraCell,,item_Desc_POWR_AEGS_S01_QuadraCell,,1,1,Power,350,,
powr_aegs_s01_regulus,item_NamePOWR_AEGS_S01_Regulus,,item_DescPOWR_AEGS_S01_Regulus,,1,3,Power,270,,
powr_aegs_s02_bolide,item_Name_POWR_AEGS_S02_Bolide,,item_Desc_POWR_AEGS_S02_Bolide,,2,2,Power,860,,
powr_aegs_s02_maelstrom,item_NamePOWR_AEGS_S02_Maelstrom_SCItem,,item_DescPOWR_AEGS_S02_Maelstrom,,2,3,Power,750,,
powr_aegs_s02_quadracellmt,item_NamePOWR_AEGS_S02_QuadracellMT_SCItem,,item_DescPOWR_AEGS_S02_QuadracellMT_SCItem,,2,1,Power,980,,
powr_aegs_s02_vortex,item_NamePOWR_AEGS_S02_Vortex,,item_DescPOWR_AEGS_S02_Vortex,,2,4,Power,650,,
powr_aegs_s03_centurion,item_Name_POWR_AEGS_S03_Centurion,,item_Desc_POWR_AEGS_S03_Centurion,,3,3,Power,2100,,
powr_aegs_s03_drassik,item_NamePOWR_AEGS_S03_Drassik_SCItem,,item_DescPOWR_AEGS_S03_Drassik_SCItem,,3,4,Power,1800,,
powr_aegs_s03_fulgur,item_Name_POWR_AEGS_S03_Fulgur,,item_Desc_POWR_AEGS_S03_Fulgur,,3,2,Power,2400,,
powr_aegs_s03_quadracellmx,item_NamePOWR_AEGS_S03_QuadracellMX_SCItem,,item_DescPOWR_AEGS_S03_QuadracellMX_SCItem,,3,1,Power,2700,,
powr_aegs_s04_idris,item_NameIdris_PowerPlant,,item_DescIdris_PowerPlant,,4,1,Power,56000,,
powr_aegs_s04_reclaimer,item_NameIdris_PowerPlant,,item_DescIdris_PowerPlant,,4,1,Power,6300,,
powr_amrs_s01_dynaflux,item_Name_POWR_AMRS_S01_DynaFlux,,item_Desc_POWR_AMRS_S01_DynaFlux,,1,2,Power,310,,
powr_amrs_s01_hypergen,item_NamePOWR_AMRS_S01_HyperGen,,item_DescPOWR_AMRS_S01_HyperGen,,1,4,Power,240,,
powr_amrs_s01_js300,item_NamePOWR_AMRS_S01_JS300_SCItem,,item_DescPOWR_AMRS_S01_JS300_SCItem,,1,1,Power,350,,
powr_amrs_s01_overdrive,item_NamePOWR_AMRS_S01_OverDrive,,item_DescPOWR_AMRS_S01_OverDrive,,1,3,Power,270,,
powr_amrs_s02_exogen,item_NamePOWR_AMRS_S02_ExoGen,,item_DescPOWR_AMRS_S02_ExoGen,,2,4,Power,650,,
powr_amrs_s02_js400,item_NamePOWR_AMRS_S02_JS400_SCItem,,item_DescPOWR_AMRS_S02_JS400_SCItem,,2,1,Power,980,,
powr_amrs_s02_turbodrive,item_Name_POWR_AMRS_S02_TurboDrive,,item_Desc_POWR_AMRS_S02_TurboDrive,,2,3,Power,750,,
powr_amrs_s02_ultraflux,item_NamePOWR_AMRS_S02_UltraFlux_SCItem,,item_DescPOWR_AMRS_S02_UltraFlux_SCItem,,2,2,Power,860,,
powr_amrs_s03_js500,item_NamePOWR_AMRS_S03_JS500_SCItem,,item_DescPOWR_AMRS_S03_JS500_SCItem,,3,1,Power,2700,,
powr_amrs_s03_megaflux,item_Name_POWR_AMRS_S03_MegaFlux,,item_Desc_POWR_AMRS_S03_MegaFlux,,3,2,Power,2400,,
powr_amrs_s03_smartgen,item_Name_POWR_AMRS_S03_SmartGen,,item_Desc_POWR_AMRS_S03_SmartGen,,3,4,Power,1800,,
powr_amrs_s03_superdrive,item_NamePOWR_AMRS_S03_SuperDrive_SCItem,,item_DescPOWR_AMRS_S03_SuperDrive,,3,3,Power,2100,,
powr_just_s00_defiant,item_Name_POWR_JUST_S00_Defiant,,item_Desc_POWR_JUST_S00_Defiant,,0,2,Power,98,,
powr_just_s00_jennet,item_NamePOWR_JUST_S00_Jennet_SCItem,,item_DescPOWR_JUST_S00_Jennet_SCItem,,0,4,Power,74,,
powr_just_s00_steadfast,item_NamePOWR_JUST_S00_SteadFast,,item_DescPOWR_JUST_S00_SteadFast,,0,3,Power,85,,
powr_just_s01_breton,item_Name_POWR_JUST_S01_Breton,,item_Desc_POWR_JUST_S01_Breton,,1,1,Power,300,,
powr_just_s01_endurance,item_NamePOWR_JUST_S01_Endurance,,item_DescPOWR_JUST_S01_Endurance,,1,2,Power,270,,
powr_just_s01_fortitude,item_NamePOWR_JUST_S01_Fortitude_SCItem,,item_Desc_POWR_JUST_S01_Fortitude,,1,3,Power,230,,
powr_just_s01_roughneck,item_NamePOWR_JUST_S01_Roughneck_SCItem,,item_DescPOWR_JUST_S01_Roughneck,,1,4,Power,200,,
powr_just_s02_diligence,item_Name_POWR_JUST_S02_Diligence,,item_Desc_POWR_JUST_S02_Diligence,,2,3,Power,640,,
powr_just_s02_genoa,item_NamePOWR_JUST_S02_Genoa_SCItem,,item_DescPOWR_JUST_S02_Genoa_SCItem,,2,1,Power,840,,
powr_just_s02_sedulity,item_Name_POWR_JUST_S02_Sedulity,,item_Desc_POWR_JUST_S02_Sedulity,,2,2,Power,740,,
powr_just_s02_trommel,item_NamePOWR_JUST_S02_Trommel_SCItem,,item_DescPOWR_JUST_S02_Trommel,,2,4,Power,560,,
powr_just_s03_durango,item_Name_POWR_JUST_S03_Durango,,item_Desc_POWR_JUST_S03_Durango,,3,1,Power,2300,,
powr_just_s03_ginzel,item_NamePOWR_JUST_S03_Ginzel_SCItem,,item_DescPOWR_JUST_S03_Ginzel,,3,3,Power,1800,,
powr_just_s03_reliance,item_Name_POWR_JUST_S03_Reliance,,item_Desc_POWR_JUST_S03_Reliance,,3,2,Power,2000,,
powr_lplt_s00_durajet,item_NamePOWR_LPLT_S00_DuraJet_SCItem,,item_DescPOWR_LPLT_S00_DuraJet_SCItem,,0,4,Power,62,,
powr_lplt_s00_ionwave,item_Name_POWR_LPLT_S00_IonWave,,item_Desc_POWR_LPLT_S00_IonWave,,0,2,Power,82,,
powr_lplt_s00_radix,item_NamePOWR_LPLT_S00_Radix,,item_DescPOWR_LPLT_S00_Radix,,0,3,Power,71,,
powr_lplt_s00_radix_scitem_sm_te,item_NamePOWR_LPLT_S00_Radix,,item_DescPOWR_LPLT_S00_Radix,,0,3,Power,71,,
powr_lplt_s01_ionburst,item_NamePOWR_LPLT_S01_IonBurst,,item_DescPOWR_LPLT_S01_IonBurst,,1,2,Power,220,,
powr_lplt_s01_powerbolt,item_NamePOWR_LPLT_S01_PowerBolt_SCItem,,item_DescPOWR_LPLT_S01_PowerBolt,,1,3,Power,200,,
powr_lplt_s01_zapjet,item_NamePOWR_LPLT_S01_ZapJet_SCItem,,item_DescPOWR_LPLT_S01_ZapJet,,1,4,Power,170,,
powr_lplt_s02_fullforce,item_Name_POWR_LPLT_S02_FullForce,,item_Desc_POWR_LPLT_S02_FullForce,,2,3,Power,540,,
powr_lplt_s02_ionsurge,item_NamePOWR_LPLT_S02_IonSurge_SCItem,,item_DescPOWR_LPLT_S02_IonSurge_SCItem,,2,2,Power,620,,
powr_lplt_s02_sparkjet,item_Name_POWR_LPLT_S02_SparkJet,,item_Desc_POWR_LPLT_S02_SparkJet,,2,4,Power,470,,
powr_lplt_s03_fullforcepro,item_NamePOWR_LPLT_S03_FullForcePro_SCItem,,item_DescPOWR_LPLT_S03_FullForcePro,,3,3,Power,1500,,
powr_lplt_s03_ionsurgepro,item_Name_POWR_LPLT_S03_IonSurgePro,,item_Desc_POWR_LPLT_S03_IonSurgePro,,3,2,Power,1700,,
powr_lplt_s03_sparkjetpro,item_NamePOWR_LPLT_S03_SparkJetPro_SCItem,,item_DescPOWR_LPLT_S03_SparkJetPro_SCItem,,3,4,Power,1300,,
powr_orig_s04_890j,item_NamePOWR_ORIG_S04_890J_SCItem,,item_DescPOWR_ORIG_S04_890J_SCItem,,4,1,Power,13000,,
powr_pyrooutpost,LOC_PLACEHOLDER,,,,0,1,Power,92,,
powr_rsi_s04_bengal,item_NameIdris_PowerPlant,,item_DescIdris_PowerPlant,,4,1,Power,420000,,
powr_rsi_s04_polaris,item_NamePOWR_ORIG_S04_890J_SCItem,,item_DescPOWR_ORIG_S04_890J_SCItem,,4,1,Power,14000,,
powr_s01_template,LOC_PLACEHOLDER,,,,1,1,Power,250,,
powr_s02_template,LOC_PLACEHOLDER,,,,2,1,Power,700,,
powr_s03_template,LOC_PLACEHOLDER,,,,3,1,Power,1900,,
powr_s04_template,LOC_PLACEHOLDER,,,,4,1,Power,5300,,
powr_sasu_s01_lightblossom,item_NamePOWR_SASU_S01_LightBlossom,,item_DescPOWR_SASU_S01_LightBlossom,,1,3,Power,170,,
powr_sasu_s01_magnabloom,item_Name_POWR_SASU_S01_MagnaBloom,,item_Desc_POWR_SASU_S01_MagnaBloom,,1,2,Power,200,,
powr_sasu_s01_whiterose,item_NamePOWR_SASU_S01_WhiteRose_SCItem,,item_DescPOWR_SASU_S01_WhiteRose_SCItem,,1,1,Power,220,,
powr_sasu_s02_daybreak,item_NamePOWR_SASU_S02_DayBreak_SCItem,,item_DescPOWR_SASU_S02_DayBreak,,2,3,Power,470,,
powr_sasu_s02_lotus,item_NamePOWR_SASU_S02_Lotus_SCItem,,item_DescPOWR_SASU_S02_Lotus_SCItem,,2,1,Power,620,,
powr_sasu_s02_radiance,item_Name_POWR_SASU_S02_Radiance,,item_Desc_POWR_SASU_S02_Radiance,,2,2,Power,540,,
powr_sasu_s03_celestial,item_Name_POWR_SASU_S03_Celestial,,item_Desc_POWR_SASU_S03_Celestial,,3,2,Power,1500,,
powr_sasu_s03_newdawn,item_Name_POWR_SASU_S03_NewDawn,,item_Desc_POWR_SASU_S03_NewDawn,,3,3,Power,1300,,
powr_sasu_s03_tigerlilly,item_NamePOWR_SASU_S03_TigerLilly_SCItem,,item_DescPOWR_SASU_S03_TigerLilly_SCItem,,3,1,Power,1700,,
