Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Max Speed,Stage 1 Accel,Stage 2 Accel,Spline Speed,Spool Time,Cooldown,Interdiction Delay,Fuel Rate
qdrv_acas_s01_foxfire,item_Name_QRDV_ACAS_S01_Foxfire,,item_Desc_QRDV_ACAS_S01_Foxfire,,1,2,UNDEFINED,120,,,,,,,,
qdrv_acas_s01_lightfire,item_Name_QRDV_ACAS_S01_LightFire,,item_Desc_QRDV_ACAS_S01_LightFire,,1,3,UNDEFINED,110,,,,,,,,
qdrv_acas_s02_sparkfire,item_NameQDRV_ACAS_S02_SparkFire_SCItem,,item_DescQDRV_ACAS_S02_SparkFire_SCItem,,2,3,UNDEFINED,290,,,,,,,,
qdrv_acas_s02_sunfire,item_NameQDRV_ACAS_S02_SunFire_SCItem,,item_DescQDRV_ACAS_S02_SunFire_SCItem,,2,2,UNDEFINED,330,,,,,,,,
qdrv_aegs_s04_javelin,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,120000,,,,,,,,
qdrv_arcc_s01_burst,item_Name_QDRV_ARCC_S01_Burst,,item_Desc_QDRV_ARCC_S01_Burst,,1,2,UNDEFINED,170,,,,,,,,
qdrv_arcc_s01_flood,item_NameQDRV_ARCC_S01_Flood_SCItem,,item_DescQDRV_ARCC_S01_Flood_SCItem,,1,4,UNDEFINED,130,,,,,,,,
qdrv_arcc_s01_rush,item_NameQDRV_ARCC_S01_Rush,,item_DescQDRV_ARCC_S01_Rush,,1,3,UNDEFINED,150,,,,,,,,
qdrv_arcc_s02_cascade,item_NameQDRV_ARCC_S02_Cascade_SCItem,,item_DescQDRV_ARCC_S02_Cascade_SCItem,,2,4,UNDEFINED,360,,,,,,,,
qdrv_arcc_s02_flash,item_Name_QDRV_ARCC_S02_Flash,,item_Desc_QDRV_ARCC_S02_Flash,,2,2,UNDEFINED,470,,,,,,,,
qdrv_arcc_s02_torrent,item_Name_QDRV_ARCC_S02_Torrent,,item_Desc_QDRV_ARCC_S02_Torrent,,2,3,UNDEFINED,410,,,,,,,,
qdrv_arcc_s03_echo,item_NameQDRV_ARCC_S03_Echo,,item_DescQDRV_ARCC_S03_Echo,,3,4,UNDEFINED,990,,,,,,,,
qdrv_arcc_s03_fissure,item_NameQDRV_ARCC_S03_Fissure_SCItem,,item_DescQDRV_ARCC_S03_Fissure_SCItem,,3,3,UNDEFINED,1100,,,,,,,,
qdrv_arcc_s03_impulse,item_NameQDRV_ARCC_S03_Impulse_SCItem,,item_DescQDRV_ARCC_S03_Impulse_SCItem,,3,2,UNDEFINED,1300,,,,,,,,
qdrv_just_s01_colossus,item_Name_QDRV_JUST_S01_Colossus,,item_Desc_QDRV_JUST_S01_Colossus,,1,2,UNDEFINED,210,,,,,,,,
qdrv_just_s01_goliath,item_NameQDRV_JUST_S01_Goliath,,item_DescQDRV_JUST_S01_Goliath,,1,3,UNDEFINED,180,,,,,,,,
qdrv_just_s01_vulcan,item_NameQDRV_JUST_S01_Vulcan_SCItem,,item_DescQDRV_JUST_S01_Vulcan_SCItem,,1,4,UNDEFINED,160,,,,,,,,
qdrv_just_s02_bolon,item_NameQDRV_JUST_S02_Bolon,,item_DescQDRV_JUST_S02_Bolon,,2,3,UNDEFINED,500,,,,,,,,
qdrv_just_s02_huracan,item_NameQDRV_JUST_S02_Huracan_SCItem,,item_DescQDRV_JUST_S02_Huracan_SCItem,,2,2,UNDEFINED,570,,,,,,,,
qdrv_just_s02_yaluk,item_Name_QDRV_JUST_S02_Yaluk,,item_Desc_QDRV_JUST_S02_Yaluk,,2,4,UNDEFINED,430,,,,,,,,
qdrv_just_s03_agni,item_NameQDRV_JUST_S03_Agni_SCItem,,item_DescQDRV_JUST_S03_Agni_SCItem,,3,2,UNDEFINED,1600,,,,,,,,
qdrv_just_s03_kama,item_NameQDRV_JUST_S03_Kama,,item_DescQDRV_JUST_S03_Kama,,3,3,UNDEFINED,1400,,,,,,,,
