Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Aim Assist Distance (PiP) Min,Aim Assist Distance (PiP) Max,Aim Assist Distance (PiP) Buffer,Sensitivity IR,Sensitivity CS,Sensitivity EM,Sensitivity RS,Sensitivity dB,Piercing IR,Piercing CS,Piercing EM,Piercing RS,Piercing dB,Temperature to IR,Minimum Temperature for IR,Distortion Shutdown Damage,Distortion Decay Delay,Distortion Decay Rate,Distortion Shutdown Time
radr_antipersonnel_turret,LOC_PLACEHOLDER,,LOC_PLACEHOLDER,,0,1,MidRangeRadar,200,630,632.5,80,0.75,0.75,0.5,1,0,1,0.25,0.25,1,0.25,7,318,10,1.5,0.6666667,16.5
radr_bltr_s01_hunter,item_Name_RADR_BLTR_S01_Hunter,,item_Desc_RADR_BLTR_S01_Hunter,BLTR,1,2,MidRangeRadar,420,780,1028.5,60,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,9,313,2500,1.5,166.6667,16.5
radr_bltr_s01_pelerous,item_Name_RADR_BLTR_S01_Pelerous,,item_Desc_RADR_BLTR_S01_Pelerous,BLTR,1,1,MidRangeRadar,400,780,935,60,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,9,313,2500,1.5,166.6667,16.5
radr_bltr_s01_prophet,item_Name_RADR_BLTR_S01_Prophet,,item_Desc_RADR_BLTR_S01_Prophet,BLTR,1,1,MidRangeRadar,460,780,1122,60,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,10,1.5,0.6666667,16.5
radr_bltr_s02_cassandra,item_Name_RADR_BLTR_S02_Cassandra,,item_Desc_RADR_BLTR_S02_Cassandra,BLTR,2,1,MidRangeRadar,920,1200,1848,90,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_bltr_s02_predator,item_Name_RADR_BLTR_S02_Predator,,item_Desc_RADR_BLTR_S02_Predator,BLTR,2,2,MidRangeRadar,840,1200,1694,90,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_bltr_s02_spyglass,item_Name_RADR_BLTR_S02_Spyglass,,item_Desc_RADR_BLTR_S02_Spyglass,BLTR,2,3,MidRangeRadar,800,1200,1540,90,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_chco_s00_broadspecgo,item_Name_RADR_CHCO_S00_BroadSpecGo,,item_Desc_RADR_CHCO_S00_BroadSpecGo,CHCO,0,2,MidRangeRadar,273,585,695.75,80,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,10,1.5,0.6666667,16.5
radr_chco_s00_fullspecgo,item_Name_RADR_CHCO_S00_FullSpecGo,,item_Desc_RADR_CHCO_S00_FullSpecGo,CHCO,0,1,MidRangeRadar,299,585,759,80,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,10,1.5,0.6666667,16.5
radr_chco_s00_observergo,item_Name_RADR_CHCO_S01_ObserverGo,,item_Desc_RADR_CHCO_S01_ObserverGo,CHCO,0,4,MidRangeRadar,234,585,569.25,80,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,10,1.5,0.6666667,16.5
radr_chco_s00_surveyorgo,item_Name_RADR_CHCO_S00_SurveyorGo,,item_Desc_RADR_CHCO_S00_SurveyorGo,CHCO,0,3,MidRangeRadar,260,585,632.5,80,0.75,0.75,0.5,0.75,0,0.25,0.25,0.25,1,0.25,7,323,1750,1.5,116.6667,16.5
radr_chco_s01_observerlite,item_Name_RADR_CHCO_S01_ObserverLite,,item_Desc_RADR_CHCO_S01_ObserverLite,CHCO,1,4,MidRangeRadar,585,845,879.75,80,0.8,0.8,0.8,0.6,0,0.25,0.25,0.25,1,0.25,7,323,3500,1.5,233.3333,16.5
radr_chco_s01_surveyorlite,item_Name_RADR_CHCO_S01_SurveyorLite,,item_Desc_RADR_CHCO_S01_SurveyorLite,CHCO,1,3,MidRangeRadar,650,845,977.5,80,0.8,0.8,0.8,0.8,0,0.25,0.25,0.25,1,0.25,7,323,3500,1.5,233.3333,16.5
radr_chco_s02_broadspec_lite,item_Name_RADR_CHCO_S02_BroadSpec,,item_Desc_RADR_CHCO_S02_BroadSpec,CHCO,2,2,MidRangeRadar,1365,1300,1771,120,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,8,323,5500,3,366.6667,18
radr_chco_s02_fullspec,item_Name_RADR_CHCO_S02_FullSpec,,item_Desc_RADR_CHCO_S02_FullSpec,CHCO,2,1,MidRangeRadar,1495,1300,1932,120,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_chco_s02_observer,item_Name_RADR_CHCO_S02_Observer,,item_Desc_RADR_CHCO_S02_Observer,CHCO,2,4,MidRangeRadar,1170,1300,1449,120,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_chco_s02_surveyor,item_Name_RADR_CHCO_S02_Surveyor,,item_Desc_RADR_CHCO_S02_Surveyor,CHCO,2,3,MidRangeRadar,1300,1300,1610,120,0.9,0.9,0.9,0.85,0,0.25,0.25,0.25,1,0.25,8,323,5500,3,366.6667,18
radr_chco_s03_broudspec,item_Name_RADR_CHCO_S02_BroadSpec,,item_Desc_RADR_CHCO_S02_BroadSpec,CHCO,3,2,MidRangeRadar,4095,2015,3289,120,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
radr_chco_s03_fullspecmax,item_Name_RADR_CHCO_S03_FullSpecMax,,item_Desc_RADR_CHCO_S03_FullSpecMax,CHCO,3,1,MidRangeRadar,4485,2015,3588,120,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
radr_chco_s03_observermax,item_Name_RADR_CHCO_S03_ObserverMax,,item_Desc_RADR_CHCO_S03_ObserverMax,CHCO,3,4,MidRangeRadar,3510,2015,2691,120,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
radr_chco_s03_surveyormax,item_Name_RADR_CHCO_S03_SurveyorMax,,item_Desc_RADR_CHCO_S03_SurveyorMax,CHCO,3,3,MidRangeRadar,3900,2015,2990,120,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
radr_chco_s04_broadspecmax,item_Name_RADR_CHCO_S04_BroadSpecMax,,item_Desc_RADR_CHCO_S04_BroadSpecMax,CHCO,4,2,MidRangeRadar,6825,3640,5313,120,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,8,333,10,1.5,0.6666667,16.5
radr_default,item_Name_RADR_Default,,item_Desc_RADR_Default,,1,1,MidRangeRadar,500,910,977.5,80,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,10,1.5,0.6666667,16.5
radr_gnrp_s03_idris_temp,item_Name_RADR_GNRP_S03_Idris,,item_Desc_RADR_GNRP_S03_Idris,GRNP,3,1,MidRangeRadar,3000,2015,3380,90,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,7,333,8500,4.5,566.6667,19.5
radr_grno_s00_agure,item_Name_RADR_GRNP_S00_Agure,,item_Desc_RADR_GRNP_S00_Agure,GRNP,0,4,MidRangeRadar,216,585,643.5,60,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,10,1.5,0.6666667,16.5
radr_grnp_s00_prevenir,item_Name_RADR_GRNP_S00_Prevenir,,item_Desc_RADR_GRNP_S00_Prevenir,GRNP,0,3,MidRangeRadar,240,585,715,60,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,5,333,2350,1.5,156.6667,16.5
radr_grnp_s00_sens,item_Name_RADR_GRNP_S00_Sens,,item_Desc_RADR_GRNP_S00_Sens,GRNP,0,2,MidRangeRadar,252,585,786.5,60,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,5,333,2350,1.5,156.6667,16.5
radr_grnp_s00_v6026,item_Name_RADR_GRNP_S00_V6026,,item_Desc_RADR_GRNP_S00_V6026,GRNP,0,1,MidRangeRadar,276,585,858,60,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,10,1.5,0.6666667,16.5
radr_grnp_s01_ecouter,item_Name_RADR_GRNP_S01_Ecouter,,item_Desc_RADR_GRNP_S01_Ecouter,GRNP,1,3,MidRangeRadar,600,845,1105,60,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,6,333,3600,1.5,240,16.5
radr_grnp_s01_ecouter_piercing,item_Name_RADR_GRNP_S01_Ecouter,,item_Desc_RADR_GRNP_S01_Ecouter,GRNP,1,3,MidRangeRadar,600,845,1105,60,1,1,1,1,0,0.25,0.25,0.25,1,0.25,6,333,3600,1.5,240,16.5
radr_grnp_s01_tige,item_Name_RADR_GRNP_S01_Tige,,item_Desc_RADR_GRNP_S01_Tige,GRNP,1,2,MidRangeRadar,630,845,1215.5,60,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,10,1.5,0.6666667,16.5
radr_grnp_s01_v80111,item_Name_RADR_GRNP_S01_V80111,,item_Desc_RADR_GRNP_S01_V80111,GRNP,1,1,MidRangeRadar,690,845,1326,60,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,10,1.5,0.6666667,16.5
radr_grnp_s01_voir,item_Name_RADR_GRNP_S01_Voir,,item_Desc_RADR_GRNP_S01_Voir,GRNP,1,4,MidRangeRadar,540,845,994.5,60,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,6,333,3600,1.5,240,16.5
radr_grnp_s02_epier,item_Name_RADR_GRNP_S02_Epier,,item_Desc_RADR_GRNP_S02_Epier,GRNP,2,3,MidRangeRadar,1200,1300,1820,90,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,6,333,5500,3,366.6667,18
radr_grnp_s02_savoir,item_Name_RADR_GRNP_S02_Savoir,,item_Desc_RADR_GRNP_S02_Savoir,GRNP,2,4,MidRangeRadar,1080,1300,1638,90,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_grnp_s02_vb80112,item_Name_RADR_GRNP_S02_V80112,,item_Desc_RADR_GRNP_S02_V80112,GRNP,2,1,MidRangeRadar,1380,1300,2184,90,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_grnp_s02_vigilance,item_Name_RADR_GRNP_S02_Vigilance,,item_Desc_RADR_GRNP_S02_Vigilance,GRNP,2,2,MidRangeRadar,1260,1300,2002,90,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,10,3,0.6666667,18
radr_grnp_s03_devoue,item_Name_RADR_GRNP_S03_Devoue,,item_Desc_RADR_GRNP_S03_Devoue,GRNP,3,2,MidRangeRadar,3780,2015,3718,90,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
radr_grnp_s03_fidele,item_Name_RADR_GRNP_S03_Fidele,,item_Desc_RADR_GRNP_S03_Fidele,GRNP,3,4,MidRangeRadar,3240,2015,3042,90,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
radr_grnp_s03_resolu,item_Name_RADR_GRNP_S03_Resolu,,item_Desc_RADR_GRNP_S03_Resolu,GRNP,3,3,MidRangeRadar,3600,2015,3380,90,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
radr_grnp_s03_v880,item_Name_RADR_GRNP_S03_V880,,item_Desc_RADR_GRNP_S03_V880,GRNP,3,1,MidRangeRadar,4140,2015,4056,90,0.95,0.95,1,1,0,0.25,0.25,0.25,1,0.25,10,318,10,4.5,0.6666667,19.5
radr_nave_s01_snsr5,item_Name_RADR_NAVE_S01_SNSR5,,item_Desc_RADR_NAVE_S01_SNSR5,NAVE,1,4,MidRangeRadar,315,780,956.25,90,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,10,1.5,0.6666667,16.5
