Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Speed Multiplier,Radius Multiplier,Extraction Efficiency
salvage_buff_modifier_fortune,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,UNDEFINED,,,,
salvage_buff_modifier_moth,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,UNDEFINED,,,,
salvage_buff_modifier_reclaimer,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,UNDEFINED,,,,
salvage_buff_modifier_salvation,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,UNDEFINED,,,,
salvage_buff_modifier_template,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,UNDEFINED,,,,
salvage_buff_modifier_vulture,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,UNDEFINED,,,,
salvage_modifier_scraper_large,item_scraper_GRIN_Large_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Large_Desc,,1,1,UNDEFINED,,,,
salvage_modifier_scraper_medium,item_scraper_GRIN_Standard_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Standard_Desc,,1,1,UNDEFINED,,,,
salvage_modifier_scraper_salvation_medium,item_scraper_GRIN_Small_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Small_Desc,,1,1,UNDEFINED,,,,
salvage_modifier_scraper_salvation_small,item_scraper_GRIN_Small_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Small_Desc,,1,1,UNDEFINED,,,,
salvage_modifier_scraper_small,item_scraper_GRIN_Small_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Small_Desc,,1,1,UNDEFINED,,,,
salvage_modifier_scraper_template,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,UNDEFINED,,,,
salvage_modifier_template,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,UNDEFINED,,,,
salvage_modifier_tractor_small,item_NameGRIN_TractorBeam_module_001,item_NameGRIN_TractorBeam_module_001,item_DescGRIN_TractorBeam_module_001,,1,1,SalvageModifier_TractorBeam,,,,
salvage_modifier_tractor_template,salvage_HUD_TractorBeam_Module,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,SalvageModifier_TractorBeam,,,,
