Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,HP Pool,Regen Rate,Regen Time,Damaged Delay,Downed Delay,Reserve Max Ratio,Reserve Regen Ratio,Reserve Drain Ratio,Electrical Charge Damage Resistance,Resistance Physical,Resistance Energy,Resistance Distortion,Absorption Physical,Absorption Energy,Absorption Distortion,Distortion Shutdown Damage,Distortion Decay Delay,Distortion Decay Rate,Distortion Shutdown Time
shld_aegs_s04_reclaimer,item_NameSHLD_AEGS_S04_Reclaimer_SCItem,,item_DescSHLD_AEGS_S04_Reclaimer_SCItem,,4,1,UNDEFINED,4900,243000,17820,13.64,5.55,11.1,1,1,2.5,0,25% / 0%,-23% / -68%,95% / 75%,45% / 0%,100% / 100%,100% / 100%,13000,6,866.6667,21
shld_asas_s01_cloak,item_NameSHLD_ASAS_S01_Cloak,,item_DescSHLD_ASAS_S01_Cloak,ASAS,1,4,UNDEFINED,110,2805,252,11.13,3.85,7.7,1,1,2.5,0,25% / 0%,-27% / -80%,95% / 75%,45% / 0%,100% / 100%,100% / 100%,1650,1.5,110,16.5
shld_asas_s01_mirage,item_NameSHLD_ASAS_S01_Mirage,,item_Desc_SHLD_ASAS_S01_Mirage,ASAS,1,1,UNDEFINED,170,2805,309,9.08,2.92,5.83,1,1,2.5,0,25% / 0%,-24% / -71%,95% / 75%,45% / 0%,100% / 100%,100% / 100%,2500,1.5,166.6667,16.5
shld_asas_s01_shimmer,item_NameSHLD_ASAS_S01_Shimmer,,item_DescSHLD_ASAS_S01_Shimmer,ASAS,1,3,UNDEFINED,130,2805,266,10.55,3.5,7,1,1,2.5,0,25% / 0%,-26% / -77%,95% / 75%,45% / 0%,100% / 100%,100% / 100%,1900,1.5,126.6667,16.5
shld_asas_s01_veil,item_NameSHLD_ASAS_S01_Veil,,item_Desc_SHLD_ASAS_S01_Veil,ASAS,1,2,UNDEFINED,150,2805,281,9.98,3.18,6.36,1,1,2.5,0,25% / 0%,-25% / -74%,95% / 75%,45% / 0%,100% / 100%,100% / 100%,2200,1.5,146.6667,16.5
shld_asas_s02_obscura,item_Name_SHLD_ASAS_S02_Obscura,,item_Desc_SHLD_ASAS_S02_Obscura,ASAS,2,3,UNDEFINED,350,9350,888,10.53,3.85,7.7,1,1,2.5,0,25% / 0%,-26% / -77%,95% / 75%,45% / 0%,100% / 100%,100% / 100%,2950,3,196.6667,18
shld_asas_s02_sheut,item_Name_SHLD_ASAS_S02_Sheut,,item_Desc_SHLD_ASAS_S02_Sheut,ASAS,2,2,UNDEFINED,400,9350,935,10,3.5,7,1,1,2.5,0,25% / 0%,-25% / -74%,95% / 75%,45% / 0%,100% / 100%,100% / 100%,3400,3,226.6667,18
shld_asas_s02_shroud,item_NameSHLD_ASAS_S02_Shroud,,item_DescSHLD_ASAS_S02_Shroud,ASAS,2,4,UNDEFINED,300,9350,842,11.1,4.24,8.47,1,1,2.5,0,25% / 0%,-27% / -80%,95% / 75%,45% / 0%,100% / 100%,100% / 100%,2600,3,173.3333,18
shld_asas_s02_umbra,item_Name_SHLD_ASAS_S02_Umbra,,item_Desc_SHLD_ASAS_S02_Umbra,ASAS,2,1,UNDEFINED,460,9350,1029,9.09,3.21,6.42,1,1,2.5,0,25% / 0%,-24% / -71%,95% / 75%,45% / 0%,100% / 100%,100% / 100%,3850,3,256.6667,18
shld_banu_s01_placeholder,item_NameSHLD_BANU_S01_Suldrath,,item_DescSHLD_BANU_S01_Suldrath,BANU,1,3,UNDEFINED,180,2880,274,10.51,5.75,11.5,1,1,2.5,0,25% / 0%,-22% / -66%,95% / 75%,45% / 0%,100% / 100%,100% / 100%,2750,1.5,183.3333,16.5
