Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Yaw Speed,Pitch Speed,Yaw Accel,Pitch Accel
aegs_hammerhead_scitem_turret_rear,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_hammerhead_scitem_turret_rear_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_hammerhead_scitem_turret_side_backleft,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_hammerhead_scitem_turret_side_backleft_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_hammerhead_scitem_turret_side_backright,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_hammerhead_scitem_turret_side_backright_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_hammerhead_scitem_turret_side_frontleft,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_hammerhead_scitem_turret_side_frontleft_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_hammerhead_scitem_turret_side_frontright,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_hammerhead_scitem_turret_side_frontright_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_hammerhead_scitem_turret_top,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_hammerhead_scitem_turret_top_lowpoly,item_Name_Turret_Manned,,,,5,1,MannedTurret,15000,,,,
aegs_idris_k_turret_large,item_NameAEGS_Manned_Turret_S07_Missile_Rack_Bespoke,item_NameAEGS_Manned_Turret_S07_Missile_Rack_Bespoke_Short,item_DESCAEGS_Manned_Turret_S07_Missile_Rack_Bespoke,,7,1,MannedTurret,15000,,,,
aegs_idris_remote_camera_turret_lower,item_Name_Turret_Remote,,item_Name_Turret_Remote,,4,1,GunTurret,2000,,,,
