Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Slot,Damage Modifier,Projectile Speed Modifier,Heat Modifier,Magnification,Aim Time Modifier,Sound Radius Modifier
arma_barrel_comp_s1,item_Namearma_barrel_comp_s1,,item_Descarma_barrel_comp_s1,,1,1,Barrel,,,,,,,,
arma_barrel_comp_s1_02,item_Namearma_barrel_comp_s1_02,,item_Descarma_barrel_comp_s1_02,,1,1,Barrel,,,,,,,,
arma_barrel_comp_s1_03,item_Namearma_barrel_comp_s1_03,,item_Descarma_barrel_comp_s1_03,,1,1,Barrel,,,,,,,,
arma_barrel_comp_s1_04,item_Namearma_barrel_comp_s1_04,,item_Descarma_barrel_comp_s1_04,,1,1,Barrel,,,,,,,,
arma_barrel_comp_s1_contestedzonereward,item_namarma_barrel_comp_s1_contestedzonereward,,item_descarma_barrel_comp_s1_contestedzonereward,,1,1,Barrel,,,,,,,,
arma_barrel_comp_s2,item_Namearma_barrel_comp_s2,,item_Descarma_barrel_comp_s2,,2,1,Barrel,,,,,,,,
arma_barrel_comp_s2_02,item_Namearma_barrel_comp_s2_02,,item_Descarma_barrel_comp_s2_02,,2,1,Barrel,,,,,,,,
arma_barrel_comp_s2_03,item_Namearma_barrel_comp_s2_03,,item_Descarma_barrel_comp_s2_03,,2,1,Barrel,,,,,,,,
arma_barrel_comp_s2_04,item_Namearma_barrel_comp_s2_04,,item_Descarma_barrel_comp_s2_04,,2,1,Barrel,,,,,,,,
arma_barrel_comp_s2_contestedzonereward,item_namearma_barrel_comp_s2_contestedzonereward,,item_descarma_barrel_comp_s2_contestedzonereward,,2,1,Barrel,,,,,,,,
arma_barrel_comp_s2_firerats01,item_Namearma_barrel_comp_s2_firerats01,item_Namearma_barrel_comp_s2_firerats01_short,item_Descarma_barrel_comp_s2_firerats01,,2,1,Barrel,,,,,,,,
arma_barrel_comp_s3,item_Namearma_barrel_comp_s3,,item_Descarma_barrel_comp_s3,,3,1,Barrel,,,,,,,,
arma_barrel_comp_s3_02,item_Namearma_barrel_comp_s3_02,,item_Descarma_barrel_comp_s3_02,,3,1,Barrel,,,,,,,,
arma_barrel_comp_s3_03,item_Namearma_barrel_comp_s3_03,,item_Descarma_barrel_comp_s3_03,,3,1,Barrel,,,,,,,,
