Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Type,Ammo Quantity,Ammo Speed,Ammo Lifetime,Signature IR,Signature CS,Signature EM
aegs_avenger_cml_chaff,item_NameAEGS_Gladius_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Gladius_CML_Chaff,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_avenger_cml_flare,item_NameAEGS_Avenger_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Avenger_CML_Flare,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_eclipse_cml_chaff,item_NameAEGS_Eclipse_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Eclipse_CML_Chaff,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_eclipse_cml_flare,item_NameAEGS_Eclipse_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Eclipse_CML_Flare,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_firebird_cml_chaff,LOC_PLACEHOLDER,hud_countermeasure_smokescreen,LOC_PLACEHOLDER,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_firebird_cml_flare,LOC_PLACEHOLDER,hud_countermeasure_decoy,LOC_PLACEHOLDER,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_gladius_cml_chaff,item_NameAEGS_Gladius_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Gladius_CML_Chaff,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_gladius_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_hammerhead_cml_chaff,item_NameAEGS_Hammerhead_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Hammerhead_CML_Chaff,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_hammerhead_cml_flare,item_NameAEGS_Hammerhead_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Hammerhead_CML_Flare,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_idris_cml_chaff,item_NameAEGS_Hammerhead_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Hammerhead_CML_Chaff,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_idris_cml_flare,item_NameAEGS_Hammerhead_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Hammerhead_CML_Flare,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_javelin_cml_decoy,item_NameAmmobox_JOKR_Defcon_Flares,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_peregrine_cml_chaff,LOC_PLACEHOLDER,hud_countermeasure_smokescreen,LOC_PLACEHOLDER,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_peregrine_cml_flare,LOC_PLACEHOLDER,hud_countermeasure_decoy,LOC_PLACEHOLDER,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_raven_cml_chaff,LOC_PLACEHOLDER,hud_countermeasure_smokescreen,LOC_PLACEHOLDER,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_raven_cml_flare,LOC_PLACEHOLDER,hud_countermeasure_decoy,LOC_PLACEHOLDER,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_retaliator_cml_chaff,item_NameAEGS_Eclipse_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Eclipse_CML_Chaff,,1,1,CountermeasureLauncher,1000,,,,,,,
aegs_retaliator_cml_flare,item_NameAEGS_Eclipse_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Eclipse_CML_Flare,,1,1,CountermeasureLauncher,1000,,,,,,,
