Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Damage Alpha,Rate of Fire,Projectile Speed,Ammo Range,Ammo Quantity,Heat Per Shot
amrs_aagun_cc_s3,item_NameAMRS_ScatterGun_S3,,item_DescAMRS_ScatterGun_S3,,3,1,Gun,1550,,,,,,
amrs_lasercannon_s1,item_NameAMRS_LaserCannon_S1,item_NameAMRS_LaserCannon_S1_short,item_DescAMRS_LaserCannon_S1,,1,1,Gun,550,,,,,,
amrs_lasercannon_s2,item_NameAMRS_LaserCannon_S2,item_NameAMRS_LaserCannon_S2_short,item_DescAMRS_LaserCannon_S2,,2,1,Gun,850,,,,,,
amrs_lasercannon_s3,item_NameAMRS_LaserCannon_S3,item_NameAMRS_LaserCannon_S3_short,item_DescAMRS_LaserCannon_S3,,3,1,Gun,1024,,,,,,
amrs_lasercannon_s4,item_NameAMRS_LaserCannon_S4,item_NameAMRS_LaserCannon_S4_short,item_DescAMRS_LaserCannon_S4,,4,1,Gun,1650,,,,,,
amrs_lasercannon_s5,item_NameAMRS_LaserCannon_S5,item_NameAMRS_LaserCannon_S5_short,item_DescAMRS_LaserCannon_S5,,5,1,Gun,2500,,,,,,
amrs_lasercannon_s6,item_NameAMRS_LaserCannon_S6,item_NameAMRS_LaserCannon_S6_short,item_DescAMRS_LaserCannon_S6,,6,1,Gun,4224,,,,,,
amrs_scattergun_s3,item_NameAMRS_ScatterGun_S3,item_NameAMRS_ScatterGun_S3_short,item_DescAMRS_ScatterGun_S3,,3,1,Gun,1550,,,,,,
anvl_ballisticgatling_bespoke,item_NameAPAR_BallisticGatling_S4,item_NameAPAR_BallisticGatling_S4_short,item_DescAPAR_BallisticGatling_S4,,3,1,Gun,1650,,,,,,
apar_ballisticgatling_s4,item_NameAPAR_BallisticGatling_S4,item_NameAPAR_BallisticGatling_S4_short,item_DescAPAR_BallisticGatling_S4,,4,1,Gun,1650,,,,,,
apar_ballisticgatling_s4_lowpoly,item_NameAPAR_BallisticGatling_S4,item_NameAPAR_BallisticGatling_S4_short,item_DescAPAR_BallisticGatling_S4,,4,1,Gun,1650,,,,,,
