Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Power Max,Power Min,Range Max,Range Min,Resistance Modifier,Instability Modifier,Optimal Charge Zone,Optimal Rate
mining_laser_drak_golem_s1,item_Mining_MiningLaser_Drake_Default_S0,,item_Mining_MiningLaser_Drake_Default_S0_Desc,,1,1,Gun,8000,,,,,,,,
mining_laser_grin_arbor_s0,item_Mining_MiningLaser_Greycat_Default_S0,item_shortMining_Head_S00_Arbor_SCItem,item_Mining_MiningLaser_Greycat_Default_S0_Desc,,0,1,Gun,8000,,,,,,,,
mining_laser_grin_arbor_s1,item_Mining_MiningLaser_Greycat_Default_S1,,item_Mining_MiningLaser_Greycat_Default_S1_Desc,,1,1,Gun,8000,,,,,,,,
mining_laser_grin_arbor_s1_test_active_1,item_Mining_MiningLaser_Greycat_Default_S1,,item_Mining_MiningLaser_Greycat_Default_S1_Desc,,1,1,Gun,8000,,,,,,,,
mining_laser_grin_arbor_s2,item_Mining_MiningLaser_Greycat_Default_S2,,item_Mining_MiningLaser_Greycat_Default_S2_Desc,,2,1,Gun,8000,,,,,,,,
mining_laser_grin_lancet_s1,item_Mining_MiningLaser_Greycat_1_S1,,item_Mining_MiningLaser_Greycat_1_S1_Desc,,1,1,Gun,8000,,,,,,,,
mining_laser_grin_lancet_s2,item_Mining_MiningLaser_Greycat_1_S2,,item_Mining_MiningLaser_Greycat_1_S2_Desc,,2,1,Gun,8000,,,,,,,,
mining_laser_mpuv_arm,item_Mining_MiningLaser_Greycat_Default_S1,,item_Mining_MiningLaser_Greycat_Default_S1_Desc,,1,1,Gun,8000,,,,,,,,
mining_laser_s0_template,item_Mining_MiningLaser_Greycat_Default_S0,,item_Mining_MiningLaser_Greycat_Default_S0_Desc,,0,1,Gun,8000,,,,,,,,
mining_laser_s1_template,item_Mining_MiningLaser_Greycat_Default_S1,,item_Mining_MiningLaser_Greycat_Default_S1_Desc,,1,1,Gun,8000,,,,,,,,
mining_laser_shin_hofstede_s0,item_NameMining_Head_S00_Hofstede_SCItem,item_shortMining_Head_S00_Hofstede_SCItem,item_descMining_Head_S00_Hofstede_SCItem,,0,1,Gun,8000,,,,,,,,
mining_laser_shin_hofstede_s1,item_Mining_MiningLaser_Shubin_1_S1,,item_Mining_MiningLaser_Shubin_1_S1_Desc,,1,1,Gun,8000,,,,,,,,
mining_laser_shin_hofstede_s2,item_Mining_MiningLaser_Shubin_1_S2,,item_Mining_MiningLaser_Shubin_1_S2_Desc,,2,1,Gun,8000,,,,,,,,
mining_laser_shin_klein_s0,item_NameMining_Head_S00_Klein_SCItem,item_shortMining_Head_S00_Klein_SCItem,item_descMining_Head_S00_Klein_SCItem,,0,1,Gun,8000,,,,,,,,
mining_laser_shin_klein_s1,item_Mining_MiningLaser_Shubin_2_S1,,item_Mining_MiningLaser_Shubin_2_S1_Desc,,1,1,Gun,8000,,,,,,,,
mining_laser_shin_klein_s2,item_Mining_MiningLaser_Shubin_2_S2,,item_Mining_MiningLaser_Shubin_2_S2_Desc,,2,1,Gun,8000,,,,,,,,
mining_laser_test,item_Mining_MiningLaser_Thermyte_1_S2,,item_Mining_MiningLaser_Thermyte_1_S2_Desc,,2,1,Gun,8000,,,,,,,,
mining_laser_test_best,item_Mining_MiningLaser_Thermyte_1_S2,,item_Mining_MiningLaser_Thermyte_1_S2_Desc,,2,1,Gun,8000,,,,,,,,
mining_laser_thcn_helix_s0,item_NameMining_Head_S00_Helix_SCItem,item_shortMining_Head_S00_Helix_SCItem,item_descMining_Head_S00_Helix_SCItem,,0,1,Gun,8000,,,,,,,,
mining_laser_thcn_helix_s1,item_Mining_MiningLaser_Thermyte_2_S1,,item_Mining_MiningLaser_Thermyte_2_S1_Desc,,1,1,Gun,8000,,,,,,,,
mining_laser_thcn_helix_s2,item_Mining_MiningLaser_Thermyte_2_S2,,item_Mining_MiningLaser_Thermyte_2_S2_Desc,,2,1,Gun,8000,,,,,,,,
mining_laser_thcn_impact_s1,item_Mining_MiningLaser_Thermyte_1_S1,,item_Mining_MiningLaser_Thermyte_1_S1_Desc,,1,1,Gun,8000,,,,,,,,
mining_laser_thcn_impact_s2,item_Mining_MiningLaser_Thermyte_1_S2,,item_Mining_MiningLaser_Thermyte_1_S2_Desc,,2,1,Gun,8000,,,,,,,,
