Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Damage Alpha,Rate of Fire,Fire Mode,Projectile Speed,Ammo Range,Ammo Quantity
apar_special_ballistic_01,item_Nameapar_special_ballistic_01,item_Nameapar_special_ballistic_01_short,item_Descapar_special_ballistic_01,,5,1,Large,,,,,,,
apar_special_ballistic_01_black02,item_Nameapar_special_ballistic_01_black02,item_Nameapar_special_ballistic_01_black02_short,item_Descapar_special_ballistic_01,,5,1,Large,,,,,,,
apar_special_ballistic_01_mat01,item_Nameapar_special_ballistic_01_mat01,item_Nameapar_special_ballistic_01_mat01_short,item_Descapar_special_ballistic_01_mat01,,5,1,Large,,,,,,,
apar_special_ballistic_01_tan01,item_Nameapar_special_ballistic_01_tan01,item_Nameapar_special_ballistic_01_tan01_short,item_Descapar_special_ballistic_01,,5,1,Large,,,,,,,
apar_special_ballistic_02,item_Nameapar_special_ballistic_02,item_Nameapar_special_ballistic_02_short,item_Descapar_special_ballistic_02,,5,1,Large,,,,,,,
apar_special_ballistic_02_mat01,item_Nameapar_special_ballistic_02_mat01,item_Nameapar_special_ballistic_02_mat01_short,item_Descapar_special_ballistic_02_mat01,,5,1,Large,,,,,,,
behr_binoculars_01,item_Namebehr_binoculars_01,item_Namebehr_binoculars_01_short,item_Descbehr_binoculars_01,,1,1,Gadget,,,,,,,
behr_binoculars_01_collector01,item_Namebehr_binoculars_01_collector01,item_Namebehr_binoculars_01_collector01_short,item_Descbehr_binoculars_01_collector01,,1,1,Gadget,,,,,,,
behr_binoculars_01_tint01,item_Namebehr_binoculars_01_tint01,item_Namebehr_binoculars_01_tint01_short,item_Descbehr_binoculars_01_tint01,,1,1,Gadget,,,,,,,
behr_binoculars_01_tint02,item_Namebehr_binoculars_01_tint02,item_Namebehr_binoculars_01_tint02_short,item_Descbehr_binoculars_01_tint02,,1,1,Gadget,,,,,,,
behr_binoculars_01_tint03,item_Namebehr_binoculars_01_tint03,item_Namebehr_binoculars_01_tint03_short,item_Descbehr_binoculars_01_tint03,,1,1,Gadget,,,,,,,
behr_glauncher_ballistic_01,item_Namebehr_glauncher_ballistic_01,item_Namebehr_glauncher_ballistic_01_short,item_Descbehr_glauncher_ballistic_01,,4,1,Medium,,,,,,,
behr_glauncher_ballistic_01_black01,item_Namebehr_glauncher_ballistic_01_black01,item_Namebehr_glauncher_ballistic_01_black01_short,item_Descbehr_glauncher_ballistic_01_black01,,4,1,Medium,,,,,,,
