PoolClass,BlueprintGuids,Ref,Path
BP_REWARDS_AdagioResourceGatheringShipSalvage,"[{""guid"":""4e834db6-9b0e-461a-8465-ec90847bd7e5"",""weight"":1},{""guid"":""22782818-beab-4e09-90c4-306c17192c06"",""weight"":1},{""guid"":""f35d8068-b232-43d5-a8bb-744a1295c79c"",""weight"":1},{""guid"":""b4160c11-75f9-4699-8aab-7b21abf75bc6"",""weight"":1},{""guid"":""57a536c1-cd88-4b2c-8fab-5b871fffa458"",""weight"":1}]",16a99583-68a3-4f0e-b03c-87d70f6172dc,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_adagioresourcegatheringshipsalvage.xml
BP_REWARDS_ASD3Vgear,"[{""guid"":""6f79231c-4c4b-4e8d-a5aa-9a7b8687b926"",""weight"":1},{""guid"":""8601e542-8c86-4504-981f-aaf24f3b5fd2"",""weight"":1},{""guid"":""de7df91f-a1fd-4996-865f-1ae782dd6ec5"",""weight"":1}]",9b457916-07e2-49bd-b4c0-52ac963508c9,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_asd3vgear.xml
BP_REWARDS_AssistShipInCombatA,"[{""guid"":""fca087e5-c043-4638-99e8-3c0bd668ab89"",""weight"":1},{""guid"":""82b2cc9d-aa04-4dfa-8bc1-bd972c17276d"",""weight"":1},{""guid"":""d5e2dda5-e104-4e50-887e-10a583b6064d"",""weight"":1},{""guid"":""55c76311-f8ea-462a-94c4-3156a8707279"",""weight"":1},{""guid"":""968d85a2-6ee1-494e-b528-3ddae793a808"",""weight"":1},{""guid"":""dd81d455-8f3d-4552-9082-98de9333991f"",""weight"":1}]",ed1f79f8-28a6-4d86-9f47-ac7a8dda8564,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_assistshipincombata.xml
BP_REWARDS_AssistShipInCombatB,"[{""guid"":""4a8393d9-81a5-43da-86a1-0257d810ade4"",""weight"":1},{""guid"":""59464ab4-fff9-4727-9013-1bccf176f612"",""weight"":1},{""guid"":""61ec59f2-84dd-4ede-8751-49820e8bb126"",""weight"":1}]",e7b17f94-74ef-4337-9aa9-11f25fbb4d2a,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_assistshipincombatb.xml
BP_REWARDS_BombingRun,"[{""guid"":""a0802d45-54d4-4e9b-8fa8-6b45ac193463"",""weight"":1},{""guid"":""08edebc6-4c64-49e6-ba3a-c62140ead490"",""weight"":1},{""guid"":""8c003415-d13f-467f-8322-e00b7e2c6d5f"",""weight"":1},{""guid"":""b66bf071-0fac-4f54-885d-8891d61d1954"",""weight"":1},{""guid"":""dc2a2abc-36fb-4184-b380-3137b7d9e819"",""weight"":1},{""guid"":""0a5a202f-db9c-447e-b7bd-891040be1d19"",""weight"":1}]",d16ca80c-eb03-41ad-8574-aa0dc0a5f6e3,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_bombingrun.xml
BP_REWARDS_BombingRunB,"[{""guid"":""4a8393d9-81a5-43da-86a1-0257d810ade4"",""weight"":1},{""guid"":""eec452b5-39dd-45b0-9a50-328d803ad16c"",""weight"":1},{""guid"":""d8ce4bd6-46b2-42da-8e76-e6f0435a71ec"",""weight"":1}]",2190957e-a832-4a10-ad68-ec640de2c3d1,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_bombingrunb.xml
BP_REWARDS_CovalexSuper,"[{""guid"":""33be7f1a-3f75-4627-bb8b-88e6d6b42f4e"",""weight"":1},{""guid"":""b8d285a5-915d-4c63-8a48-ec67f4aa249d"",""weight"":1},{""guid"":""e55162ea-cd69-4ace-a519-ffd40bfb78a9"",""weight"":1},{""guid"":""07390e16-f481-4039-aeb8-a68c74cda400"",""weight"":1},{""guid"":""de3f2588-a15f-4866-8628-3a7063150877"",""weight"":1},{""guid"":""8842e26b-09cb-48fa-a5bb-e51d7bdaa225"",""weight"":1},{""guid"":""effce782-5e32-4402-b399-28b63eb573a7"",""weight"":1},{""guid"":""072e8086-c290-4c39-857c-19f657c30d4b"",""weight"":1},{""guid"":""feb14c78-6068-4436-8bea-0027a6b36480"",""weight"":1}]",907989eb-9ee8-46a8-b794-032da6bd8a5d,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_covalexsuper.xml
BP_REWARDS_EckhartSecurityEscortShipsEasy,"[{""guid"":""5c1b49d9-db7e-4898-8fe1-a97072f8cf37"",""weight"":1},{""guid"":""ccea53f3-0a4e-4a4d-a7b1-2b6c9e8f362f"",""weight"":1},{""guid"":""bad004a3-647a-463c-ab7f-539b992d2ac7"",""weight"":1},{""guid"":""6cf912b7-6aa4-4be8-81de-58bc03ba67a6"",""weight"":1},{""guid"":""9fe902be-8b39-4d71-9017-e2fed7b0604c"",""weight"":1}]",7d0ecc93-a6e0-4096-acdc-dcc7969e6b96,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_eckhartsecurityescortshipseasy.xml
BP_REWARDS_EckhartSecurityEscortShipsHardPlus,"[{""guid"":""49715f66-325c-4239-82b1-3a494c359e3e"",""weight"":1},{""guid"":""49e3ffa8-a54b-4af5-bbd3-2f0f39f54750"",""weight"":1},{""guid"":""6c7d0dd4-c604-4a5f-9836-30756cc15b43"",""weight"":1},{""guid"":""84e8ce98-b46f-4b03-aec2-472a4e93bd97"",""weight"":1},{""guid"":""fe989d57-d565-44a5-ae56-9d13801a60a6"",""weight"":1},{""guid"":""f8dc5f10-aa36-41fb-b209-37fd0166c4ac"",""weight"":1}]",0624864b-bb2d-4dd3-87cb-3b9599285fbe,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_eckhartsecurityescortshipshardplus.xml
BP_REWARDS_EckhartSecurityEscortShipsMed,"[{""guid"":""d7ac6b06-bc08-4c9f-8c9f-3d8f2c2eedf0"",""weight"":1},{""guid"":""389088f8-c2ae-48d0-bf8c-0b0024b01744"",""weight"":1},{""guid"":""66596afa-8e0b-4414-ada8-a7844f1a7b08"",""weight"":1},{""guid"":""4bc3c371-85bf-44bb-87c5-3bb43892ae96"",""weight"":1},{""guid"":""fba80733-cd1e-4466-8bd9-3a49867d8cc4"",""weight"":1}]",65744944-bca2-4467-aa8e-9a948b13a6b0,libs/foundry/records/crafting/blueprintrewards/48blueprints/bp_rewards_eckhartsecurityescortshipsmed.xml
