Generator Class,Handler Type,Handler Debug Name,Handler Not For Release,Handler Work In Progress,Faction Reputation GUID,Reputation Scope GUID,Contract Section,Contract ID,Contract Debug Name,Contract Not For Release,Contract Work In Progress,Template GUID,Template Class,Title Key,Description Key,Contractor Key,Title Variant Keys,Description Variant Keys,String Param Overrides,Location Tag GUIDs,Location Tag Classes,Max Instances,Max Instances Per Player,Respawn Time,Respawn Time Variation,Instance Life Time,Instance Life Time Variation,Contract Buy In Amount,Time To Complete,Difficulty Profile GUID,Difficulty Profile Class,Mechanical Skill,Mental Load,Risk Of Loss,Game Knowledge,Record GUID,Record Path
HighpointWildernessSpecialists_KillAnimals,ContractGeneratorHandler_List,HighpointWildernessSpecialists_Unique,0,0,,,contracts,146de300-7fb5-40e0-abd8-f780456ce6c0,HWS_PAF_KillKopions,1,0,f63ae62e-e16b-4bf6-8e2f-98a808180fe8,KillAnimals_AtLocation,Highpoint_KillAnimals_PAF_Kopion_name,Highpoint_KillAnimals_PAF_Kopion_desc,Highpoint_from,,,Contractor=Highpoint_from | Description=Highpoint_KillAnimals_PAF_Kopion_desc | Title=Highpoint_KillAnimals_PAF_Kopion_name,5e575a68-116a-44b3-ad61-57b34d7ba05c,,1,-1,5,2,,,0,14,27f773a1-7c17-4a1e-a91f-8fb3c53bae01,General,Normal_PvE_only_action_4,Moments_of_concentration_required_4,Ship_could_get_damaged_Could_lose_cargo_4,Standard_understanding_FPS_flight_professions_4,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,ContractGeneratorHandler_List,HighpointWildernessSpecialists_Unique,0,0,,,contracts,d7cd01d3-edf4-468d-a4f3-f14c40f8a733,HWS_PAF_KillWm,1,0,a8bfb9e7-8387-4784-b60c-ee0e03584deb,KillAnimals,Highpoint_KillAnimals_PAF_Valakkar_Fangs_name,Highpoint_KillAnimals_PAF_Valakkar_Fangs_desc,Highpoint_from,,,Contractor=Highpoint_from | Description=Highpoint_KillAnimals_PAF_Valakkar_Fangs_desc | Title=Highpoint_KillAnimals_PAF_Valakkar_Fangs_name,5e575a68-116a-44b3-ad61-57b34d7ba05c,,1,-1,5,2,,,0,14,27f773a1-7c17-4a1e-a91f-8fb3c53bae01,General,Normal_PvE_only_action_4,Moments_of_concentration_required_4,Ship_could_get_damaged_Could_lose_cargo_4,Standard_understanding_FPS_flight_professions_4,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,ContractGeneratorHandler_List,HighpointWildernessSpecialists_Unique,0,0,,,contracts,5c0ccaf1-cd37-4090-8e71-f10de0bc9232,HighpointWildernessSpecialists_KillAnimalsAtLocation_Easy_NoRep,1,0,f63ae62e-e16b-4bf6-8e2f-98a808180fe8,KillAnimals_AtLocation,Highpoint_KillAnimals_AtLocation_title,Highpoint_KillAnimals_AtLocation_desc,Highpoint_from,,,Contractor=Highpoint_from | Description=Highpoint_KillAnimals_AtLocation_desc | Title=Highpoint_KillAnimals_AtLocation_title,13abec13-80ce-4fda-917a-c2e2225b0268 | 94c73c70-19ff-42e8-b82b-77a72d5df9ad | 2c49d0df-ab02-44d3-ba6d-260889fce11e | 04a7053f-af5f-4bb4-964d-27459640fb7b | 6917e6bd-d6fd-446e-9a23-3238a505cc52 | 89ae7fab-6f67-4177-abe9-0275bf908a7e | 804cac07-1736-4629-8b2e-e36aad2757ff, |  |  |  |  |  | ,-1,1,5,2,5,2,0,5,27f773a1-7c17-4a1e-a91f-8fb3c53bae01,General,Easy_PvE_only_action_3,Routine_light_work_3,Minimal_danger_FPS_NOT_ship_action_3,Flight_mechanics_fly_dock_quantum_3,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,ContractGeneratorHandler_List,HighpointWildernessSpecialists_Unique,0,0,,,contracts,838e2184-f5f4-4f77-867f-a7747aeb0b53,HighpointWildernessSpecialists_KillAnimalsAtLocation_Medium_NoRep,1,0,4701df8a-0ff0-4772-b1e9-d4d600a27e2c,KillAnimals_AtLocation_2Locations,Highpoint_KillAnimals_AtLocation_title,Highpoint_KillAnimals_AtLocation_multi_desc,Highpoint_from,,,Contractor=Highpoint_from | Description=Highpoint_KillAnimals_AtLocation_multi_desc | Title=Highpoint_KillAnimals_AtLocation_title,94c73c70-19ff-42e8-b82b-77a72d5df9ad | 13abec13-80ce-4fda-917a-c2e2225b0268 | d5d68f8c-005a-439b-91ee-3ce637306d09 | 89ae7fab-6f67-4177-abe9-0275bf908a7e | 6917e6bd-d6fd-446e-9a23-3238a505cc52 | 04a7053f-af5f-4bb4-964d-27459640fb7b | 2c49d0df-ab02-44d3-ba6d-260889fce11e | 804cac07-1736-4629-8b2e-e36aad2757ff, |  |  |  |  |  |  | ,-1,1,5,2,5,2,0,10,27f773a1-7c17-4a1e-a91f-8fb3c53bae01,General,Normal_PvE_only_action_4,Routine_light_work_3,Minimal_danger_FPS_NOT_ship_action_3,Flight_mechanics_fly_dock_quantum_3,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,ContractGeneratorHandler_List,HighpointWildernessSpecialists_Unique,0,0,,,contracts,92d9b411-dd37-4236-9173-b91df52ea713,HighpointWildernessSpecialists_KillAnimalsAtLocation_Hard_NoRep,1,0,e1ae0cfc-b2e9-496f-8620-78af365e8236,KillAnimals_AtLocation_3Locations,Highpoint_KillAnimals_AtLocation_title,Highpoint_KillAnimals_AtLocation_multi_desc,Highpoint_from,,,Contractor=Highpoint_from | Description=Highpoint_KillAnimals_AtLocation_multi_desc | Title=Highpoint_KillAnimals_AtLocation_title,94c73c70-19ff-42e8-b82b-77a72d5df9ad | 13abec13-80ce-4fda-917a-c2e2225b0268 | d5d68f8c-005a-439b-91ee-3ce637306d09 | 89ae7fab-6f67-4177-abe9-0275bf908a7e | 6917e6bd-d6fd-446e-9a23-3238a505cc52 | 04a7053f-af5f-4bb4-964d-27459640fb7b | 2c49d0df-ab02-44d3-ba6d-260889fce11e | 804cac07-1736-4629-8b2e-e36aad2757ff, |  |  |  |  |  |  | ,-1,1,5,2,5,2,0,15,27f773a1-7c17-4a1e-a91f-8fb3c53bae01,General,Hard_PvE_or_Easy_PvP_action_5,Routine_light_work_3,Minimal_danger_FPS_NOT_ship_action_3,Flight_mechanics_fly_dock_quantum_3,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,ContractGeneratorHandler_List,HighpointWildernessSpecialists_Unique,0,0,,,contracts,b7587d9d-2141-4d61-89d6-dd11ca9a96e8,HighpointWildernessSpecialists_KillAnimals_Easy_NoRep,0,0,a8bfb9e7-8387-4784-b60c-ee0e03584deb,KillAnimals,Highpoint_KillAnimals_OneType_title,Highpoint_KillAnimal_OneType_desc,Highpoint_from,,,Contractor=Highpoint_from | Description=Highpoint_KillAnimal_OneType_desc | Title=Highpoint_KillAnimals_OneType_title,13abec13-80ce-4fda-917a-c2e2225b0268 | e513a3cd-fdf8-4a03-80d7-64a8c9888e44 | 2c49d0df-ab02-44d3-ba6d-260889fce11e | 04a7053f-af5f-4bb4-964d-27459640fb7b | 6917e6bd-d6fd-446e-9a23-3238a505cc52 | 89ae7fab-6f67-4177-abe9-0275bf908a7e, |  |  |  |  | ,-1,1,0,0,30,0,0,10,27f773a1-7c17-4a1e-a91f-8fb3c53bae01,General,Easy_PvE_only_action_3,Routine_light_work_3,Minimal_danger_FPS_NOT_ship_action_3,Flight_mechanics_fly_dock_quantum_3,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,ContractGeneratorHandler_List,HighpointWildernessSpecialists_Unique,0,0,,,contracts,61af9886-2117-45f8-9fd2-77e16fb12bcf,HighpointWildernessSpecialists_KillAnimals_Medium_NoRep,0,0,a8bfb9e7-8387-4784-b60c-ee0e03584deb,KillAnimals,Highpoint_KillAnimals_MultiType_M_title,Highpoint_KillAnimals_MultiType_M_desc,Highpoint_from,,,Contractor=Highpoint_from | Description=Highpoint_KillAnimals_MultiType_M_desc | Title=Highpoint_KillAnimals_MultiType_M_title,13abec13-80ce-4fda-917a-c2e2225b0268 | e513a3cd-fdf8-4a03-80d7-64a8c9888e44 | 2c49d0df-ab02-44d3-ba6d-260889fce11e | 04a7053f-af5f-4bb4-964d-27459640fb7b | 6917e6bd-d6fd-446e-9a23-3238a505cc52 | 89ae7fab-6f67-4177-abe9-0275bf908a7e | ff4d704a-7840-4577-ba64-7d4bd709ab9d | 8a397381-24d9-437a-9f35-35555f60c863 | 895f5eda-dbc3-4074-8f03-99a118d4ccd5 | ca8b9435-0cd7-461e-87ff-8003e7077ad4, |  |  |  |  |  |  |  |  | ,-1,1,0,0,30,2,0,15,27f773a1-7c17-4a1e-a91f-8fb3c53bae01,General,Normal_PvE_only_action_4,Moments_of_concentration_required_4,Ship_could_get_damaged_Could_lose_cargo_4,Standard_understanding_FPS_flight_professions_4,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,ContractGeneratorHandler_List,HighpointWildernessSpecialists_Unique,0,0,,,contracts,0f753484-1914-4770-aa59-25eeb460866b,HighpointWildernessSpecialists_KillAnimals_Hard_NoRep,0,0,a8bfb9e7-8387-4784-b60c-ee0e03584deb,KillAnimals,Highpoint_KillAnimals_MultiType_H_title,Highpoint_KillAnimals_MultiType_H_desc,Highpoint_from,,,Contractor=Highpoint_from | Description=Highpoint_KillAnimals_MultiType_H_desc | Title=Highpoint_KillAnimals_MultiType_H_title,13abec13-80ce-4fda-917a-c2e2225b0268 | e513a3cd-fdf8-4a03-80d7-64a8c9888e44 | 8a397381-24d9-437a-9f35-35555f60c863 | 895f5eda-dbc3-4074-8f03-99a118d4ccd5 | ca8b9435-0cd7-461e-87ff-8003e7077ad4, |  |  |  | ,-1,1,0,0,30,2,0,20,27f773a1-7c17-4a1e-a91f-8fb3c53bae01,General,Hard_PvE_or_Easy_PvP_action_5,Like_spinning_10_plates_at_once_5,Player_might_die_Ship_could_explode_5,Expert_understanding_FPS_flight_professions_5,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,ContractGeneratorHandler_List,HighpointWildernessSpecialists_Unique,0,0,,,contracts,9d31564a-6d9e-45cf-a512-4f58266be4d3,HighpointWildernessSpecialists_IrradiatedKopions_RegionA_KillAnimals,0,0,a8bfb9e7-8387-4784-b60c-ee0e03584deb,KillAnimals,Highpoint_KillAnimals_storm_H_title_001,Highpoint_KillAnimals_storm_H_desc_001,Highpoint_from,,,Contractor=Highpoint_from | Description=Highpoint_KillAnimals_storm_H_desc_001 | Title=Highpoint_KillAnimals_storm_H_title_001,df37cece-b270-481e-8557-698e8a3082de | 458b9c78-641a-4aec-9e2b-b7723635ba90 | d5d68f8c-005a-439b-91ee-3ce637306d09 | 49a2b330-cf00-425c-8cc6-273ce1bad4c9, |  |  | ,-1,1,0,0,30,2,0,20,27f773a1-7c17-4a1e-a91f-8fb3c53bae01,General,Normal_PvE_only_action_4,Moments_of_concentration_required_4,Player_might_die_Ship_could_explode_5,Standard_understanding_FPS_flight_professions_4,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,ContractGeneratorHandler_List,HighpointWildernessSpecialists_KillAnimals_Pyro,1,0,,,contracts,ed6dca79-5e7e-45bd-9f08-254fb4219ae4,HWS_Pyro_RegionA_E_DerelictOutposts_KillAnimals,0,0,f63ae62e-e16b-4bf6-8e2f-98a808180fe8,KillAnimals_AtLocation,Highpoint_KillAnimals_Derelictoutpostscaves_Title_E_001,Highpoint_KillAnimals_Derelictoutpostscaves_Desc_E_001,Highpoint_from,,,Contractor=Highpoint_from | Description=Highpoint_KillAnimals_Derelictoutpostscaves_Desc_E_001 | Title=Highpoint_KillAnimals_Derelictoutpostscaves_Title_E_001,c5b38262-c6ca-4207-aaae-a5b2488fb848 | 812520ca-5f0a-4e88-9649-91237b1e4e51 | 5e575a68-116a-44b3-ad61-57b34d7ba05c, |  | ,1,-1,5,2,,,0,10,27f773a1-7c17-4a1e-a91f-8fb3c53bae01,General,Zero_risk_of_action_2,Requires_minimal_thought_2,Barely_even_breaking_a_sweat_2,FPS_mechanics_walk_shoot_mobiGlass_2,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
