Template Class,Objective Debug Name,Order Index,Resource GUID,Resource Class,Resource Name Key,Min SCU,Max SCU,Max Container Size,Order Summary,Record GUID,Record Path
HaulCargo_AtoB_Bulk_Carbon,Hauling,1,9dc16af8-bfb9-4119-9e54-6db11b0a7ed2,carbon,items_commodities_carbon,400,600,32,,24f1b6c9-f666-4b87-bd1f-6652597ba39f,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_carbon.xml
HaulCargo_AtoB_Bulk_CleanAir_Cryopods,Hauling,1,f386a33c-ac9a-400a-a7b8-fe1fc7c8d270,iron,items_commodities_iron,400,600,32,,3855544f-61e8-4a66-a74a-49f7cf08d309,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_cleanair_cryopods.xml
HaulCargo_AtoB_Bulk_CleanAir_MedicalSupplies_Interstellar,Hauling,1,d5506a24-5729-4354-81fb-0959173357c4,medicalSupplies,items_commodities_medicalSupplies,1304,1304,8,,d57eb8b6-abe3-4255-9ff3-e234f7a73aa5,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_cleanair_medicalsupplies_interstellar.xml
HaulCargo_AtoB_Bulk_CleanAir_MedicalSupplies,Hauling,1,d5506a24-5729-4354-81fb-0959173357c4,medicalSupplies,items_commodities_medicalSupplies,616,616,8,,58914553-515f-47c2-a2d0-93b90d07da31,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_cleanair_medicalsupplies.xml
HaulCargo_AtoB_Bulk_CleanAir_MoldSample,Hauling,1,70f388a3-a84c-44c6-be8b-3ed295d39e77,MoldSamples,items_commodities_MoldSamples,2992,2992,16,,844469b8-ab07-4e12-b2d1-db3b54fa8677,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_cleanair_moldsample.xml
HaulCargo_AtoB_Bulk_CleanAir_MoldTreatment,Hauling,1,c87a8d56-8998-46ba-b056-0ebd0b07eed6,MoldTreatment,items_commodities_MoldTreatment,2992,2992,16,,67671b02-3ed4-4280-b87b-70987095f971,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_cleanair_moldtreatment.xml
HaulCargo_AtoB_Bulk_CleanAir_Resources,Hauling,1,f386a33c-ac9a-400a-a7b8-fe1fc7c8d270,iron,items_commodities_iron,400,600,32,,d19cef13-851e-4d93-82cf-afe2ea96ee81,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_cleanair_resources.xml
HaulCargo_AtoB_Bulk_CleanAir_VentFilters,Hauling,1,990291f7-211f-4c04-914f-bc98385451be,VentFilters,items_commodities_VentFilters,2992,2992,16,,b9a2fc87-9580-481d-b5d6-f72952edef5d,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_cleanair_ventfilters.xml
HaulCargo_AtoB_Bulk_Mixed_IronHydroFuelPressIceSpiritsConstMats,Hauling,1,f386a33c-ac9a-400a-a7b8-fe1fc7c8d270,iron,items_commodities_iron,120,120,24,,1df67154-3e05-4b54-86ed-90a2ac8c400a,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_mixed_ironhydrofuelpressicespiritsconstmats.xml
HaulCargo_AtoB_Bulk_Mixed_IronHydroFuelPressIceSpiritsConstMats,Hauling,2,de9f4d03-6b60-429d-9b26-9f2308bae973,typePlasmaFuel,items_commodities_type_plasmaFuel,120,120,24,,1df67154-3e05-4b54-86ed-90a2ac8c400a,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_mixed_ironhydrofuelpressicespiritsconstmats.xml
HaulCargo_AtoB_Bulk_Mixed_IronHydroFuelPressIceSpiritsConstMats,Hauling,3,f9f3251a-8e48-408a-b957-f1e3d5d3e213,pressurizedIce,items_commodities_pressurized_ice,120,120,24,,1df67154-3e05-4b54-86ed-90a2ac8c400a,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_mixed_ironhydrofuelpressicespiritsconstmats.xml
HaulCargo_AtoB_Bulk_Mixed_IronHydroFuelPressIceSpiritsConstMats,Hauling,4,e938ab24-2af8-48b5-9af7-8e82fb26dcb3,distilledSpirits,items_commodities_distilledSpirits,120,120,24,,1df67154-3e05-4b54-86ed-90a2ac8c400a,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_mixed_ironhydrofuelpressicespiritsconstmats.xml
HaulCargo_AtoB_Bulk_Mixed_IronHydroFuelPressIceSpiritsConstMats,Hauling,5,98aa6a70-80e7-41d7-9128-9692053d57a2,ConstructionMaterials,items_commodities_ConstructionMaterials,80,80,16,,1df67154-3e05-4b54-86ed-90a2ac8c400a,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_mixed_ironhydrofuelpressicespiritsconstmats.xml
HaulCargo_AtoB_Bulk_Potasium,Hauling,1,8dda1cf4-dc6c-4b31-93f2-8ca28ef6ec55,potassium,items_commodities_potassium,400,600,32,,0ac9ce6e-bc7c-48a0-92f7-879e9c31d814,libs/foundry/records/contracts/contracttemplates/haulcargo_atob_bulk_potasium.xml
