Faction Class,Name Key,Description Key,Default Reaction,Faction Type,Able To Arrest,Polices Lawful Trespass,Polices Criminality,No Legal Rights,Faction Reputation GUID,Faction Reputation Class,Faction Reputation Path,Reputation Display Name Key,Reputation Description Key,Reputation Headquarters Key,Reputation Founded Key,Reputation Leadership Key,Reputation Area Key,Reputation Focus Key,Reputation Lawful,Allied Faction GUIDs,Enemy Faction GUIDs,Record GUID,Record Path
Faction_Creature_Hostile_Generic_vlk_asd_align,LOC_UNINITIALIZED,LOC_EMPTY,Hostile,Unlawful,0,0,0,1,,,,,,,,,,,,7535609a-6616-4992-9550-f8d2fd60f0d4;c1abb5fa-54a5-47a1-b69b-b951254a9a66,,7535609a-6616-4992-9550-f8d2fd60f0d4,libs/foundry/records/factions/faction_creature_hostile_generic_vlk_asd_align.xml
Faction_Creature_Hostile_Generic,LOC_UNINITIALIZED,LOC_EMPTY,Hostile,Unlawful,0,0,0,1,,,,,,,,,,,,,,06f294ce-5a79-49c3-88b9-e6ba023887a4,libs/foundry/records/factions/faction_creature_hostile_generic.xml
Faction_Creature_Hostile_Kopion,LOC_UNINITIALIZED,LOC_EMPTY,Hostile,Unlawful,0,0,0,1,,,,,,,,,,,,,6e3b98f1-4eb2-4128-958f-c550e418c5a6;8f791865-9252-41d6-afd1-31783fd22674,b46d74e1-44c3-479a-ba0f-ba3f07d66529,libs/foundry/records/factions/faction_creature_hostile_kopion.xml
Faction_Creature_Hostile_Vanduul,Vanduul_RepUI_Name,Vanduul_RepUI_Description,Hostile,Unlawful,0,0,0,1,,,,,,,,,,,,,,1b2bc98f-092d-4c6e-85a3-0b159ba8e57b,libs/foundry/records/factions/faction_creature_hostile_vanduul.xml
Faction_Creature_Neutral_Generic,LOC_UNINITIALIZED,LOC_EMPTY,Neutral,Unlawful,0,0,0,1,,,,,,,,,,,,,,473ee0b2-d2f5-4fdf-b4d3-3a402942eb0b,libs/foundry/records/factions/faction_creature_neutral_generic.xml
Faction_CureLife,ClearAir_Journal_Header,LOC_UNINITIALIZED,Neutral,Lawful,0,0,0,0,a8c566ff-2d4a-4eb0-a503-8e229f658d9c,,,,,,,,,,,,,f97f4726-6cdf-426e-b16c-4daf67e78faa,libs/foundry/records/factions/faction_curelife.xml
Faction_LawEnforcement_Advocacy,Advocacy_RepUI_Name,Advocacy_RepUI_Description,Neutral,LawEnforcement,1,1,1,0,,,,,,,,,,,,,06f294ce-5a79-49c3-88b9-e6ba023887a4,a676b2d5-0e88-4b0a-bce5-948367830b9e,libs/foundry/records/factions/faction_lawenforcement_advocacy.xml
Faction_LawEnforcement_UEENavy,PU_UEE_Navy_RepUI_Name,PU_UEE_Navy_RepUI_Description,Neutral,LawEnforcement,1,1,1,0,,,,,,,,,,,,,06f294ce-5a79-49c3-88b9-e6ba023887a4,b2ee3a3c-5ca1-4179-b709-3ad9d2fb5fcd,libs/foundry/records/factions/faction_lawenforcement_ueenavy.xml
Faction_Lawful_Aciedo,Aciedo_RepUI_Name,Aciedo_RepUI_Description,Neutral,Lawful,0,0,0,0,f088575d-92ea-40e4-8d52-ce83884a11dd,FactionReputation_Aciedo,libs/foundry/records/factions/factionreputation/factionreputation_aciedo.xml,Aciedo_RepUI_Name,Aciedo_RepUI_Description,Aciedo_RepUI_Headquarters,Aciedo_RepUI_Founded,Aciedo_RepUI_Leadership,Aciedo_RepUI_Area,Aciedo_RepUI_Focus,1,,06f294ce-5a79-49c3-88b9-e6ba023887a4,4e429470-4d4e-4c2b-a4ac-4de42ada16e0,libs/foundry/records/factions/faction_lawful_aciedo.xml
Faction_Lawful_ArcCorp,ArcCorp_RepUI_Name,ArcCorp_RepUI_Description,Neutral,Lawful,0,0,0,0,e0961a32-0833-4857-939d-abd18190b04f,FactionReputation_ArcCorp,libs/foundry/records/factions/factionreputation/factionreputation_arccorp.xml,ArcCorp_RepUI_Name,ArcCorp_RepUI_Description,ArcCorp_RepUI_Headquarters,ArcCorp_RepUI_Founded,ArcCorp_RepUI_Leadership,ArcCorp_RepUI_Area,ArcCorp_RepUI_Focus,1,01bcfe41-40d7-48a6-bab2-eac7d902e9b2,06f294ce-5a79-49c3-88b9-e6ba023887a4,d27efa13-7f10-4b3e-87aa-43759d9301da,libs/foundry/records/factions/faction_lawful_arccorp.xml
