Entity Class,Composition GUID,Composition Class,Global Params GUID,Global Params Class,Audio Params GUID,Audio Params Class,Density Class GUID,Density Class,Filled Factor,Glow Curve Power,Glow Lerp Speed,Allow Auto Respawning,Record GUID,Record Path
angular_smooth_01_int_00020_minable,9632ae0e-3dbc-4f84-8c30-7fa581b6f07b,Asteroid_CType,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,7f4e1385-787f-4902-a94f-0906d985de7c,libs/foundry/records/entities/mineable/angular_smooth_01_int_00020_minable.xml
AphoriteMineableRockFPS_Asteroid,cd0d31e5-4858-4ad5-824f-9b58936120ef,FPS_Composition_AphoriteDeposit,a366df4d-03d9-4c7a-9adc-cb00a4935958,MiningGlobalParamsFPS,0246b606-78f3-407c-95cb-12ccc9496198,MiningGlobalAudioParamsFPS,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,0.1,0.25,1,a18c77b6-1b67-4931-a57f-a0482e207ddb,libs/foundry/records/entities/mineable/aphoritemineablerockfps_asteroid.xml
AsteroidCTypeMineableRock_Aluminium,3a6e7bb4-0f23-4c46-b822-333afe9d63ab,Asteroid_CType_Aluminium,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,6b582444-50ec-47fe-8c5f-a342e38506f3,libs/foundry/records/entities/mineable/asteroidctypemineablerock_aluminium.xml
AsteroidCTypeMineableRock_Copper,bd7712f1-df33-42d5-a1de-571b04405f23,Asteroid_CType_Copper,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,01b977c8-467f-4be7-94e9-b4b9843dd700,libs/foundry/records/entities/mineable/asteroidctypemineablerock_copper.xml
AsteroidCTypeMineableRock_Corundum,0d0cd0d0-d756-4b8e-b23a-f8c105f45bf5,Asteroid_CType_Corundum,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,75abf127-f345-4d5d-8373-cc32431d4bcb,libs/foundry/records/entities/mineable/asteroidctypemineablerock_corundum.xml
AsteroidCTypeMineableRock_Iron,4c8975b2-e98a-4c95-bcec-5b9c2dea5091,Asteroid_CType_Iron,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,bfb624f5-717c-454e-a34b-e8419da92efd,libs/foundry/records/entities/mineable/asteroidctypemineablerock_iron.xml
AsteroidCTypeMineableRock_Quartz,550fb8c6-1f76-4ff1-87f5-68233e0e1bad,Asteroid_CType_Quartz,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,42fd174a-6dea-4687-9c4f-8a72ef3c5e12,libs/foundry/records/entities/mineable/asteroidctypemineablerock_quartz.xml
AsteroidCTypeMineableRock_Silicon,54394560-d76b-4c1b-b9a8-be5d70e0f7ce,Asteroid_CType_Silicon,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,0503e4d8-91e9-4f36-9646-aa467ea56c80,libs/foundry/records/entities/mineable/asteroidctypemineablerock_silicon.xml
AsteroidCTypeMineableRock_Test,f37de72c-776e-43bd-a389-cbaa71da9b9e,Asteroid_CType_test,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,7b1c94c1-672f-4331-8134-a8803dbd5bc2,libs/foundry/records/entities/mineable/asteroidctypemineablerock_test.xml
AsteroidCTypeMineableRock_Tin,50f176de-e3ef-46e4-8612-731a9fb18854,Asteroid_CType_Tin,aa727a56-9937-4eb5-80c6-51b418d43177,MiningGlobalParamsShip,5f5c1a61-6500-46a1-8a01-7ba4956751d1,MiningGlobalAudioParams,6e889f53-d6bc-4b3e-80c5-875376e02194,HarvestableLootDensityClass,1,1,0.25,1,3930b056-8537-4200-bcce-f8620054fc9a,libs/foundry/records/entities/mineable/asteroidctypemineablerock_tin.xml
