Override Class,Density Class GUID,Density Class,Density Class Path,Lifetime Days,Lifetime Hours,Lifetime Minutes,Lifetime Seconds,Lifetime Total Seconds,Record GUID,Record Path
Nyx_AOS_AsteroidBaseCloud,b6cc39fd-7c14-4568-b261-197834e51116,SpaceShipDensityClass,libs/foundry/records/densityclasses/spaceshipdensityclass.xml,0,0,40,0,2400,3148e5ba-da83-4873-8a73-c1a328356329,libs/foundry/records/densityclasses/overrides/nyx_aos_asteroidbasecloud.xml
Nyx_AOS_AsteroidBaseCloud,cd0c5598-b595-4867-a769-03f6a0dc5e40,GroundVehiclesDensityClass,libs/foundry/records/densityclasses/groundvehiclesdensityclass.xml,0,0,20,0,1200,3148e5ba-da83-4873-8a73-c1a328356329,libs/foundry/records/densityclasses/overrides/nyx_aos_asteroidbasecloud.xml
Nyx_AOS_AsteroidBaseCloud,79378cf0-df14-4596-92bf-f4282545754f,CargoCommoditiesDensityClass,libs/foundry/records/densityclasses/cargocommoditiesdensityclass.xml,0,0,40,0,2400,3148e5ba-da83-4873-8a73-c1a328356329,libs/foundry/records/densityclasses/overrides/nyx_aos_asteroidbasecloud.xml
Nyx_AOS_AsteroidBaseCloud,926223c4-c709-4da6-8d46-106973cf6570,DebrisDensityClass,libs/foundry/records/densityclasses/debrisdensityclass.xml,0,0,20,0,1200,3148e5ba-da83-4873-8a73-c1a328356329,libs/foundry/records/densityclasses/overrides/nyx_aos_asteroidbasecloud.xml
Nyx_AOS_AsteroidBaseSuperstructure,b6cc39fd-7c14-4568-b261-197834e51116,SpaceShipDensityClass,libs/foundry/records/densityclasses/spaceshipdensityclass.xml,0,0,5,0,300,1774a5ba-39bc-4b2d-a73b-ef45012cc871,libs/foundry/records/densityclasses/overrides/nyx_aos_asteroidbasesuperstructure.xml
Nyx_AOS_AsteroidBaseSuperstructure,cd0c5598-b595-4867-a769-03f6a0dc5e40,GroundVehiclesDensityClass,libs/foundry/records/densityclasses/groundvehiclesdensityclass.xml,0,0,5,0,300,1774a5ba-39bc-4b2d-a73b-ef45012cc871,libs/foundry/records/densityclasses/overrides/nyx_aos_asteroidbasesuperstructure.xml
Nyx_AOS_AsteroidBaseSuperstructure,79378cf0-df14-4596-92bf-f4282545754f,CargoCommoditiesDensityClass,libs/foundry/records/densityclasses/cargocommoditiesdensityclass.xml,0,0,5,0,300,1774a5ba-39bc-4b2d-a73b-ef45012cc871,libs/foundry/records/densityclasses/overrides/nyx_aos_asteroidbasesuperstructure.xml
Nyx_AOS_AsteroidBaseSuperstructure,926223c4-c709-4da6-8d46-106973cf6570,DebrisDensityClass,libs/foundry/records/densityclasses/debrisdensityclass.xml,0,0,5,0,300,1774a5ba-39bc-4b2d-a73b-ef45012cc871,libs/foundry/records/densityclasses/overrides/nyx_aos_asteroidbasesuperstructure.xml
Stanton_HighTechMiningOutpost,b6cc39fd-7c14-4568-b261-197834e51116,SpaceShipDensityClass,libs/foundry/records/densityclasses/spaceshipdensityclass.xml,0,20,0,0,72000,ad7b50ff-f32b-4156-a56e-f0ddfc48f76d,libs/foundry/records/densityclasses/overrides/stanton_hightechminingoutpost.xml
Stanton_HighTechMiningOutpost,cd0c5598-b595-4867-a769-03f6a0dc5e40,GroundVehiclesDensityClass,libs/foundry/records/densityclasses/groundvehiclesdensityclass.xml,0,20,0,0,72000,ad7b50ff-f32b-4156-a56e-f0ddfc48f76d,libs/foundry/records/densityclasses/overrides/stanton_hightechminingoutpost.xml
Stanton_HighTechMiningOutpost,79378cf0-df14-4596-92bf-f4282545754f,CargoCommoditiesDensityClass,libs/foundry/records/densityclasses/cargocommoditiesdensityclass.xml,0,20,0,0,72000,ad7b50ff-f32b-4156-a56e-f0ddfc48f76d,libs/foundry/records/densityclasses/overrides/stanton_hightechminingoutpost.xml
Stanton_HighTechMiningOutpost,926223c4-c709-4da6-8d46-106973cf6570,DebrisDensityClass,libs/foundry/records/densityclasses/debrisdensityclass.xml,0,20,0,0,72000,ad7b50ff-f32b-4156-a56e-f0ddfc48f76d,libs/foundry/records/densityclasses/overrides/stanton_hightechminingoutpost.xml
