Mission Class,Description Key,Contract Intel,Cooldown,Reward,Reward Currency,Time Limit,Efficiency,Mission Difficulty,Record GUID,Record Path
KillAndCollectAnimals_Stanton4_Easy,RAIN_killcollectcreatures_onetype_desc_01,"Reward: 12,750 aUEC",,12750,UEC,,,-1,2bdc6e42-743d-42f8-a25b-4f3c937e280d,libs/foundry/records/missionbroker/jobboard/animals/killandcollect/killandcollectanimals_stanton4_easy.xml
KillAndCollectAnimals_Stanton4_Hard,RAIN_killcollectcreatures_multitype_desc_01,"Reward: 23,250 aUEC",,23250,UEC,,,-1,10588014-f7e3-43e5-8722-564819c8a8e5,libs/foundry/records/missionbroker/jobboard/animals/killandcollect/killandcollectanimals_stanton4_hard.xml
KillAndCollectAnimals_Stanton4_Medium,RAIN_killcollectcreatures_multitype_desc_01,"Reward: 17,750 aUEC",,17750,UEC,,,-1,cf5f221c-d5d6-468f-89e7-43d1f06b584f,libs/foundry/records/missionbroker/jobboard/animals/killandcollect/killandcollectanimals_stanton4_medium.xml
KillAndCollectAnimals,killcollectkopion_desc,"Reward: 100,000 aUEC",,100000,UEC,,,-1,6d792486-1c98-42fc-850b-f588fe4dcf89,libs/foundry/records/missionbroker/jobboard/animals/killandcollect/killandcollectanimals.xml
KillAllAnimals_Stanton4_Easy,Mtps_killallcreatures_onetype_desc_01,"Reward: 5,000 aUEC",,5000,UEC,,,-1,d9439023-2abc-44b6-a33b-a865e7a4c6f2,libs/foundry/records/missionbroker/jobboard/animals/killanimals/killallanimals_stanton4_easy.xml
KillAllAnimals_Stanton4_Hard,Mtps_killallcreatures_multitype__easy_desc_01,"Reward: 10,250 aUEC",,10250,UEC,,,-1,5cb40f05-c32e-4426-bbc2-e7a5331f0eb1,libs/foundry/records/missionbroker/jobboard/animals/killanimals/killallanimals_stanton4_hard.xml
KillAllAnimals_Stanton4_Medium,Mtps_killallcreatures_multitype__easy_desc_01,"Reward: 6,500 aUEC",,6500,UEC,,,-1,82f418c3-c26d-473a-82ea-deff3fed1a26,libs/foundry/records/missionbroker/jobboard/animals/killanimals/killallanimals_stanton4_medium.xml
KillAllAnimals,killallkopion_desc,"Reward: 100,000 aUEC",,100000,UEC,,,-1,358aff12-8f2f-4b61-a287-b1129464c94f,libs/foundry/records/missionbroker/jobboard/animals/killanimals/killallanimals.xml
KillAllAnimalsAtLocation_Stanton1_Easy,Hurston_killcreatureslocation_onetype_onelocation_desc_01,"Reward: 6,750 aUEC",,6750,UEC,,,-1,b4cdcc39-c037-4c12-96bc-e1d18530a923,libs/foundry/records/missionbroker/jobboard/animals/killanimals/killallanimalsatlocation_stanton1_easy.xml
KillAllAnimalsAtLocation_Stanton1_Hard,Hurston_killcreatureslocation_onetype_multilocation_desc_01,"Reward: 18,500 aUEC",,18500,UEC,,,-1,a384f6ae-6140-4380-a8e0-bf886a413d26,libs/foundry/records/missionbroker/jobboard/animals/killanimals/killallanimalsatlocation_stanton1_hard.xml
KillAllAnimalsAtLocation_Stanton1_Medium,Hurston_killcreatureslocation_onetype_multilocation_desc_01,"Reward: 11,750 aUEC",,11750,UEC,,,-1,20211df3-62f1-4229-b9d3-57f1022f5035,libs/foundry/records/missionbroker/jobboard/animals/killanimals/killallanimalsatlocation_stanton1_medium.xml
KillAllAnimalsAtLocation,killatlocation_desc,"Reward: 8,000 aUEC",,8000,UEC,,,-1,85b162fe-51ba-4285-9475-5aea74f813f8,libs/foundry/records/missionbroker/jobboard/animals/killanimals/killallanimalsatlocation.xml
HaulCargo_AToB_Gas_Hydrogen_CrossStanton,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,17d15e3e-672b-4006-b444-fa8ece7a9791,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_crossstanton.xml
HaulCargo_AToB_Gas_Hydrogen_Interstellar_BulkGrade,Covalex_HaulCargo_AToB_Stanton_Interstellar,"Reward: 711,750 aUEC\nTime Limit: 420 min\nCooldown: 20 min",20 min,711750,UEC,420,,3,c4365990-597a-43f8-8f65-d3934a4c1d5b,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_interstellar_bulkgrade.xml
HaulCargo_AToB_Gas_Hydrogen_Interstellar_BulkGrade1,HaulCargo_AtoB_desc,"Reward: 247,250 aUEC\nTime Limit: 360 min\nCooldown: 20 min",20 min,247250,UEC,360,,3,0987d4e9-e579-4447-85aa-56d92e5065c6,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_interstellar_bulkgrade1.xml
HaulCargo_AToB_Gas_Hydrogen_Interstellar_BulkGrade2,Covalex_HaulCargo_AToB_Stanton_Interstellar,"Reward: 698,750 aUEC\nTime Limit: 360 min\nCooldown: 20 min",20 min,698750,UEC,360,,3,4e59d0e2-1901-4023-bbbc-33449cc46bd2,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_interstellar_bulkgrade2.xml
HaulCargo_AToB_Gas_Hydrogen_Interstellar,HaulCargo_AtoB_desc,"Reward: 10,000 aUEC\nTime Limit: 300 min\nCooldown: 5 min",5 min,10000,UEC,300,,2,b3f4356c-31ed-4e93-b124-26c6e18211f2,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_interstellar.xml
HaulCargo_AToB_Gas_Hydrogen_Stanton_BulkGrade,HaulCargo_AtoB_desc,"Reward: 247,750 aUEC\nTime Limit: 360 min\nCooldown: 20 min",20 min,247750,UEC,360,,3,54a3b0a9-6225-4340-a882-b9b601f683f9,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton_bulkgrade.xml
HaulCargo_AToB_Gas_Hydrogen_Stanton1_SupplyGrade,HaulCargo_AtoB_desc,"Reward: 163,250 aUEC\nTime Limit: 480 min\nCooldown: 10 min",10 min,163250,UEC,480,,2,6d142b86-a050-4aef-a0a8-f2bb0512601e,libs/foundry/records/missionbroker/pu_missions/cargo/haulcargo_atob_gas_hydrogen_stanton1_supplygrade.xml
