Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Max Speed,Stage 1 Accel,Stage 2 Accel,Spline Speed,Spool Time,Cooldown,Interdiction Delay,Fuel Rate
qdrv_acas_s01_foxfire,item_Name_QRDV_ACAS_S01_Foxfire,,item_Desc_QRDV_ACAS_S01_Foxfire,ACAS,1,2,UNDEFINED,120,168000000,6900000,23400000,500000,4,5.5,3,0.00588
qdrv_acas_s01_lightfire,item_Name_QRDV_ACAS_S01_LightFire,,item_Desc_QRDV_ACAS_S01_LightFire,ACAS,1,3,UNDEFINED,110,140000000,5750000,19500000,500000,4,5.7,3,0.0049
qdrv_acas_s02_sparkfire,item_NameQDRV_ACAS_S02_SparkFire_SCItem,,item_DescQDRV_ACAS_S02_SparkFire_SCItem,ACAS,2,3,UNDEFINED,290,171000000,3450000,17200000,400000,6,10.26,3,0.00545
qdrv_acas_s02_sunfire,item_NameQDRV_ACAS_S02_SunFire_SCItem,,item_DescQDRV_ACAS_S02_SunFire_SCItem,ACAS,2,2,UNDEFINED,330,205000000,4140000,20600000,400000,6,9.9,3,0.00654
qdrv_aegs_s04_javelin,LOC_PLACEHOLDER,,,,4,1,UNDEFINED,120000,876000000,376000,11200000,400000,9,32,3,0.0613
qdrv_arcc_s01_burst,item_Name_QDRV_ARCC_S01_Burst,,item_Desc_QDRV_ARCC_S01_Burst,ARCC,1,2,UNDEFINED,170,198000000,6000000,18000000,500000,4,12.3,3,0.011368
qdrv_arcc_s01_flood,item_NameQDRV_ARCC_S01_Flood_SCItem,,item_DescQDRV_ARCC_S01_Flood_SCItem,ARCC,1,4,UNDEFINED,130,138000000,4170000,12500000,500000,4,11.8,3,0.010094
qdrv_arcc_s01_rush,item_NameQDRV_ARCC_S01_Rush,,item_DescQDRV_ARCC_S01_Rush,ARCC,1,3,UNDEFINED,150,165000000,5000000,15000000,500000,4,12,3,0.010682
qdrv_arcc_s02_cascade,item_NameQDRV_ARCC_S02_Cascade_SCItem,,item_DescQDRV_ARCC_S02_Cascade_SCItem,ARCC,2,4,UNDEFINED,360,168000000,2500000,11000000,400000,6,21.24,3,0.011227
qdrv_arcc_s02_flash,item_Name_QDRV_ARCC_S02_Flash,,item_Desc_QDRV_ARCC_S02_Flash,ARCC,2,2,UNDEFINED,470,242000000,3600000,15800000,400000,6,22.14,3,0.012644
