Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Force,Range,Full Strength Distance,Max Angle,Max Volume,Tow Force,Tow Max Distance
argo_atls_tractorbeam_s1,item_NameARGO_TractorBeam_S1_Cargo,item_NameARGO_TractorBeam_S1_Cargo,item_DescARGO_TractorBeam_S1_Cargo,GRIN,1,1,UNDEFINED,1050,0.0015 - 0.5,0.5 - 75,45,60,300000,,
argo_towingbeam_s3,item_NameGRIN_TractorBeam_004_S3,item_NameGRIN_TractorBeam_004_S3,item_DescGRIN_TractorBeam_004_S3,GRIN,3,1,UNDEFINED,1050,0.0015 - 5000,0.5 - 300,200,90,300000,120,125
grin_tractorbeam_s1,item_NameGRIN_TractorBeam_002_S1,item_NameGRIN_TractorBeam_002_S1,item_DescGRIN_TractorBeam_002_shared,GRIN,1,1,UNDEFINED,1050,0.0015 - 0.5,0 - 150,75,60,300000,,
grin_tractorbeam_s2,item_NameGRIN_TractorBeam_002_S2,item_NameGRIN_TractorBeam_002_S2,item_DescGRIN_TractorBeam_002_shared,GRIN,2,1,UNDEFINED,1050,0.0015 - 1.35,0.5 - 150,75,60,300000,,
grin_tractorbeam_s3,item_NameGRIN_TractorBeam_002_S3,item_NameGRIN_TractorBeam_002_S3,item_DescGRIN_TractorBeam_002_shared,GRIN,3,1,UNDEFINED,1050,0.0015 - 2.1,0.5 - 200,100,60,300000,,
wep_towingbeam_s3_template,item_NameGRIN_TractorBeam_S3,item_NameGRIN_TractorBeam_S3_short,item_DescGRIN_TractorBeam_S1,GRIN,3,1,UNDEFINED,1050,0.0015 - 5000,0.5 - 300,200,90,300000,120,200
wep_tractorbeam_s1_military_1,item_NameGRIN_TractorBeam_003_S1,item_NameGRIN_TractorBeam_003_S1,item_DescGRIN_TractorBeam_003_shared,GRIN,1,1,UNDEFINED,1050,0.0015 - 0.5,0.5 - 135,68,80,300000,,
wep_tractorbeam_s1_template,item_NameGRIN_TractorBeam_S1,item_NameGRIN_TractorBeam_S1_short,item_DescGRIN_TractorBeam_S1,GRIN,1,1,UNDEFINED,1050,0.0015 - 0.5,0.5 - 150,75,60,300000,,
wep_tractorbeam_s1_utility_1,item_NameGRIN_TractorBeam_002_S1_UT1,item_NameGRIN_TractorBeam_002_S1_UT1,item_DescGRIN_TractorBeam_002_shared_UT1,GRIN,1,1,UNDEFINED,1050,0.0015 - 0.6,0.5 - 130,65,60,300000,,
wep_tractorbeam_s1_utility_2,item_NameGRIN_TractorBeam_002_S1_UT2,item_NameGRIN_TractorBeam_002_S1_UT2,item_DescGRIN_TractorBeam_002_shared_UT2,GRIN,1,1,UNDEFINED,1050,0.0015 - 0.4,0.5 - 130,65,80,300000,,
wep_tractorbeam_s2_military_1,item_NameGRIN_TractorBeam_003_S2,item_NameGRIN_TractorBeam_003_S2,item_DescGRIN_TractorBeam_003_shared,GRIN,2,1,UNDEFINED,1050,0.0015 - 1.35,0.5 - 135,68,80,300000,,
wep_tractorbeam_s2_template,item_NameGRIN_TractorBeam_S2,item_NameGRIN_TractorBeam_S2_short,item_DescGRIN_TractorBeam_S1,GRIN,2,1,UNDEFINED,1050,0.0015 - 1.35,0.5 - 150,75,60,300000,,
wep_tractorbeam_s2_utility_1,item_NameGRIN_TractorBeam_002_S2_UT1,item_NameGRIN_TractorBeam_002_S2_UT1,item_DescGRIN_TractorBeam_002_shared_UT1,GRIN,2,1,UNDEFINED,1050,0.0015 - 1.5,0.5 - 130,65,60,300000,,
wep_tractorbeam_s2_utility_2,item_NameGRIN_TractorBeam_002_S2_UT2,item_NameGRIN_TractorBeam_002_S2_UT2,item_DescGRIN_TractorBeam_002_shared_UT2,GRIN,2,1,UNDEFINED,1050,0.0015 - 1.2,0.5 - 130,65,80,300000,,
wep_tractorbeam_s3_military_1,item_NameGRIN_TractorBeam_003_S3,item_NameGRIN_TractorBeam_003_S3,item_DescGRIN_TractorBeam_003_shared,GRIN,3,1,UNDEFINED,1050,0.0015 - 2.1,0.5 - 165,83,80,300000,,
wep_tractorbeam_s3_template,item_NameGRIN_TractorBeam_S3,item_NameGRIN_TractorBeam_S3_short,item_DescGRIN_TractorBeam_S1,GRIN,3,1,UNDEFINED,1050,0.0015 - 2.1,0.5 - 200,150,60,300000,,
wep_tractorbeam_s3_utility_1,item_NameGRIN_TractorBeam_002_S3_UT1,item_NameGRIN_TractorBeam_002_S3_UT1,item_DescGRIN_TractorBeam_002_shared_UT1,GRIN,3,1,UNDEFINED,1050,0.0015 - 2.25,0.5 - 150,75,60,300000,,
wep_tractorbeam_s3_utility_2,item_NameGRIN_TractorBeam_002_S3_UT2,item_NameGRIN_TractorBeam_002_S3_UT2,item_DescGRIN_TractorBeam_002_shared_UT2,GRIN,3,1,UNDEFINED,1050,0.0015 - 1.85,0.5 - 150,75,80,300000,,
wep_tractorbeam_s4_template,item_NameGRIN_TractorBeam_S4,item_NameGRIN_TractorBeam_S4_short,item_DescGRIN_TractorBeam_S1,GRIN,4,1,UNDEFINED,1050,0.0015 - 10,0.5 - 300,250,60,300000,,
