Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Type,Ammo Quantity,Ammo Speed,Ammo Lifetime,Signature IR,Signature CS,Signature EM
aegs_avenger_cml_chaff,item_NameAEGS_Gladius_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Gladius_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
aegs_avenger_cml_flare,item_NameAEGS_Avenger_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Avenger_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
aegs_cml_decoy_small,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
aegs_eclipse_cml_chaff,item_NameAEGS_Eclipse_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Eclipse_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
aegs_eclipse_cml_flare,item_NameAEGS_Eclipse_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Eclipse_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
aegs_firebird_cml_chaff,LOC_PLACEHOLDER,hud_countermeasure_smokescreen,LOC_PLACEHOLDER,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
aegs_firebird_cml_flare,LOC_PLACEHOLDER,hud_countermeasure_decoy,LOC_PLACEHOLDER,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
aegs_gladius_cml_chaff,item_NameAEGS_Gladius_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Gladius_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
aegs_gladius_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
aegs_hammerhead_cml_chaff,item_NameAEGS_Hammerhead_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Hammerhead_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,12,180,0.8,80000,100000,150000
aegs_hammerhead_cml_flare,item_NameAEGS_Hammerhead_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Hammerhead_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,25,90,12,40000,20000,60000
aegs_idris_cml_chaff,item_NameAEGS_Hammerhead_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Hammerhead_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,300,180,0.8,80000,100000,150000
aegs_idris_cml_flare,item_NameAEGS_Hammerhead_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Hammerhead_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,600,90,12,40000,20000,60000
aegs_javelin_cml_decoy,item_NameAmmobox_JOKR_Defcon_Flares,hud_countermeasure_decoy,item_DescAmmobox_JOKR_Defcon_Flares,JOKR,1,1,CountermeasureLauncher,1000,Decoy,92,90,12,40000,20000,60000
aegs_peregrine_cml_chaff,LOC_PLACEHOLDER,hud_countermeasure_smokescreen,LOC_PLACEHOLDER,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
aegs_peregrine_cml_flare,LOC_PLACEHOLDER,hud_countermeasure_decoy,LOC_PLACEHOLDER,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
aegs_raven_cml_chaff,LOC_PLACEHOLDER,hud_countermeasure_smokescreen,LOC_PLACEHOLDER,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
aegs_raven_cml_flare,LOC_PLACEHOLDER,hud_countermeasure_decoy,LOC_PLACEHOLDER,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
aegs_retaliator_cml_chaff,item_NameAEGS_Eclipse_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Eclipse_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
aegs_retaliator_cml_flare,item_NameAEGS_Eclipse_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Eclipse_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
aegs_sabre_cml_chaff,item_NameAEGS_Sabre_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Sabre_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
aegs_sabre_cml_flare,item_NameAEGS_Sabre_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Sabre_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
aegs_tiburon_cml_chaff,item_NameAEGS_Hammerhead_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Hammerhead_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,12,180,0.8,80000,100000,150000
aegs_tiburon_cml_flare,item_NameAEGS_Hammerhead_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Hammerhead_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,25,90,12,40000,20000,60000
anvl_asgard_cml_chaff,item_NameAEGS_Gladius_CML_Chaff,hud_countermeasure_smokescreen,item_DescAEGS_Gladius_CML_Chaff,AEGS,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
anvl_asgard_cml_flare,item_NameAEGS_Gladius_CML_Flare,hud_countermeasure_decoy,item_DescAEGS_Gladius_CML_Flare,AEGS,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
anvl_cml_decoy_small,item_NameANVL_CML_Flare,hud_countermeasure_decoy,item_DescANVL_CML_Flare,ANVL,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
anvl_cml_noise_small,item_NameANVL_CML_Chaff,hud_countermeasure_smokescreen,item_DescANVL_CML_Chaff,ANVL,1,1,CountermeasureLauncher,1000,Noise,5,180,0.8,30000,20000,30000
anvl_f7a_cml_chaff,item_NameANVL_CML_Chaff,hud_countermeasure_smokescreen,item_DescANVL_CML_Chaff,ANVL,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
anvl_f7a_cml_flare,item_NameANVL_CML_Flare,hud_countermeasure_decoy,item_DescANVL_CML_Flare,ANVL,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
anvl_f7a_mk1_cml_chaff,item_NameANVL_CML_Chaff,hud_countermeasure_smokescreen,item_DescANVL_CML_Chaff,ANVL,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
anvl_f7a_mk1_cml_flare,item_NameANVL_CML_Flare,hud_countermeasure_decoy,item_DescANVL_CML_Flare,ANVL,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
anvl_gladiator_cml_chaff,item_NameANVL_Gladiator_CML_Chaff,hud_countermeasure_smokescreen,item_DescANVL_Gladiator_CML_Chaff,ANVL,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
anvl_gladiator_cml_flare,item_NameANVL_Gladiator_CML_Flare,hud_countermeasure_decoy,item_DescANVL_Gladiator_CML_Flare,ANVL,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
anvl_hawk_cml_chaff,item_NameANVL_CML_Chaff,hud_countermeasure_smokescreen,item_DescANVL_CML_Chaff,ANVL,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
anvl_hawk_cml_flare,item_NameANVL_CML_Flare,hud_countermeasure_decoy,item_DescANVL_CML_Flare,ANVL,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
anvl_hurricane_cml_chaff,item_NameANVL_CML_Chaff,hud_countermeasure_smokescreen,item_DescANVL_CML_Chaff,ANVL,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
anvl_hurricane_cml_flare,item_NameANVL_CML_Flare,hud_countermeasure_decoy,item_DescANVL_CML_Flare,ANVL,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
anvl_paladin_cml_chaff,item_NameANVL_CML_Chaff,hud_countermeasure_smokescreen,item_DescANVL_CML_Chaff,ANVL,1,1,CountermeasureLauncher,1000,Chaff,5,180,0.8,30000,20000,30000
anvl_paladin_cml_flare,item_NameANVL_CML_Flare,hud_countermeasure_decoy,item_DescANVL_CML_Flare,ANVL,1,1,CountermeasureLauncher,1000,Decoy,48,65,8,20000,6500,20000
