Entity Class,Name Key,Description Key,Display Name Key,Display Description Key,Display Type Key,Type GUID,Subtype GUID,Cargo Occupancy Unit,Cargo Occupancy Value,Cargo Occupancy SCU,Boxable,Unrefined,Raw,Refined,Controlled Substance Jurisdictions,Controlled Substance Max SCU,Legality Warning Source,Record GUID,Record Path
agriculturalSupplies,items_commodities_agriculturalSupplies,LOC_EMPTY,items_commodities_agriculturalSupplies,LOC_UNINITIALIZED,items_commodities_type_agriculturalSupply,6bc39eae-ef95-4c6a-a883-7118aeef631e,e7645f9b-99b5-44a7-a2f9-d741b2c279b6,SCentiCargoUnit,1,0.01,1,0,,,,,,dcb64476-e7be-4fe2-9a39-89df37f25270,libs/foundry/records/entities/commodities/agriculturalsupplies/agriculturalsupplies.xml
agriculturalSupplies,items_commodities_agriculturalSupplies,LOC_EMPTY,items_commodities_agriculturalSupplies,LOC_UNINITIALIZED,items_commodities_type_agriculturalSupply,6bc39eae-ef95-4c6a-a883-7118aeef631e,e7645f9b-99b5-44a7-a2f9-d741b2c279b6,SCentiCargoUnit,1,0.01,1,0,,,,,,dcb64476-e7be-4fe2-9a39-89df37f25270,libs/foundry/records/entities/commodities/agriculturalsupplies/agriculturalsupplies.xml
CK13-GIDSeedBlend,items_commodities_CK13GIDSeeds,items_commodities_CK13GIDSeeds_desc,items_commodities_CK13GIDSeeds,LOC_UNINITIALIZED,items_commodities_type_agriculturalSupply,6bc39eae-ef95-4c6a-a883-7118aeef631e,fe0cf487-a81b-42d8-8df7-093a73a7d64f,SCentiCargoUnit,1,0.01,1,0,,,,,,2d70b5eb-0691-4270-b173-f91b7f59ee88,libs/foundry/records/entities/commodities/agriculturalsupplies/ck13-gidseedblend.xml
CK13-GIDSeedBlend,items_commodities_CK13GIDSeeds,items_commodities_CK13GIDSeeds_desc,items_commodities_CK13GIDSeeds,LOC_UNINITIALIZED,items_commodities_type_agriculturalSupply,6bc39eae-ef95-4c6a-a883-7118aeef631e,fe0cf487-a81b-42d8-8df7-093a73a7d64f,SCentiCargoUnit,1,0.01,1,0,,,,,,2d70b5eb-0691-4270-b173-f91b7f59ee88,libs/foundry/records/entities/commodities/agriculturalsupplies/ck13-gidseedblend.xml
DCSR2,items_commodities_DCSR2,items_commodities_DCSR2_desc,items_commodities_DCSR2,items_commodities_DCSR2_desc,items_commodities_type_agriculturalSupply,6bc39eae-ef95-4c6a-a883-7118aeef631e,8740c6c1-63cf-480f-af47-d2addf01fb31,SCentiCargoUnit,1,0.01,1,0,,,Jurisdictions_Name_001|Jurisdictions_Name_002|Jurisdictions_Name_003|Jurisdictions_Name_004|Jurisdictions_Name_005,0.125,controlled-substance,61f442d3-ec14-48d1-af2e-bcb50b894d58,libs/foundry/records/entities/commodities/agriculturalsupplies/dcsr2.xml
DCSR2,items_commodities_DCSR2,items_commodities_DCSR2_desc,items_commodities_DCSR2,items_commodities_DCSR2_desc,items_commodities_type_agriculturalSupply,6bc39eae-ef95-4c6a-a883-7118aeef631e,8740c6c1-63cf-480f-af47-d2addf01fb31,SCentiCargoUnit,1,0.01,1,0,,,Jurisdictions_Name_001|Jurisdictions_Name_002|Jurisdictions_Name_003|Jurisdictions_Name_004|Jurisdictions_Name_005,0.125,controlled-substance,61f442d3-ec14-48d1-af2e-bcb50b894d58,libs/foundry/records/entities/commodities/agriculturalsupplies/dcsr2.xml
atlasium,items_commodities_atlasium,items_commodities_atlasium_desc,items_commodities_atlasium,LOC_UNINITIALIZED,items_commodities_type_alloy,22325f28-8d37-46ab-8c08-8a9b34101fad,45f89d34-3167-4723-9b85-f9df3770ce00,SCentiCargoUnit,1,0.01,1,0,,,,,,af5dcf22-7a28-4b1e-88f0-4309d34be11a,libs/foundry/records/entities/commodities/alloys/atlasium.xml
atlasium,items_commodities_atlasium,items_commodities_atlasium_desc,items_commodities_atlasium,LOC_UNINITIALIZED,items_commodities_type_alloy,22325f28-8d37-46ab-8c08-8a9b34101fad,45f89d34-3167-4723-9b85-f9df3770ce00,SCentiCargoUnit,1,0.01,1,0,,,,,,af5dcf22-7a28-4b1e-88f0-4309d34be11a,libs/foundry/records/entities/commodities/alloys/atlasium.xml
dymantium,items_commodities_dymantium,items_commodities_dymantium_desc,items_commodities_dymantium,LOC_UNINITIALIZED,items_commodities_type_alloy,22325f28-8d37-46ab-8c08-8a9b34101fad,afaaaf2c-dded-4e5f-a3a3-bbea2a3a24e4,SCentiCargoUnit,1,0.01,1,0,,,,,,bd56ff6d-3ab7-4f66-8346-f620e7f77391,libs/foundry/records/entities/commodities/alloys/dymantium.xml
dymantium,items_commodities_dymantium,items_commodities_dymantium_desc,items_commodities_dymantium,LOC_UNINITIALIZED,items_commodities_type_alloy,22325f28-8d37-46ab-8c08-8a9b34101fad,afaaaf2c-dded-4e5f-a3a3-bbea2a3a24e4,SCentiCargoUnit,1,0.01,1,0,,,,,,bd56ff6d-3ab7-4f66-8346-f620e7f77391,libs/foundry/records/entities/commodities/alloys/dymantium.xml
steel,items_commodities_steel,items_commodities_steel_desc,items_commodities_steel,LOC_UNINITIALIZED,items_commodities_type_alloy,22325f28-8d37-46ab-8c08-8a9b34101fad,bb720729-3e8e-4129-b21a-8cdc4a7627b2,SCentiCargoUnit,1,0.01,1,0,,,,,,08e30ea3-0b36-4945-a57e-91bf3608f1b4,libs/foundry/records/entities/commodities/alloys/steel.xml
