Generator Class,Contract ID,Contract Debug Name,Template Class,Description Key,Description Key Role,Contract Intel,Time Limit,Contract Buy In Amount,Difficulty Profile Class,Record GUID,Record Path
HighpointWildernessSpecialists_KillAnimals,146de300-7fb5-40e0-abd8-f780456ce6c0,HWS_PAF_KillKopions,KillAnimals_AtLocation,Highpoint_KillAnimals_PAF_Kopion_desc,primary,Time Limit: 14 min,14,,General,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,d7cd01d3-edf4-468d-a4f3-f14c40f8a733,HWS_PAF_KillWm,KillAnimals,Highpoint_KillAnimals_PAF_Valakkar_Fangs_desc,primary,Time Limit: 14 min,14,,General,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,5c0ccaf1-cd37-4090-8e71-f10de0bc9232,HighpointWildernessSpecialists_KillAnimalsAtLocation_Easy_NoRep,KillAnimals_AtLocation,Highpoint_KillAnimals_AtLocation_desc,primary,"Time Limit: 5 min\nReputation Awarded: 1,000",5,,General,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,838e2184-f5f4-4f77-867f-a7747aeb0b53,HighpointWildernessSpecialists_KillAnimalsAtLocation_Medium_NoRep,KillAnimals_AtLocation_2Locations,Highpoint_KillAnimals_AtLocation_multi_desc,primary,"Time Limit (by variant): 10 min / 15 min\nReputation Awarded (by difficulty): 2,000 / 4,000",10 | 15,,General,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,92d9b411-dd37-4236-9173-b91df52ea713,HighpointWildernessSpecialists_KillAnimalsAtLocation_Hard_NoRep,KillAnimals_AtLocation_3Locations,Highpoint_KillAnimals_AtLocation_multi_desc,primary,"Time Limit (by variant): 10 min / 15 min\nReputation Awarded (by difficulty): 2,000 / 4,000",10 | 15,,General,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,b7587d9d-2141-4d61-89d6-dd11ca9a96e8,HighpointWildernessSpecialists_KillAnimals_Easy_NoRep,KillAnimals,Highpoint_KillAnimal_OneType_desc,primary,"Time Limit: 10 min\nReputation Awarded: 1,000",10,,General,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,61af9886-2117-45f8-9fd2-77e16fb12bcf,HighpointWildernessSpecialists_KillAnimals_Medium_NoRep,KillAnimals,Highpoint_KillAnimals_MultiType_M_desc,primary,"Time Limit: 15 min\nReputation Awarded: 2,000",15,,General,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,0f753484-1914-4770-aa59-25eeb460866b,HighpointWildernessSpecialists_KillAnimals_Hard_NoRep,KillAnimals,Highpoint_KillAnimals_MultiType_H_desc,primary,"Time Limit: 20 min\nReputation Awarded: 4,000",20,,General,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,9d31564a-6d9e-45cf-a512-4f58266be4d3,HighpointWildernessSpecialists_IrradiatedKopions_RegionA_KillAnimals,KillAnimals,Highpoint_KillAnimals_storm_H_desc_001,primary,Time Limit: 20 min,20,,General,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
HighpointWildernessSpecialists_KillAnimals,e870c6b4-9632-4ff9-ab2e-bb8ba72a25aa,HighpointWildernessSpecialists_KillAnimalsAtLocation_Stanton1_Easy,KillAnimals_AtLocation,Highpoint_KillAnimals_AtLocation_desc,primary,"Time Limit: 5 min\nReputation Awarded: 1,000",5,,General,ef092d52-1a67-4502-a404-b322ca766f59,libs/foundry/records/contracts/contractgenerator/academyofsciences_guild/highpoint wilderness specialists/highpointwildernessspecialists_killanimals.xml
