Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Cooling Rate,Power Usage,EM Signature,EM Signature Decay,IR Signature,IR Signature Decay,Temperature to IR,Minimum Temperature for IR,Distortion Shutdown Damage,Distortion Decay Delay,Distortion Decay Rate,Distortion Shutdown Time
cool_acom_s01_iceplunge,item_NameCOOL_ACOM_S01_IcePlunge,,item_DescCOOL_ACOM_S01_IcePlunge,ACOM,1,3,UNDEFINED,69,34,2,818,0.15,5890,0.5,0,250,1050,1.5,70,16.5
cool_acom_s01_quickcool,item_NameCOOL_ACOM_S01_QuickCool,,item_DescCOOL_ACOM_S01_QuickCool,ACOM,1,4,UNDEFINED,62,32,2,818,0.15,5400,0.5,0,250,900,1.5,60,16.5
cool_acom_s01_zerorush,item_Name_COOL_ACOM_S01_ZeroRush,,item_Desc_COOL_ACOM_S01_ZeroRush,ACOM,1,2,UNDEFINED,78,34,2,818,0.15,5890,0.5,0,250,1150,1.5,76.66666,16.5
cool_acom_s02_absolutezero,item_NameCOOL_ACOM_S02_AbsoluteZero_SCItem,,item_DescCOOL_ACOM_S02_AbsoluteZero_SCItem,ACOM,2,2,UNDEFINED,210,46,3,1230,0.15,7850,0.5,0,250,1800,3,120,18
cool_acom_s02_icedive,item_NameCOOL_ACOM_S02_IceDive_SCItem,,item_DescCOOL_ACOM_S02_IceDive_SCItem,ACOM,2,3,UNDEFINED,190,46,3,1230,0.15,7850,0.5,0,250,1600,3,106.6667,18
cool_acom_s02_rapidcool,item_NameCOOL_ACOM_S02_RapidCool_SCItem,,item_DescCOOL_ACOM_S02_RapidCool_SCItem,ACOM,2,4,UNDEFINED,170,43,3,1230,0.15,7200,0.5,0,250,1450,3,96.66666,18
cool_aegs_s01_bracer,item_NameCOOL_AEGS_S01_Bracer,,item_DescCOOL_AEGS_S01_Bracer,AEGS,1,3,UNDEFINED,180,34,3,1490,0.15,7260,0.5,0,250,2700,1.5,180,16.5
cool_aegs_s01_glacier,item_Name_COOL_AEGS_S01_Glacier,,item_Desc_COOL_AEGS_S01_Glacier,AEGS,1,1,UNDEFINED,230,38,3,1490,0.15,7920,0.5,0,250,3500,1.5,233.3333,16.5
cool_aegs_s01_polar,item_NameCOOL_AEGS_S01_Polar,,item_DescCOOL_AEGS_S01_Polar,AEGS,1,2,UNDEFINED,210,34,3,1490,0.15,7260,0.5,0,250,3100,1.5,206.6667,16.5
cool_aegs_s01_tundra,item_NameCOOL_AEGS_S01_Tundra,,item_DescCOOL_AEGS_S01_Tundra,AEGS,1,4,UNDEFINED,160,32,3,1490,0.15,6600,0.5,0,250,2350,1.5,156.6667,16.5
cool_aegs_s02_arctic,item_NameCOOL_AEGS_S02_Arctic,,item_DescCOOL_AEGS_S02_Arctic,AEGS,2,3,UNDEFINED,490,46,4,1980,0.15,9440,0.5,0,250,4150,3,276.6667,18
