BlueprintClass,TargetEntityClassGuid,TargetEntityClass,TargetItemNameKey,RecipeCosts,Ref,Path
BP_CRAFT_behr_lmg_ballistic_01_mag,b5f37920-ba9a-4a07-85e9-4d09f8e2f5ad,behr_lmg_ballistic_01_mag,item_Namebehr_lmg_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.03},{""resource"":""f386a33c-ac9a-400a-a7b8-fe1fc7c8d270"",""minQuality"":0,""amount"":0.03}]",017bb372-2fe2-4615-8bcb-e18020baaa4f,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_behr_lmg_ballistic_01_mag.xml
BP_CRAFT_behr_pistol_ballistic_01_mag,8ec810e2-2d9e-4bbf-9b64-c603aaef01db,behr_pistol_ballistic_01_mag,item_Namebehr_pistol_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.01},{""resource"":""75b37a54-45c9-4f27-ac09-9830f092dd86"",""minQuality"":0,""amount"":0.01}]",fa4f0260-02e9-4079-9b60-8df31811fe8c,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_behr_pistol_ballistic_01_mag.xml
BP_CRAFT_behr_rifle_ballistic_01_mag,1f8845fb-22de-4c73-b6e6-ed1d1b066808,behr_rifle_ballistic_01_mag,item_Namebehr_rifle_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""f386a33c-ac9a-400a-a7b8-fe1fc7c8d270"",""minQuality"":0,""amount"":0.02}]",09d9048a-7f2f-475d-b51d-06f6c0c435da,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_behr_rifle_ballistic_01_mag.xml
BP_CRAFT_behr_rifle_ballistic_02_mag_civilian,dd21edb8-a0ba-42ab-a02a-bec325e96c87,behr_rifle_ballistic_02_mag_civilian,item_Namebehr_rifle_ballistic_02_civilian_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""60f116f4-c02a-45b2-9ded-333747795124"",""minQuality"":0,""amount"":0.02}]",edcf3145-e9a9-471a-baa2-12f54da9ed26,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_behr_rifle_ballistic_02_mag_civilian.xml
BP_CRAFT_behr_smg_ballistic_01_mag,90adb28a-049e-4357-8000-a4bb75bb7f6f,behr_smg_ballistic_01_mag,item_Namebehr_smg_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""75b37a54-45c9-4f27-ac09-9830f092dd86"",""minQuality"":0,""amount"":0.02}]",39d39941-3c16-47fd-b7af-ce23e336d8e2,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_behr_smg_ballistic_01_mag.xml
BP_CRAFT_behr_sniper_ballistic_01_mag,b038fea7-2e2f-4b47-b90d-4bb39bde3229,behr_sniper_ballistic_01_mag,item_Namebehr_sniper_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.03},{""resource"":""60f116f4-c02a-45b2-9ded-333747795124"",""minQuality"":0,""amount"":0.03}]",4940c111-ffb2-45bb-a7f6-abe9859599f7,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_behr_sniper_ballistic_01_mag.xml
BP_CRAFT_gmni_lmg_ballistic_01_mag,daa0fe47-d6f7-44eb-a3d6-e3e13724a6ba,gmni_lmg_ballistic_01_mag,item_Namegmni_lmg_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.03},{""resource"":""f386a33c-ac9a-400a-a7b8-fe1fc7c8d270"",""minQuality"":0,""amount"":0.03}]",9f11679b-027f-4a0b-903d-6655f2978e76,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_gmni_lmg_ballistic_01_mag.xml
BP_CRAFT_gmni_pistol_ballistic_01_mag,068c28b8-3ea3-409a-b08d-1d53ae1e3303,gmni_pistol_ballistic_01_mag,item_Namegmni_pistol_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.01},{""resource"":""75b37a54-45c9-4f27-ac09-9830f092dd86"",""minQuality"":0,""amount"":0.01}]",a193c4c6-87ed-4623-87db-588e59d47c04,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_gmni_pistol_ballistic_01_mag.xml
BP_CRAFT_gmni_rifle_ballistic_01_mag,1fc5d1dc-1fbd-480b-9b1a-a5121963de78,gmni_rifle_ballistic_01_mag,item_Namegmni_rifle_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""60f116f4-c02a-45b2-9ded-333747795124"",""minQuality"":0,""amount"":0.02}]",2ab23481-28dc-400c-b883-b226be8f9e64,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_gmni_rifle_ballistic_01_mag.xml
BP_CRAFT_gmni_smg_ballistic_01_mag,3f4a69ef-0bcf-4cd6-a272-782f6641c242,gmni_smg_ballistic_01_mag,item_NameGMNI_smg_ballistic_01_mag,"[{""resource"":""61189578-ed7a-4491-9774-37ae2f82b8b0"",""minQuality"":0,""amount"":0.02},{""resource"":""75b37a54-45c9-4f27-ac09-9830f092dd86"",""minQuality"":0,""amount"":0.02}]",d84901a7-cdf5-40fc-8f9b-a3610ef333c5,libs/foundry/records/crafting/blueprints/crafting/fpsgear/ammo/ballistic/bp_craft_gmni_smg_ballistic_01_mag.xml
