Location Class,Name Key,Description Key,Callout 1 Key,Callout 2 Key,Callout 3 Key,Type GUID,Parent GUID,Parent Class,Parent Path,Affiliation GUID,Affiliation Class,Affiliation Path,Affiliation Name Key,Jurisdiction GUID,Jurisdiction Class,Jurisdiction Path,Jurisdiction Name Key,Respawn Location Type,Location Hierarchy Tag,Nav Icon,Size,Hide In Starmap,Hide In World,Hide When In Adoption Radius,Only Show When Parent Selected,Override Show In All Zones,Override Permanent,Minimum Display Size,Block Travel,Is Scannable,Show Orbit Line,Use Holo Material,No Auto Body Recovery,Arrival Radius,Adoption Radius,Set Entity Location On Enter,Expose For Player Created Missions,StarMap Geom Path,StarMap Material Path,StarMap Shape Path,Location Image Path,Record GUID,Record Path
CardinalPoint,Nav_1,,,,,f8b09816-e5d1-4be4-9243-e84df0cf5477,,,,,,,,,,,,None,,Default,0.1,1,0,0,0,NoOverride,NoOverride,0,0,0,1,1,0,1000,0,,,,,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,868d468b-bec1-4b5c-9bc8-901deee41eec,libs/foundry/records/starmap/cardinalpoint.xml
CardinalPoint,Nav_1,,,,,f8b09816-e5d1-4be4-9243-e84df0cf5477,,,,,,,,,,,,None,,Default,0.1,1,0,0,0,NoOverride,NoOverride,0,0,0,1,1,0,1000,0,,,,,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,868d468b-bec1-4b5c-9bc8-901deee41eec,libs/foundry/records/starmap/cardinalpoint.xml
PlaceholderStarMapRecord,LOC_PLACEHOLDER,,,,,c7f1393f-8cb3-4ac8-9dc7-75671c1b07fe,,,,,,,,,,,,None,,Default,0.1,1,0,0,0,NoOverride,NoOverride,0,0,0,1,1,0,,,,,,,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,08a37aa1-f663-453a-948a-66e1a3e6d10a,libs/foundry/records/starmap/placeholderstarmaprecord.xml
PlaceholderStarMapRecord,LOC_PLACEHOLDER,,,,,c7f1393f-8cb3-4ac8-9dc7-75671c1b07fe,,,,,,,,,,,,None,,Default,0.1,1,0,0,0,NoOverride,NoOverride,0,0,0,1,1,0,,,,,,,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,08a37aa1-f663-453a-948a-66e1a3e6d10a,libs/foundry/records/starmap/placeholderstarmaprecord.xml
AlignmentFacility_TEMPLATE,mission_location_pyro_151,,,,,e207a1ec-1395-4c1c-8e51-b38c4420784c,,,,,,,,,,,,None,,Outpost,1,0,0,0,0,NoOverride,NoOverride,0,0,0,0,1,0,20000,0,1,0,Objects/UI/Starmap/icon_nav_marker_outpost_1_a.cgf,Objects/UI/Starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,bc76b172-6a6b-4ba1-8056-d0fa274e081f,libs/foundry/records/starmap/pu/alignmentfacility_template.xml
AlignmentFacility_TEMPLATE,mission_location_pyro_151,,,,,e207a1ec-1395-4c1c-8e51-b38c4420784c,,,,,,,,,,,,None,,Outpost,1,0,0,0,0,NoOverride,NoOverride,0,0,0,0,1,0,20000,0,1,0,Objects/UI/Starmap/icon_nav_marker_outpost_1_a.cgf,Objects/UI/Starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,bc76b172-6a6b-4ba1-8056-d0fa274e081f,libs/foundry/records/starmap/pu/alignmentfacility_template.xml
ASD_DataFacility,,Pyro4_ASD_Data_Facility_desc_shared,,,,e207a1ec-1395-4c1c-8e51-b38c4420784c,,,,,,,,,,,,None,,Outpost,1,0,0,0,1,NoOverride,NoOverride,0,0,0,0,1,0,20000,0,1,1,objects/ui/starmap/icon_nav_marker_outpost_1_a.cgf,objects/ui/starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,7b9204ee-f30b-4638-8344-8a78e7cd291d,libs/foundry/records/starmap/pu/asd_datafacility.xml
ASD_DataFacility,,Pyro4_ASD_Data_Facility_desc_shared,,,,e207a1ec-1395-4c1c-8e51-b38c4420784c,,,,,,,,,,,,None,,Outpost,1,0,0,0,1,NoOverride,NoOverride,0,0,0,0,1,0,20000,0,1,1,objects/ui/starmap/icon_nav_marker_outpost_1_a.cgf,objects/ui/starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,7b9204ee-f30b-4638-8344-8a78e7cd291d,libs/foundry/records/starmap/pu/asd_datafacility.xml
ASD_Delve_Facility_TEMPLATE,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,,,e207a1ec-1395-4c1c-8e51-b38c4420784c,,,,,,,,,,,,None,,Outpost,1,1,1,1,1,NoOverride,NoOverride,0,0,0,0,1,1,20000,0,1,0,Objects/UI/Starmap/icon_nav_marker_outpost_1_a.cgf,Objects/UI/Starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,50c1d63a-4d9c-437c-8fcb-e9fe74f16104,libs/foundry/records/starmap/pu/asd_delve_facility_template.xml
ASD_Delve_Facility_TEMPLATE,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,,,e207a1ec-1395-4c1c-8e51-b38c4420784c,,,,,,,,,,,,None,,Outpost,1,1,1,1,1,NoOverride,NoOverride,0,0,0,0,1,1,20000,0,1,0,Objects/UI/Starmap/icon_nav_marker_outpost_1_a.cgf,Objects/UI/Starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,50c1d63a-4d9c-437c-8fcb-e9fe74f16104,libs/foundry/records/starmap/pu/asd_delve_facility_template.xml
ASD_Monorail,,Pyro1_ASD_Monorail_Compound_desc_shared,,,,e207a1ec-1395-4c1c-8e51-b38c4420784c,,,,,,,,,,,,None,,Outpost,1,0,0,0,1,NoOverride,NoOverride,0,0,0,0,1,0,20000,0,1,1,objects/ui/starmap/icon_nav_marker_outpost_1_a.cgf,objects/ui/starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,fc011194-21c2-4b80-8f3b-fe9e35272860,libs/foundry/records/starmap/pu/asd_monorail.xml
ASD_Monorail,,Pyro1_ASD_Monorail_Compound_desc_shared,,,,e207a1ec-1395-4c1c-8e51-b38c4420784c,,,,,,,,,,,,None,,Outpost,1,0,0,0,1,NoOverride,NoOverride,0,0,0,0,1,0,20000,0,1,1,objects/ui/starmap/icon_nav_marker_outpost_1_a.cgf,objects/ui/starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,fc011194-21c2-4b80-8f3b-fe9e35272860,libs/foundry/records/starmap/pu/asd_monorail.xml
ASD_ResearchFacility,,Pyro1_ASD_Research_Facility_desc_shared,,,,7949a092-c8c3-447e-b417-156403cf27f0,,,,,,,,,,,,None,,Outpost,1,1,0,0,1,NoOverride,NoOverride,0,0,0,0,1,0,,,1,1,objects/ui/starmap/icon_nav_marker_outpost_1_a.cgf,objects/ui/starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,4182dbd9-f2b3-4459-9c8f-e149d2d7de97,libs/foundry/records/starmap/pu/asd_researchfacility.xml
ASD_ResearchFacility,,Pyro1_ASD_Research_Facility_desc_shared,,,,7949a092-c8c3-447e-b417-156403cf27f0,,,,,,,,,,,,None,,Outpost,1,1,0,0,1,NoOverride,NoOverride,0,0,0,0,1,0,,,1,1,objects/ui/starmap/icon_nav_marker_outpost_1_a.cgf,objects/ui/starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,4182dbd9-f2b3-4459-9c8f-e149d2d7de97,libs/foundry/records/starmap/pu/asd_researchfacility.xml
ASD_TEMPLATE,,,,,,e207a1ec-1395-4c1c-8e51-b38c4420784c,,,,,,,,,,,,None,,Outpost,1,0,0,0,1,NoOverride,NoOverride,0,0,0,0,1,0,20000,0,1,1,objects/ui/starmap/icon_nav_marker_outpost_1_a.cgf,objects/ui/starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,096ceeab-9275-418a-acba-167e1b713b72,libs/foundry/records/starmap/pu/asd_template.xml
ASD_TEMPLATE,,,,,,e207a1ec-1395-4c1c-8e51-b38c4420784c,,,,,,,,,,,,None,,Outpost,1,0,0,0,1,NoOverride,NoOverride,0,0,0,0,1,0,20000,0,1,1,objects/ui/starmap/icon_nav_marker_outpost_1_a.cgf,objects/ui/starmap/icon_nav_marker_outpost.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,096ceeab-9275-418a-acba-167e1b713b72,libs/foundry/records/starmap/pu/asd_template.xml
AsteroidCluster_1Base_Pyro_Encounter_RegionA_001,AsteroidCluster_1Base_Pyro_Encounter_RegionA_001,AsteroidCluster_Pyro_Desc,,,,f6461834-fa63-468f-a3c4-d1ed6ef8c20d,a14bec87-5801-4440-8ca8-35597487ac9a,PyroStar,libs/foundry/records/starmap/pu/system/pyro/pyrostar/pyrostar.xml,,,,,,,,,None,812520ca-5f0a-4e88-9649-91237b1e4e51,Default,39000,0,0,0,0,NoOverride,NoOverride,0,0,0,0,1,0,30000,500000,1,0,objects/ui/starmap/stations/smap_asteroid_cluster_a.cgf,Materials/UI/Starmap/Asteroids/ui_sm_asteroids_1.mtl,UI/Textures/Vector/General/MarkerIcons/ui_icon_general_01.svg,,61d66cca-8043-4ba1-9ec1-cc2657bd3757,libs/foundry/records/starmap/pu/asteroidcluster_1base_pyro_encounter_regiona_001.xml
