Manufacturer Class,Code,Name Key,Short Name Key,Description Key,Logo,Logo Full Color,Logo Simplified White,Dashboard Canvas Config GUID,Building Blocks Style GUID,Audio Manufacturer Tag GUID,Light Amplification GUID,Record GUID,Record Path
ACAS,ACAS,manufacturer_NameACAS,,manufacturer_DescACAS,UI/SharedAssets/ManufacturerLogos/AceAstrogation_256.tif,,,,,,,cfc0122d-5275-415a-a656-3dcb3346feb5,libs/foundry/records/scitemmanufacturer/acas.xml
ACDO,ACDO,manufacturer_NameACDO,,manufacturer_DescACDO,UI/SharedAssets/ManufacturerLogos/Aciedo_256.tif,,,,,,,b99ddb18-b325-44de-abfa-ce2e978424e4,libs/foundry/records/scitemmanufacturer/acdo.xml
CCC,CCC,manufacturer_NameCCC,,manufacturer_DescCCC,UI/SharedAssets/ManufacturerLogos/CCConversions_256.tif,,,,,,,be4a26fd-0585-4aaf-bad9-d234091bd02e,libs/foundry/records/scitemmanufacturer/armor/ccc.xml
CLDA,CLDA,manufacturer_NameCLDA,,manufacturer_DescCLDA,UI/SharedAssets/ManufacturerLogos/Caldera_256.tif,,,,4cd2b771-4180-4732-ba6e-15d5baeb4e79,,,eddc1a94-7840-4855-9889-544821d4d739,libs/foundry/records/scitemmanufacturer/armor/clda.xml
DOOM,DOOM,manufacturer_NameDOOM,,manufacturer_DescDOOM,UI/SharedAssets/ManufacturerLogos/Doomsday_256.tif,,,,,,,b495993e-c10a-41e4-876d-1de96de54e33,libs/foundry/records/scitemmanufacturer/armor/doom.xml
HDTC,HDTC,manufacturer_NameHDTC,,manufacturer_DescHDTC,UI/SharedAssets/ManufacturerLogos/HardinTactical_256.tif,,,,,,,8368a760-84b4-4359-bda1-7b015dc0c884,libs/foundry/records/scitemmanufacturer/armor/hdtc.xml
QRT,,manufacturer_NameQRT,,manufacturer_DescQRT,UI/SharedAssets/ManufacturerLogos/QuirinusTech_256_diff.tif,,,,,,,64f8b397-8c0d-40b0-96a0-52bbeb41e5ad,libs/foundry/records/scitemmanufacturer/armor/qrt.xml
RRS,RRS,manufacturer_NameRRS,,manufacturer_DescRRS,UI/SharedAssets/ManufacturerLogos/roussimoff_256.tif,,,,,,,73a6ba90-8f53-423d-ad0b-96e81b7e18a5,libs/foundry/records/scitemmanufacturer/armor/rrs.xml
CDS,CDS,manufacturer_NameCDS,,manufacturer_DescCDS,UI/SharedAssets/ManufacturerLogos/CDS_256.tif,,,,,,,8a7bd715-5b97-404f-b02e-0d0cc593f608,libs/foundry/records/scitemmanufacturer/armor/scitemmanufacturer.cds.xml
KSAR,KSAR,manufacturer_NameKSAR,,manufacturer_DescKSAR,UI/SharedAssets/ManufacturerLogos/Kastak_256.tif,,,,e81f8232-e8f2-461a-9e11-ed83a75534ad,,,709e8255-a0b1-4c5e-8b0e-28781be25984,libs/foundry/records/scitemmanufacturer/armor/scitemmanufacturer.ksar.xml
NVY,NVY,manufacturer_NameNVY,,manufacturer_DescNVY,UI/SharedAssets/ManufacturerLogos/UnknownManufacturer_256.tif,,,,,,,d133f90d-bc69-4273-9867-6c03631f0c4b,libs/foundry/records/scitemmanufacturer/armor/scitemmanufacturer.nvy.xml
VGL,VGL,manufacturer_NameVGL,,manufacturer_DescVGL,UI/SharedAssets/ManufacturerLogos/Virgil_256.tif,,,,,,,0e6d8f1b-ebb8-4773-8ca4-f25d737c8709,libs/foundry/records/scitemmanufacturer/armor/scitemmanufacturer.vgl.xml
SYFB,SYFB,manufacturer_NameSYFB,,manufacturer_DescSYFB,UI/SharedAssets/ManufacturerLogos/UnknownManufacturer_256.tif,,,,,,,0d3e6377-4be0-4c38-8269-3ac5dbd132d8,libs/foundry/records/scitemmanufacturer/armor/syfb.xml
THP,THP,manufacturer_NameTHP,,manufacturer_DescTHP,UI/SharedAssets/ManufacturerLogos/Tehachapi_256.tif,,,,,,,c0bc7b2d-9c1a-4029-9715-f28b81122863,libs/foundry/records/scitemmanufacturer/armor/thp.xml
UBA,UBA,manufacturer_NameUBA,,manufacturer_DescUBA,UI/SharedAssets/ManufacturerLogos/UnknownManufacturer_256.tif,,,,,,,04ded06f-7862-4771-b40f-aa310b74ee17,libs/foundry/records/scitemmanufacturer/armor/uba.xml
