Quantization Class,Element Token,Quality Bands,Band Ranges,Record GUID,Record Path
Quantization_Agricium,Agricium,346 / 588 / 667 / 796 / 852 / 943 / 971 / 1000,0-399:346 / 400-599:588 / 600-699:667 / 700-799:796 / 800-899:852 / 900-949:943 / 950-998:971 / 999-1000:1000,e2b8bf3d-deff-4433-8c2e-e2d728db88d0,libs/foundry/records/crafting/qualityquantization/quantization_agricium.xml
Quantization_Agricium,Agricium,346 / 588 / 667 / 796 / 852 / 943 / 971 / 1000,0-399:346 / 400-599:588 / 600-699:667 / 700-799:796 / 800-899:852 / 900-949:943 / 950-998:971 / 999-1000:1000,e2b8bf3d-deff-4433-8c2e-e2d728db88d0,libs/foundry/records/crafting/qualityquantization/quantization_agricium.xml
Quantization_Aluminum,Aluminum,318 / 511 / 614 / 783 / 896 / 919 / 953 / 1000,0-399:318 / 400-599:511 / 600-699:614 / 700-799:783 / 800-899:896 / 900-949:919 / 950-998:953 / 999-1000:1000,8dec083f-0fd1-4d90-a63d-a847c76895c7,libs/foundry/records/crafting/qualityquantization/quantization_aluminum.xml
Quantization_Aluminum,Aluminum,318 / 511 / 614 / 783 / 896 / 919 / 953 / 1000,0-399:318 / 400-599:511 / 600-699:614 / 700-799:783 / 800-899:896 / 900-949:919 / 950-998:953 / 999-1000:1000,8dec083f-0fd1-4d90-a63d-a847c76895c7,libs/foundry/records/crafting/qualityquantization/quantization_aluminum.xml
Quantization_Aphorite,Aphorite,348 / 523 / 686 / 717 / 861 / 916 / 975 / 1000,0-399:348 / 400-599:523 / 600-699:686 / 700-799:717 / 800-899:861 / 900-949:916 / 950-998:975 / 999-1000:1000,d4251052-6a43-4fa9-b121-60019c1ec328,libs/foundry/records/crafting/qualityquantization/quantization_aphorite.xml
Quantization_Aphorite,Aphorite,348 / 523 / 686 / 717 / 861 / 916 / 975 / 1000,0-399:348 / 400-599:523 / 600-699:686 / 700-799:717 / 800-899:861 / 900-949:916 / 950-998:975 / 999-1000:1000,d4251052-6a43-4fa9-b121-60019c1ec328,libs/foundry/records/crafting/qualityquantization/quantization_aphorite.xml
Quantization_Aslarite,Aslarite,287 / 575 / 602 / 741 / 854 / 927 / 963 / 1000,0-399:287 / 400-599:575 / 600-699:602 / 700-799:741 / 800-899:854 / 900-949:927 / 950-998:963 / 999-1000:1000,92959512-b5a4-4d83-8c61-eca716713438,libs/foundry/records/crafting/qualityquantization/quantization_aslarite.xml
Quantization_Aslarite,Aslarite,287 / 575 / 602 / 741 / 854 / 927 / 963 / 1000,0-399:287 / 400-599:575 / 600-699:602 / 700-799:741 / 800-899:854 / 900-949:927 / 950-998:963 / 999-1000:1000,92959512-b5a4-4d83-8c61-eca716713438,libs/foundry/records/crafting/qualityquantization/quantization_aslarite.xml
Quantization_Beradom,Beradom,287 / 578 / 656 / 723 / 881 / 937 / 969 / 1000,0-399:287 / 400-599:578 / 600-699:656 / 700-799:723 / 800-899:881 / 900-949:937 / 950-998:969 / 999-1000:1000,f8fe8bd8-9aaa-4c93-9d0a-b7ccc72b440f,libs/foundry/records/crafting/qualityquantization/quantization_beradom.xml
Quantization_Beradom,Beradom,287 / 578 / 656 / 723 / 881 / 937 / 969 / 1000,0-399:287 / 400-599:578 / 600-699:656 / 700-799:723 / 800-899:881 / 900-949:937 / 950-998:969 / 999-1000:1000,f8fe8bd8-9aaa-4c93-9d0a-b7ccc72b440f,libs/foundry/records/crafting/qualityquantization/quantization_beradom.xml
