Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Tracking Signal,Damage Total,Damage Physical,Damage Energy,Damage Distortion,Speed,Arm Delay,Lock Delay,Lock Range,Lock Angle,Explosion Radius
gmisl_s01_cs_fski_spark,item_NameGMISL_S01_CS_FSKI_Spark,item_NameGMISL_S01_CS_FSKI_Spark_short,item_DescGMISL_S01_CS_FSKI_Spark,FSKI,1,1,GroundVehicleMissile,25,CrossSection,1150,1150,0,0,1372,0.8,0.4,50 - 10000,60,1 - 2
gmisl_s01_em_behr_pioneer,item_NameGMISL_S01_EM_BEHR_Pioneer,item_NameGMISL_S01_EM_BEHR_Pioneer_short,item_DescGMISL_S01_EM_BEHR_Pioneer,BEHR,1,1,GroundVehicleMissile,25,Electromagnetic,1050,1050,0,0,1372,1.3,0.9,50 - 10000,60,2 - 3
gmisl_s01_em_thcn_taskforce,item_NameGMISL_S01_EM_THCN_TaskForce,item_NameGMISL_S01_EM_THCN_TaskForce_short,item_DescGMISL_S01_EM_THCN_TaskForce,THCN,1,1,GroundVehicleMissile,25,Electromagnetic,980,980,0,0,1372,1,0.1,50 - 10000,60,2 - 4
gmisl_s01_ir_behr_marksman,item_NameGMISL_S01_IR_BEHR_Marksman,item_NameGMISL_S01_IR_BEHR_Marksman_short,item_DescGMISL_S01_IR_BEHR_Marksman,BEHR,1,1,GroundVehicleMissile,25,Infrared,900,900,0,0,1372,1.5,0.5,50 - 10000,60,3 - 5
gmisl_s02_cs_fski_tempest,item_NameGMISL_S02_CS_FSKI_Tempest,item_NameGMISL_S02_CS_FSKI_Tempest_short,item_DescGMISL_S02_CS_FSKI_Tempest,FSKI,2,1,GroundVehicleMissile,25,CrossSection,2400,2400,0,0,1029,1.25,0.1,50 - 10000,60,2 - 4
gmisl_s02_cs_thcn_strikeforce,item_NameGMISL_S02_CS_THCN_StrikeForce,item_NameGMISL_S02_CS_THCN_StrikeForce_short,item_DescGMISL_S02_CS_THCN_StrikeForce,THCN,2,1,GroundVehicleMissile,25,CrossSection,2250,2250,0,0,1029,1.25,0.1,50 - 10000,60,3 - 6
gmisl_s02_em_taln_dominator,item_NameGMISL_S02_EM_TALN_Dominator,item_NameGMISL_S02_EM_TALN_Dominator_short,item_DescGMISL_S02_EM_TALN_Dominator,TALN,2,1,GroundVehicleMissile,25,Electromagnetic,2100,2100,0,0,1029,1.25,0.84,50 - 10000,45,5 - 7
gmisl_s02_ir_fski_ignite,item_NameGMISL_S02_IR_FSKI_Ignite,item_NameGMISL_S02_IR_FSKI_Ignite_short,item_DescGMISL_S02_IR_FSKI_Ignite,FSKI,2,1,GroundVehicleMissile,25,Infrared,2000,2000,0,0,1029,1.25,0.3,50 - 10000,60,7 - 8
gmisl_s03_cs_fski_arrester,item_NameGMISL_S09_CS_TALN_Argos,,item_DescGMISL_S09_CS_TALN_Argos,TALN,3,1,GroundVehicleMissile,1000,CrossSection,4500,4500,0,0,450,1.5,3,50 - 25000,12,4 - 6
gmisl_s03_em_fski_thunderbolt,item_NameGMISL_S03_EM_FSKI_Thunderbolt,item_NameGMISL_S03_EM_FSKI_Thunderbolt_short,item_DescGMISL_S03_EM_FSKI_Thunderbolt,TALN,3,1,GroundVehicleMissile,1000,CrossSection,4100,4100,0,0,450,1.5,3,50 - 25000,12,5 - 8
gmisl_s03_ir_novp_viper,item_NameGMISL_S03_IR_NOVP_Viper,item_NameGMISL_S03_IR_NOVP_Viper_short,item_DescGMISL_S03_IR_NOVP_Viper,NOVP,3,1,GroundVehicleMissile,25,Infrared,3700,3700,0,0,1029,1.25,0.8,50 - 25000,45,7 - 11
gmisl_s04_cs_taln_assailant,item_NameGMISL_S04_CS_TALN_Assailant,item_NameGMISL_S04_CS_TALN_Assailant_short,item_DescGMISL_S04_CS_TALN_Assailant,TALN,4,1,GroundVehicleMissile,25,CrossSection,7400,7400,0,0,686,1.5,1.3,50 - 25000,45,14 - 19
gmisl_s04_ir_behr_pathfinder,item_NameGMISL_S04_IR_BEHR_Pathfinder,item_NameGMISL_S04_IR_BEHR_Pathfinder_short,item_DescGMISL_S04_IR_BEHR_Pathfinder,BEHR,4,1,GroundVehicleMissile,25,Infrared,9100,9100,0,0,686,1.5,1.3,50 - 25000,45,4 - 9
