Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Missile Quantity,Missile Size
mrck_s03_aegs_sabre_firebird,item_NameMRCK_S03_AEGS_Sabre_Firebird,,item_DescMRCK_S03_AEGS_Sabre_Firebird,AEGS,6,1,MissileRack,200,24,3
mrck_s04_aegs_redeemer,item_NameMRCK_S04_BEHR_Quad_S02,,item_DescMRCK_S04_BEHR_Quad_S02,BEHR,4,1,MissileRack,200,8,2
mrck_s04_aegs_vanguard,item_NameMRCK_S04_BEHR_Quad_S02,,item_DescMRCK_S04_BEHR_Quad_S02,BEHR,4,1,MissileRack,200,4,2
mrck_s05_aegs_idris_left,item_NameAEGS_MRCK_S05_Bespoke,item_NameAEGS_MRCK_S05_Bespoke_Short,item_DescAEGS_MRCK_S05_Bespoke,AEGS,5,1,MissileRack,200,16,3
mrck_s05_aegs_idris_right,item_NameAEGS_MRCK_S05_Bespoke,item_NameAEGS_MRCK_S05_Bespoke_Short,item_DescAEGS_MRCK_S05_Bespoke,AEGS,5,1,MissileRack,200,16,3
mrck_s05_aegs_vanguard,item_NameMRCK_S05_AEGS_Vanguard,,item_DescMRCK_S05_AEGS_Vanguard,AEGS,5,1,MissileRack,200,3,5
mrck_s08_aegs_idris,item_NameAEGS_MRCK_S08_Bespoke,,item_DescAEGS_MRCK_S08_Bespoke,AEGS,8,1,MissileRack,5000,10,5
mrck_s09_aegs_eclipse,item_NameMRCK_S09_AEGS_Eclipse,,item_DescMRCK_S09_AEGS_Eclipse,AEGS,9,1,MissileRack,200,3,9
mrck_s09_aegs_retaliator_fore,item_NameMRCK_S09_AEGS_Retaliator,,item_DescMRCK_S09_AEGS_Retaliator,AEGS,9,1,MissileRack,200,4,9
mrck_s09_aegs_retaliator_rear,item_NameMRCK_S09_AEGS_Retaliator,,item_DescMRCK_S09_AEGS_Retaliator,AEGS,9,1,MissileRack,200,2,9
mrck_s12_aegs_javelin,item_NameMRCK_S09_AEGS_Retaliator,,item_DescMRCK_S09_AEGS_Retaliator,AEGS,9,1,MissileRack,10000,1,12
mrck_anvl_ballista_quad_s05,item_NameMRCK_S05_ANVL_Ballista,,item_DescMRCK_S05_ANVL_Ballista,ANVL,5,1,MissileRack,,4,5
