Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Speed Multiplier,Radius Multiplier,Extraction Efficiency
salvage_buff_modifier_fortune,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,9.6,0.84,0.86
salvage_buff_modifier_moth,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,3.6,1.25,0.71
salvage_buff_modifier_reclaimer,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,10,2.18,0.55
salvage_buff_modifier_salvation,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,10,0.8,0.85
salvage_buff_modifier_template,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,1,1,1
salvage_buff_modifier_vulture,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,4.8,1.05,0.86
salvage_modifier_scraper_large,item_scraper_GRIN_Large_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Large_Desc,GRIN,1,1,,,0.05,6,0.6
salvage_modifier_scraper_medium,item_scraper_GRIN_Standard_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Standard_Desc,GRIN,1,1,,,0.15,3.5,0.9
salvage_modifier_scraper_salvation_medium,item_scraper_GRIN_Small_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Small_Desc,GRIN,1,1,,,0.7,1.5,0.8
salvage_modifier_scraper_salvation_small,item_scraper_GRIN_Small_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Small_Desc,GRIN,1,1,,,0.8,1,1
salvage_modifier_scraper_small,item_scraper_GRIN_Small_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Small_Desc,GRIN,1,1,,,0.6,1.5,1
salvage_modifier_scraper_template,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,SalvageModifier_TractorBeam,,1,1,1
salvage_modifier_template,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,SalvageModifier_TractorBeam,,,,
salvage_modifier_tractor_small,item_NameGRIN_TractorBeam_module_001,item_NameGRIN_TractorBeam_module_001,item_DescGRIN_TractorBeam_module_001,,1,1,SalvageModifier_TractorBeam,,1,1,1
salvage_modifier_tractor_template,salvage_HUD_TractorBeam_Module,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,SalvageModifier_TractorBeam,,1,1,1
salvage_buff_modifier_fortune,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,9.6,0.84,0.86
salvage_buff_modifier_moth,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,3.6,1.25,0.71
salvage_buff_modifier_reclaimer,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,10,2.18,0.55
salvage_buff_modifier_salvation,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,10,0.8,0.85
salvage_buff_modifier_template,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,1,1,1
salvage_buff_modifier_vulture,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,,,4.8,1.05,0.86
salvage_modifier_scraper_large,item_scraper_GRIN_Large_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Large_Desc,GRIN,1,1,,,0.05,6,0.6
salvage_modifier_scraper_medium,item_scraper_GRIN_Standard_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Standard_Desc,GRIN,1,1,,,0.15,3.5,0.9
salvage_modifier_scraper_salvation_medium,item_scraper_GRIN_Small_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Small_Desc,GRIN,1,1,,,0.7,1.5,0.8
salvage_modifier_scraper_salvation_small,item_scraper_GRIN_Small_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Small_Desc,GRIN,1,1,,,0.8,1,1
salvage_modifier_scraper_small,item_scraper_GRIN_Small_Name,LOC_PLACEHOLDER,item_scraper_GRIN_Small_Desc,GRIN,1,1,,,0.6,1.5,1
salvage_modifier_scraper_template,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,SalvageModifier_TractorBeam,,1,1,1
salvage_modifier_template,LOC_PLACEHOLDER,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,SalvageModifier_TractorBeam,,,,
salvage_modifier_tractor_small,item_NameGRIN_TractorBeam_module_001,item_NameGRIN_TractorBeam_module_001,item_DescGRIN_TractorBeam_module_001,,1,1,SalvageModifier_TractorBeam,,1,1,1
salvage_modifier_tractor_template,salvage_HUD_TractorBeam_Module,LOC_PLACEHOLDER,LOC_PLACEHOLDER,,1,1,SalvageModifier_TractorBeam,,1,1,1
