Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Yaw Speed,Yaw Time To Full Speed,Yaw Accel Decay,Pitch Speed,Pitch Time To Full Speed,Pitch Accel Decay
aegs_hammerhead_gs_scitem_turret_rear,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_gs_scitem_turret_side_backleft,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_gs_scitem_turret_side_backright,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_gs_scitem_turret_side_frontleft,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_gs_scitem_turret_side_frontright,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_gs_scitem_turret_side,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_gs_scitem_turret_top,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_rear_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_rear,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_side_backleft_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_side_backleft,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_side_backright_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_side_backright,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_side_frontleft_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_side_frontleft,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_side_frontright_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_side_frontright,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_top_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_hammerhead_scitem_turret_top,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,15000,95,0.3,18,95,0.3,18
aegs_idris_k_turret_large,item_NameAEGS_Manned_Turret_S07_Missile_Rack_Bespoke,item_NameAEGS_Manned_Turret_S07_Missile_Rack_Bespoke_Short,item_DESCAEGS_Manned_Turret_S07_Missile_Rack_Bespoke,AEGS,7,1,MannedTurret,15000,38,0.85,5,42,0.8,5
aegs_idris_remote_camera_turret_lower,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,4,1,GunTurret,2000,95,0.3,5,95,0.3,5
aegs_idris_remote_camera_turret_upper,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,4,1,GunTurret,2000,95,0.3,5,95,0.3,5
aegs_idris_scitem_ai_turret_bottom_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,7000,77,0.35,5,75,0.35,5
aegs_idris_scitem_ai_turret_bottom_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,7000,77,0.35,5,75,0.35,5
aegs_idris_scitem_ai_turret_top_left,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,7000,77,0.35,5,75,0.35,5
aegs_idris_scitem_ai_turret_top_right,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,7000,77,0.35,5,75,0.35,5
aegs_idris_scitem_ai_turret,item_Name_Turret_Remote,,item_Name_Turret_Remote,AEGS,5,1,GunTurret,7000,77,0.35,5,75,0.35,5
aegs_idris_scitem_turret_large_lowpoly,item_NameAEGS_Idris_SCItem_Turret_Large,item_NameAEGS_Idris_SCItem_Turret_Large,item_DescAEGS_Idris_SCItem_Turret_Large,AEGS,7,1,MannedTurret,15000,38,0.85,5,42,0.8,5
aegs_idris_scitem_turret_large_p,item_NameAEGS_Idris_SCItem_Turret_Large_P,item_NameAEGS_Idris_SCItem_Turret_Large_P,item_DescAEGS_Idris_SCItem_Turret_Large_P,AEGS,7,1,MannedTurret,15000,38,0.85,5,42,0.8,5
aegs_idris_scitem_turret_large_stanton,item_NameAEGS_Idris_SCItem_Turret_Large,item_NameAEGS_Idris_SCItem_Turret_Large,item_DescAEGS_Idris_SCItem_Turret_Large,AEGS,7,1,MannedTurret,15000,38,0.85,5,42,0.8,5
aegs_idris_scitem_turret_large_t,item_NameAEGS_Manned_Turret_S07_Ballistic_Cannon_Bespoke,item_NameAEGS_Manned_Turret_S07_Ballistic_Cannon_Bespoke_Short,item_DescAEGS_Manned_Turret_S07_Ballistic_Cannon_Bespoke,AEGS,7,1,MannedTurret,15000,38,0.85,5,42,0.8,5
aegs_idris_scitem_turret_large,item_NameAEGS_Idris_SCItem_Turret_Large,item_NameAEGS_Idris_SCItem_Turret_Large,item_DescAEGS_Idris_SCItem_Turret_Large,AEGS,7,1,MannedTurret,15000,38,0.85,5,42,0.8,5
aegs_idris_scitem_turret_lower_short_left_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_lower_short_left_stanton,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_lower_short_left,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
aegs_idris_scitem_turret_lower_short_right_lowpoly,item_Name_Turret_Manned,,,AEGS,5,1,MannedTurret,10000,60,0.5,5,60,0.5,5
