Entity Class,Vehicle Name Key,Vehicle Description Key,Manufacturer GUID,Manufacturer Code,Manufacturer Name Key,Movement Class,Vehicle Definition,Modification,Career Key,Career GUID,Role Key,Role GUID,Crew Size,Hull Damage Normalization,Allow Soft Destruction,Dogfight Enabled,Gravlev Vehicle,Inventory Container GUID,Record GUID,Record Path
ANVL_Ballista_Dunestalker,vehicle_NameANVL_Ballista_Dunestalker,vehicle_DescANVL_Ballista_Dunestalker,b922abdb-0634-4358-9eee-60118f3cf3a7,ANVL,manufacturer_NameANVL,ArcadeWheeled,Scripts/Entities/Vehicles/Implementations/Xml/ANVL_Ballista.xml,,vehicle_focus_combat,2bf4345e-cf3c-4ecb-91ce-f9daa8ff47f8,vehicle_class_antiair,409cf257-941e-4aff-b920-bc9fce904aa7,2,2500,0,1,0,0b359b36-b9d0-4b38-80d4-ea92b11a220a,50f551e3-3435-4cbe-9ecf-8712855a8e27,libs/foundry/records/entities/groundvehicles/anvl_ballista_dunestalker.xml
ANVL_Ballista_EA_Outlaw,vehicle_NameANVL_Ballista,vehicle_DescANVL_Ballista,b922abdb-0634-4358-9eee-60118f3cf3a7,ANVL,manufacturer_NameANVL,ArcadeWheeled,Scripts/Entities/Vehicles/Implementations/Xml/ANVL_Ballista.xml,,vehicle_focus_combat,2bf4345e-cf3c-4ecb-91ce-f9daa8ff47f8,vehicle_class_antiair,409cf257-941e-4aff-b920-bc9fce904aa7,2,2500,0,1,0,0b359b36-b9d0-4b38-80d4-ea92b11a220a,58684c6c-bfac-48a1-a2c3-067b284ebc6a,libs/foundry/records/entities/groundvehicles/anvl_ballista_ea_outlaw.xml
ANVL_Ballista_EA_UEE,vehicle_NameANVL_Ballista,vehicle_DescANVL_Ballista,b922abdb-0634-4358-9eee-60118f3cf3a7,ANVL,manufacturer_NameANVL,ArcadeWheeled,Scripts/Entities/Vehicles/Implementations/Xml/ANVL_Ballista.xml,,vehicle_focus_combat,2bf4345e-cf3c-4ecb-91ce-f9daa8ff47f8,vehicle_class_antiair,409cf257-941e-4aff-b920-bc9fce904aa7,2,2500,0,1,0,0b359b36-b9d0-4b38-80d4-ea92b11a220a,fadb9c23-3d33-442a-9504-5ee4d709c8fa,libs/foundry/records/entities/groundvehicles/anvl_ballista_ea_uee.xml
ANVL_Ballista_PU_AI_NT,vehicle_NameANVL_Ballista,vehicle_DescANVL_Ballista,b922abdb-0634-4358-9eee-60118f3cf3a7,ANVL,manufacturer_NameANVL,ArcadeWheeled,Scripts/Entities/Vehicles/Implementations/Xml/ANVL_Ballista.xml,,vehicle_focus_combat,2bf4345e-cf3c-4ecb-91ce-f9daa8ff47f8,vehicle_class_antiair,409cf257-941e-4aff-b920-bc9fce904aa7,2,2500,0,1,0,0b359b36-b9d0-4b38-80d4-ea92b11a220a,85c2efa9-0544-49e9-9090-0287c9ecff3b,libs/foundry/records/entities/groundvehicles/anvl_ballista_pu_ai_nt.xml
ANVL_Ballista_Snowblind,vehicle_NameANVL_Ballista_Snowblind,vehicle_DescANVL_Ballista_Snowblind,b922abdb-0634-4358-9eee-60118f3cf3a7,ANVL,manufacturer_NameANVL,ArcadeWheeled,Scripts/Entities/Vehicles/Implementations/Xml/ANVL_Ballista.xml,,vehicle_focus_combat,2bf4345e-cf3c-4ecb-91ce-f9daa8ff47f8,vehicle_class_antiair,409cf257-941e-4aff-b920-bc9fce904aa7,2,2500,0,1,0,0b359b36-b9d0-4b38-80d4-ea92b11a220a,aaeb976b-7a79-4a9c-91ee-07ed05d4a399,libs/foundry/records/entities/groundvehicles/anvl_ballista_snowblind.xml
ANVL_Ballista,vehicle_NameANVL_Ballista,vehicle_DescANVL_Ballista,b922abdb-0634-4358-9eee-60118f3cf3a7,ANVL,manufacturer_NameANVL,ArcadeWheeled,Scripts/Entities/Vehicles/Implementations/Xml/ANVL_Ballista.xml,,vehicle_focus_combat,2bf4345e-cf3c-4ecb-91ce-f9daa8ff47f8,vehicle_class_antiair,409cf257-941e-4aff-b920-bc9fce904aa7,2,2500,0,1,0,0b359b36-b9d0-4b38-80d4-ea92b11a220a,a04a1503-ac5c-4520-bc22-4b1a1a198eff,libs/foundry/records/entities/groundvehicles/anvl_ballista.xml
ANVL_Centurion_AI_NineTails,vehicle_NameANVL_Centurion,vehicle_DescANVL_Centurion,b922abdb-0634-4358-9eee-60118f3cf3a7,ANVL,manufacturer_NameANVL,ArcadeWheeled,Scripts/Entities/Vehicles/Implementations/Xml/ANVL_Centurion.xml,,vehicle_focus_combat,2bf4345e-cf3c-4ecb-91ce-f9daa8ff47f8,vehicle_class_antiair,409cf257-941e-4aff-b920-bc9fce904aa7,2,2500,0,1,0,dea23aa8-75c0-41f5-a8ae-aae0209083a9,422ff39d-aaab-42a8-b434-a62449e7f415,libs/foundry/records/entities/groundvehicles/anvl_centurion_ai_ninetails.xml
ANVL_Centurion,vehicle_NameANVL_Centurion,vehicle_DescANVL_Centurion,b922abdb-0634-4358-9eee-60118f3cf3a7,ANVL,manufacturer_NameANVL,ArcadeWheeled,Scripts/Entities/Vehicles/Implementations/Xml/ANVL_Centurion.xml,,vehicle_focus_combat,2bf4345e-cf3c-4ecb-91ce-f9daa8ff47f8,vehicle_class_antiair,409cf257-941e-4aff-b920-bc9fce904aa7,2,2500,0,1,0,dea23aa8-75c0-41f5-a8ae-aae0209083a9,27515ffd-04df-413f-8533-34612d906c7d,libs/foundry/records/entities/groundvehicles/anvl_centurion.xml
ANVL_Spartan,vehicle_NameANVL_Spartan,vehicle_DescANVL_Spartan,b922abdb-0634-4358-9eee-60118f3cf3a7,ANVL,manufacturer_NameANVL,ArcadeWheeled,Scripts/Entities/Vehicles/Implementations/Xml/ANVL_Spartan.xml,,vehicle_focus_combat,2bf4345e-cf3c-4ecb-91ce-f9daa8ff47f8,vehicle_class_passenger,e23c9136-14ab-4814-8c99-50973444f9c4,1,2500,0,1,0,3542783c-509a-4006-befd-610caafdde36,9c26b25a-9285-4074-94d1-163db2aa8cbb,libs/foundry/records/entities/groundvehicles/anvl_spartan.xml
ARGO_CSV_Cargo,vehicle_NameARGO_CSV_Cargo,vehicle_DescARGO_CSV_Cargo,9e1f5a35-edcc-4d19-bede-08e2730043c5,ARGO,manufacturer_NameARGO,ArcadeWheeled,Scripts/Entities/Vehicles/Implementations/Xml/argo_csv.xml,Cargo,vehicle_focus_transporter,d86d770d-1fc4-4525-b3b0-4f670a8a5634,vehicle_class_lightfreight,ff99d78e-3a6a-4e4d-8b1c-59e87a005c11,1,2500,1,1,0,10f318e6-dd40-47f3-a4a4-204ebd1fc78b,e8efe30c-5a1e-4ca2-a956-424b352f80c2,libs/foundry/records/entities/groundvehicles/argo_csv_cargo.xml
