Generator Class,Contract ID,Contract Debug Name,Template Class,Description Key,Description Key Role,Hauling Summary,Record GUID,Record Path
GoblinG_Generator,3d85de42-90d8-420e-a92a-15eca300b14f,GoblinG_ResourceGathering_Stanton1_Intro,HaulCargo_AtoB_GoblinG_Intro,GoblinG_Hurston_ResourceGathering_Desc_Intro,primary,"Order: 1-0 SCU @items_commodities_copper, max 1 SCU + 1-0 SCU @items_commodities_tungsten, max 1 SCU + 1-0 SCU @items_commodities_corundum, max 1 SCU + 1-0 SCU @items_commodities_copper, max 1 SCU + 1-0 SCU @items_commodities_tungsten, max 1 SCU + 1-0 SCU @items_commodities_corundum, max 1 SCU",9a501367-1c36-4dda-8326-0c3a75896e26,libs/foundry/records/contracts/contractgenerator/gobling_generator.xml
GoblinG_Generator,6a1de984-7ac6-4f11-afc2-f08d3e2a9976,GoblinG_HaulCargo_S_Stanton1,HaulCargo_AtoB_GoblinG_Small,GoblinG_Hurston_HaulCargo_S_Desc,primary,"Order: 2 SCU @items_commodities_copper, max 1 SCU + 4 SCU @items_commodities_tungsten, max 1 SCU + 2 SCU @items_commodities_corundum, max 1 SCU + 2 SCU @items_commodities_copper, max 1 SCU + 4 SCU @items_commodities_tungsten, max 1 SCU + 2 SCU @items_commodities_corundum, max 1 SCU",9a501367-1c36-4dda-8326-0c3a75896e26,libs/foundry/records/contracts/contractgenerator/gobling_generator.xml
GoblinG_Generator,246286df-b162-4abd-8c5a-39a2f014c16a,GoblinG_HaulCargo_M_Stanton1,HaulCargo_AtoB_GoblinG_Medium,GoblinG_Hurston_HaulCargo_M_Desc,primary,"Order: 19 SCU @items_commodities_copper, max 4 SCU + 10 SCU @items_commodities_tungsten, max 4 SCU + 19 SCU @items_commodities_corundum, max 4 SCU + 19 SCU @items_commodities_copper, max 4 SCU + 10 SCU @items_commodities_tungsten, max 4 SCU + 19 SCU @items_commodities_corundum, max 4 SCU",9a501367-1c36-4dda-8326-0c3a75896e26,libs/foundry/records/contracts/contractgenerator/gobling_generator.xml
GoblinG_Generator,27beda25-ba0e-4fff-b6ec-a08c22dfaffa,GoblinG_HaulCargo_L_Stanton1,HaulCargo_AtoB_GoblinG_Large,GoblinG_Hurston_HaulCargo_L_Desc,primary,"Order: 72 SCU @items_commodities_copper, max 4 SCU + 36 SCU @items_commodities_tungsten, max 4 SCU + 72 SCU @items_commodities_corundum, max 4 SCU + 72 SCU @items_commodities_copper, max 4 SCU + 36 SCU @items_commodities_tungsten, max 4 SCU + 72 SCU @items_commodities_corundum, max 4 SCU",9a501367-1c36-4dda-8326-0c3a75896e26,libs/foundry/records/contracts/contractgenerator/gobling_generator.xml
GoblinG_Generator,96304826-e085-4e86-b2c4-bb58cedc073d,GoblinG_ResourceGathering_Stanton2_Intro,HaulCargo_AtoB_GoblinG_Intro,GoblinG_Crusader_ResourceGathering_Desc_Intro,primary,"Order: 1-0 SCU @items_commodities_copper, max 1 SCU + 1-0 SCU @items_commodities_tungsten, max 1 SCU + 1-0 SCU @items_commodities_corundum, max 1 SCU + 1-0 SCU @items_commodities_copper, max 1 SCU + 1-0 SCU @items_commodities_tungsten, max 1 SCU + 1-0 SCU @items_commodities_corundum, max 1 SCU",9a501367-1c36-4dda-8326-0c3a75896e26,libs/foundry/records/contracts/contractgenerator/gobling_generator.xml
GoblinG_Generator,d71aff54-93ec-4e95-a90c-b406f8694a73,GoblinG_HaulCargo_S_Stanton2,HaulCargo_AtoB_GoblinG_Small,GoblinG_Crusader_HaulCargo_S_Desc,primary,"Order: 2 SCU @items_commodities_copper, max 1 SCU + 4 SCU @items_commodities_tungsten, max 1 SCU + 2 SCU @items_commodities_corundum, max 1 SCU + 2 SCU @items_commodities_copper, max 1 SCU + 4 SCU @items_commodities_tungsten, max 1 SCU + 2 SCU @items_commodities_corundum, max 1 SCU",9a501367-1c36-4dda-8326-0c3a75896e26,libs/foundry/records/contracts/contractgenerator/gobling_generator.xml
GoblinG_Generator,b0ba7674-734b-48b2-9e83-65864d310451,GoblinG_HaulCargo_M_Stanton2,HaulCargo_AtoB_GoblinG_Medium,GoblinG_Crusader_HaulCargo_M_Desc,primary,"Order: 19 SCU @items_commodities_copper, max 4 SCU + 10 SCU @items_commodities_tungsten, max 4 SCU + 19 SCU @items_commodities_corundum, max 4 SCU + 19 SCU @items_commodities_copper, max 4 SCU + 10 SCU @items_commodities_tungsten, max 4 SCU + 19 SCU @items_commodities_corundum, max 4 SCU",9a501367-1c36-4dda-8326-0c3a75896e26,libs/foundry/records/contracts/contractgenerator/gobling_generator.xml
GoblinG_Generator,a88cb977-4069-41ea-b5f3-378e3ee0ef29,GoblinG_HaulCargo_L_Stanton2,HaulCargo_AtoB_GoblinG_Large,GoblinG_Crusader_HaulCargo_L_Desc,primary,"Order: 72 SCU @items_commodities_copper, max 4 SCU + 36 SCU @items_commodities_tungsten, max 4 SCU + 72 SCU @items_commodities_corundum, max 4 SCU + 72 SCU @items_commodities_copper, max 4 SCU + 36 SCU @items_commodities_tungsten, max 4 SCU + 72 SCU @items_commodities_corundum, max 4 SCU",9a501367-1c36-4dda-8326-0c3a75896e26,libs/foundry/records/contracts/contractgenerator/gobling_generator.xml
GoblinG_Generator,5789f55c-ac78-4518-8d93-4d7ec07ecdf4,GoblinG_ResourceGathering_Stanton3_Intro,HaulCargo_AtoB_GoblinG_Intro,GoblinG_ArcCorp_ResourceGathering_Desc_Intro,primary,"Order: 1-0 SCU @items_commodities_copper, max 1 SCU + 1-0 SCU @items_commodities_tungsten, max 1 SCU + 1-0 SCU @items_commodities_corundum, max 1 SCU + 1-0 SCU @items_commodities_copper, max 1 SCU + 1-0 SCU @items_commodities_tungsten, max 1 SCU + 1-0 SCU @items_commodities_corundum, max 1 SCU",9a501367-1c36-4dda-8326-0c3a75896e26,libs/foundry/records/contracts/contractgenerator/gobling_generator.xml
GoblinG_Generator,ea742b7e-c65d-4002-b12d-8fae450f6755,GoblinG_HaulCargo_S_Stanton3,HaulCargo_AtoB_GoblinG_Small,GoblinG_ArcCorp_HaulCargo_S_Desc,primary,"Order: 2 SCU @items_commodities_copper, max 1 SCU + 4 SCU @items_commodities_tungsten, max 1 SCU + 2 SCU @items_commodities_corundum, max 1 SCU + 2 SCU @items_commodities_copper, max 1 SCU + 4 SCU @items_commodities_tungsten, max 1 SCU + 2 SCU @items_commodities_corundum, max 1 SCU",9a501367-1c36-4dda-8326-0c3a75896e26,libs/foundry/records/contracts/contractgenerator/gobling_generator.xml
