Template Class,Contract Class Type,Owner GUID,Owner Class,Display Type GUID,Display Type Class,Illegal,Show Life Time In MobiGlas,Pre Show Objectives,Has Complete Button,Handles Abandon Request,Can Be Shared,Display Allied Markers,Only Owner Can Complete,Fail If Sent To Prison,Fail If Became Criminal,Fail If Leave Prison,Mission Completion Time,Mission Auto End,Mission Result After Timer End,Remaining Time To Show Timer,Objective Count,Mission Property Count,Objective Handler Types,Objective Handler Modules,Objective Display Keys,Travel Objective Keys,Return Objective Keys,Override Mission Details Keys,Nav Point Name Keys,String Hash Keys,Location Tag GUIDs,Location Tag Classes,Record GUID,Record Path
AssistShipInCombat,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,1,14,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/AssistShipInCombat/AssistShipInCombat.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,Intersec_TSG_Assist_Solo_wavename,,,68ebca3f-da55-4a43-9187-9037e9fe9122,libs/foundry/records/contracts/assistshipincombat.xml
AssistShipInCombat,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,1,14,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/AssistShipInCombat/AssistShipInCombat.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,Intersec_TSG_Assist_Solo_wavename,,,68ebca3f-da55-4a43-9187-9037e9fe9122,libs/foundry/records/contracts/assistshipincombat.xml
AcePilot,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,0,1,0,1,1,0,0,0,Failed,0,1,7,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/RandomEncounter/AcePilot.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTDistressBeacon,,,,3206b6b1-6390-4940-8c61-269e997f7f10,libs/foundry/records/contracts/contracttemplates/acepilot.xml
AcePilot,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,0,1,0,1,1,0,0,0,Failed,0,1,7,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/RandomEncounter/AcePilot.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTDistressBeacon,,,,3206b6b1-6390-4940-8c61-269e997f7f10,libs/foundry/records/contracts/contracttemplates/acepilot.xml
AntiBombingRun,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,60,0,Failed,0,1,7,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/BombingRun/AntiBombingRun/AntiBombingRun.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,,57b007fe-8cf0-4cda-b882-e45f12daf292,,795cc7fe-4f88-48ab-b58b-2de2a4ad2bf6,libs/foundry/records/contracts/contracttemplates/antibombingrun.xml
AntiBombingRun,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,62f92440-202a-43d3-9cb8-b917d4e4a102,Mercenary,0,1,0,0,0,1,1,0,1,1,0,60,0,Failed,0,1,7,ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/BombingRun/AntiBombingRun/AntiBombingRun.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,,,57b007fe-8cf0-4cda-b882-e45f12daf292,,795cc7fe-4f88-48ab-b58b-2de2a4ad2bf6,libs/foundry/records/contracts/contracttemplates/antibombingrun.xml
Phase2-Mission01,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,0505e20d-d7d9-482e-ba79-875d3c3a03b2,Investigation,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,12,ObjectiveHandler_Hauling | ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/FacilityDelve/GoToObjective.xml | Libs/Subsumption/Missions/PU/Missions/FacilityDelve/Phase2/01-RadiationReadings.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,Hockrow_from,1493b14f-f03b-4349-b636-5be526da3507 | 1d2557d6-23ba-4589-ad10-b8892d4b4c26 | 2437ed8b-980d-44e9-a8df-c9d38ef310e1 | 41ef12a1-59fc-4b92-a5bc-53cb2f6d474e | 4d694d23-f78e-4ea4-8215-0eb4fd3257a9 | 6c4dedce-0487-4586-b75e-0960a757ad45 | 984285ee-9b94-48c9-b11a-915fc11643a4 | f00b6f01-7245-437d-9c41-da6a00e2df43 | ff4d704a-7840-4577-ba64-7d4bd709ab9d, |  |  |  |  |  |  |  | ,b5b3e352-20b6-45ac-a8fd-b509ed4e9440,libs/foundry/records/contracts/contracttemplates/asdfacilitydelve/phase2-mission01.xml
Phase2-Mission01,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,0505e20d-d7d9-482e-ba79-875d3c3a03b2,Investigation,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,12,ObjectiveHandler_Hauling | ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/FacilityDelve/GoToObjective.xml | Libs/Subsumption/Missions/PU/Missions/FacilityDelve/Phase2/01-RadiationReadings.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,Hockrow_from,1493b14f-f03b-4349-b636-5be526da3507 | 1d2557d6-23ba-4589-ad10-b8892d4b4c26 | 2437ed8b-980d-44e9-a8df-c9d38ef310e1 | 41ef12a1-59fc-4b92-a5bc-53cb2f6d474e | 4d694d23-f78e-4ea4-8215-0eb4fd3257a9 | 6c4dedce-0487-4586-b75e-0960a757ad45 | 984285ee-9b94-48c9-b11a-915fc11643a4 | f00b6f01-7245-437d-9c41-da6a00e2df43 | ff4d704a-7840-4577-ba64-7d4bd709ab9d, |  |  |  |  |  |  |  | ,b5b3e352-20b6-45ac-a8fd-b509ed4e9440,libs/foundry/records/contracts/contracttemplates/asdfacilitydelve/phase2-mission01.xml
Phase2-Mission02,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,0505e20d-d7d9-482e-ba79-875d3c3a03b2,Investigation,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,11,ObjectiveHandler_Hauling | ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/FacilityDelve/GoToObjective.xml | Libs/Subsumption/Missions/PU/Missions/FacilityDelve/Phase2/02-SecurityData.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,Hockrow_from,1493b14f-f03b-4349-b636-5be526da3507 | 1d2557d6-23ba-4589-ad10-b8892d4b4c26 | 2437ed8b-980d-44e9-a8df-c9d38ef310e1 | 41ef12a1-59fc-4b92-a5bc-53cb2f6d474e | 4d694d23-f78e-4ea4-8215-0eb4fd3257a9 | 6c4dedce-0487-4586-b75e-0960a757ad45 | 984285ee-9b94-48c9-b11a-915fc11643a4 | f00b6f01-7245-437d-9c41-da6a00e2df43 | ff4d704a-7840-4577-ba64-7d4bd709ab9d, |  |  |  |  |  |  |  | ,1f7cb91c-b6f8-4666-88a4-1589fec362de,libs/foundry/records/contracts/contracttemplates/asdfacilitydelve/phase2-mission02.xml
Phase2-Mission02,ContractClass_Contract,300dcbf0-d201-465b-a7be-af7e15a0a512,MDT,0505e20d-d7d9-482e-ba79-875d3c3a03b2,Investigation,0,1,0,0,0,1,1,0,1,1,0,0,0,Failed,0,3,11,ObjectiveHandler_Hauling | ObjectiveHandler_Local,Libs/Subsumption/Missions/PU/Missions/FacilityDelve/GoToObjective.xml | Libs/Subsumption/Missions/PU/Missions/FacilityDelve/Phase2/02-SecurityData.xml,,TravelObjective_Long | TravelObjective_Short,ReturnObjective_Long | ReturnObjective_Short,,mission_items_QTQuantumBeacon,Hockrow_from,1493b14f-f03b-4349-b636-5be526da3507 | 1d2557d6-23ba-4589-ad10-b8892d4b4c26 | 2437ed8b-980d-44e9-a8df-c9d38ef310e1 | 41ef12a1-59fc-4b92-a5bc-53cb2f6d474e | 4d694d23-f78e-4ea4-8215-0eb4fd3257a9 | 6c4dedce-0487-4586-b75e-0960a757ad45 | 984285ee-9b94-48c9-b11a-915fc11643a4 | f00b6f01-7245-437d-9c41-da6a00e2df43 | ff4d704a-7840-4577-ba64-7d4bd709ab9d, |  |  |  |  |  |  |  | ,1f7cb91c-b6f8-4666-88a4-1589fec362de,libs/foundry/records/contracts/contracttemplates/asdfacilitydelve/phase2-mission02.xml
