Element Class,Element Name,Material Name,Inferred Description Key,Resource Type GUID,Instability,Resistance,Optimal Window Midpoint,Optimal Window Randomness,Optimal Window Thinness,Explosion Multiplier,Cluster Factor,Record GUID,Record Path
Agricium_Ore,Agricium (Ore),Agricium,items_commodities_agricium_ore_desc,fc1ec740-3047-48d8-81f0-396f4c9a90ef,350,0.5,0.5,0.15,2,4,0.2,d61d6c33-e428-4014-9326-0b06034de16a,libs/foundry/records/mining/mineableelements/agricium_ore.xml
Agricium_Ore,Agricium (Ore),Agricium,items_commodities_agricium_ore_desc,fc1ec740-3047-48d8-81f0-396f4c9a90ef,350,0.5,0.5,0.15,2,4,0.2,d61d6c33-e428-4014-9326-0b06034de16a,libs/foundry/records/mining/mineableelements/agricium_ore.xml
Aluminium_Ore,Aluminium (Ore),Aluminum,items_commodities_aluminum_ore_desc,e30bdd32-8fd5-44b8-9994-5fd253a16c37,0,-0.4,0.6,0.15,-0.5,-36,0.7,3776294d-5689-41f2-b03d-e8fcd17ede6a,libs/foundry/records/mining/mineableelements/aluminium_ore.xml
Aluminium_Ore,Aluminium (Ore),Aluminum,items_commodities_aluminum_ore_desc,e30bdd32-8fd5-44b8-9994-5fd253a16c37,0,-0.4,0.6,0.15,-0.5,-36,0.7,3776294d-5689-41f2-b03d-e8fcd17ede6a,libs/foundry/records/mining/mineableelements/aluminium_ore.xml
Aslarite_Raw,Aslarite (Raw),Aslarite,items_commodities_aslarite_raw_desc,f0c1f30b-001c-4a80-ac20-27df27183056,700,0.5,0.4,0.2,0.6,240,0.1,9bd0e34c-2b34-42a3-b41d-381088ff6fed,libs/foundry/records/mining/mineableelements/aslarite_raw.xml
Aslarite_Raw,Aslarite (Raw),Aslarite,items_commodities_aslarite_raw_desc,f0c1f30b-001c-4a80-ac20-27df27183056,700,0.5,0.4,0.2,0.6,240,0.1,9bd0e34c-2b34-42a3-b41d-381088ff6fed,libs/foundry/records/mining/mineableelements/aslarite_raw.xml
Beryl_Raw,Beryl (Raw),Beryl,items_commodities_beryl_raw_desc,eb503701-389a-48a1-af28-eb7374009d5d,350,0.65,0.3,0.25,1.5,20,0.4,cad02f99-292c-4ee4-93cc-a73868f11ddb,libs/foundry/records/mining/mineableelements/beryl_raw.xml
Beryl_Raw,Beryl (Raw),Beryl,items_commodities_beryl_raw_desc,eb503701-389a-48a1-af28-eb7374009d5d,350,0.65,0.3,0.25,1.5,20,0.4,cad02f99-292c-4ee4-93cc-a73868f11ddb,libs/foundry/records/mining/mineableelements/beryl_raw.xml
Bexalite_Raw,Bexalite (Raw),Bexalite,items_commodities_bexalite_raw_desc,3848c27d-49cc-4fdb-9a18-e93770bc8bc2,600,0.6,0.4,0.3,0.4,100,0.05,f48b147f-713e-481f-adf2-ff9869ac61bd,libs/foundry/records/mining/mineableelements/bexalite_raw.xml
Bexalite_Raw,Bexalite (Raw),Bexalite,items_commodities_bexalite_raw_desc,3848c27d-49cc-4fdb-9a18-e93770bc8bc2,600,0.6,0.4,0.3,0.4,100,0.05,f48b147f-713e-481f-adf2-ff9869ac61bd,libs/foundry/records/mining/mineableelements/bexalite_raw.xml
Borase_Ore,Borase (Ore),Borase,items_commodities_borase_ore_desc,728a3d7e-9567-4e1c-87fd-2bd45b458aa6,40,0.3,0.3,0.3,0.5,120,0.4,07f6158a-6494-4b7c-9dd0-bbaab7362137,libs/foundry/records/mining/mineableelements/borase_ore.xml
Borase_Ore,Borase (Ore),Borase,items_commodities_borase_ore_desc,728a3d7e-9567-4e1c-87fd-2bd45b458aa6,40,0.3,0.3,0.3,0.5,120,0.4,07f6158a-6494-4b7c-9dd0-bbaab7362137,libs/foundry/records/mining/mineableelements/borase_ore.xml
Copper_Ore,Copper (Ore),Copper,items_commodities_copper_ore_desc,d4ba4af8-80f1-4a8a-b8cd-5ba7e37c005c,50,-0.7,0.6,0.15,-0.9,-20,0.6,ee12edc1-a2c3-4202-909d-9b729a050a3f,libs/foundry/records/mining/mineableelements/copper_ore.xml
Copper_Ore,Copper (Ore),Copper,items_commodities_copper_ore_desc,d4ba4af8-80f1-4a8a-b8cd-5ba7e37c005c,50,-0.7,0.6,0.15,-0.9,-20,0.6,ee12edc1-a2c3-4202-909d-9b729a050a3f,libs/foundry/records/mining/mineableelements/copper_ore.xml
Corundum_Raw,Corundum (Raw),Corundum,items_commodities_corundum_raw_desc,4ceb21c5-48f8-418a-8188-0b0196c33505,50,0.1,0.5,0,0.5,-36,0.7,b471b96c-efbb-4342-90de-cfa087604d8e,libs/foundry/records/mining/mineableelements/corundum_raw.xml
Corundum_Raw,Corundum (Raw),Corundum,items_commodities_corundum_raw_desc,4ceb21c5-48f8-418a-8188-0b0196c33505,50,0.1,0.5,0,0.5,-36,0.7,b471b96c-efbb-4342-90de-cfa087604d8e,libs/foundry/records/mining/mineableelements/corundum_raw.xml
Diamond_Raw,Diamond (Raw),Diamond,items_commodities_diamond_raw_desc,9491a4b4-7887-49fc-af04-e7f132078d0f,0.0625,-0.06875,0.6,0.1,0.25,8,0.5,efb89e24-486d-4eee-ab5c-85b90a3bdad1,libs/foundry/records/mining/mineableelements/diamond_raw.xml
Diamond_Raw,Diamond (Raw),Diamond,items_commodities_diamond_raw_desc,9491a4b4-7887-49fc-af04-e7f132078d0f,0.0625,-0.06875,0.6,0.1,0.25,8,0.5,efb89e24-486d-4eee-ab5c-85b90a3bdad1,libs/foundry/records/mining/mineableelements/diamond_raw.xml
Gold_Ore,Gold (Ore),Gold,items_commodities_gold_ore_desc,57aba429-cf97-4fdd-8042-94b1d643f5bd,550,0.5,0.5,0.25,2.1,100,0.05,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,libs/foundry/records/mining/mineableelements/gold_ore.xml
Gold_Ore,Gold (Ore),Gold,items_commodities_gold_ore_desc,57aba429-cf97-4fdd-8042-94b1d643f5bd,550,0.5,0.5,0.25,2.1,100,0.05,f2f5bf2e-87f9-4f3d-bb59-b4e11eceeaad,libs/foundry/records/mining/mineableelements/gold_ore.xml
Hephaestanite_Raw,Hephaestanite (Raw),Hephaestanite,items_commodities_hephaestanite_raw_desc,cad319d9-e0e5-420d-bbfd-dd62a0362d05,400,-0.3,0.7,0.15,0.5,120,0.5,220c2e18-9324-4528-b399-2f908488b204,libs/foundry/records/mining/mineableelements/hephaestanite_raw.xml
Hephaestanite_Raw,Hephaestanite (Raw),Hephaestanite,items_commodities_hephaestanite_raw_desc,cad319d9-e0e5-420d-bbfd-dd62a0362d05,400,-0.3,0.7,0.15,0.5,120,0.5,220c2e18-9324-4528-b399-2f908488b204,libs/foundry/records/mining/mineableelements/hephaestanite_raw.xml
Ice_Raw,Ice (Raw),Ice,items_commodities_ice_raw_desc,d9653427-af7f-4fea-bbd6-ae89393524b7,0,-0.5,0.6,0.1,0.5,-20,0.7,51745536-ff2b-4840-a6f8-b1ed498a77ff,libs/foundry/records/mining/mineableelements/ice_raw.xml
Ice_Raw,Ice (Raw),Ice,items_commodities_ice_raw_desc,d9653427-af7f-4fea-bbd6-ae89393524b7,0,-0.5,0.6,0.1,0.5,-20,0.7,51745536-ff2b-4840-a6f8-b1ed498a77ff,libs/foundry/records/mining/mineableelements/ice_raw.xml
Iron_Ore,Iron (Ore),Iron,items_commodities_iron_ore_desc,32c57a12-5de5-49b1-827a-9fd80278fbc4,50,-0.4,0.6,0,-0.9,20,0.4,05708bae-1cb1-4e63-bb95-ec7f4a3ef430,libs/foundry/records/mining/mineableelements/iron_ore.xml
Iron_Ore,Iron (Ore),Iron,items_commodities_iron_ore_desc,32c57a12-5de5-49b1-827a-9fd80278fbc4,50,-0.4,0.6,0,-0.9,20,0.4,05708bae-1cb1-4e63-bb95-ec7f4a3ef430,libs/foundry/records/mining/mineableelements/iron_ore.xml
