Localization Key,Localization Role,Attribute,Record Type,Entity Class,Record GUID,Record Path
Aciedo_RepUI_Name,other,string,MissionOrganization,Aciedo,971b6373-9226-481f-8a26-c8db0d465a5f,libs/foundry/records/missiondata/pu_organizations/aciedo.xml
Adagio_BasicSalvage_Desc_01,description,string,MissionOrganization,Adagio,38a8d4b7-904c-4651-96fa-ebbb27d274a5,libs/foundry/records/missiondata/pu_organizations/adagio.xml
Adagio_BasicSalvage_Title_01,title,string,MissionOrganization,Adagio,38a8d4b7-904c-4651-96fa-ebbb27d274a5,libs/foundry/records/missiondata/pu_organizations/adagio.xml
Adagio_from,other,contract:1d4ce073-e4cb-446e-a68f-76044ee32def:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:2e7d4387-dc53-4968-84a1-e9d64510668c:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:4aa7b26e-701d-410e-a128-e9e2864568e0:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:500a190f-14d5-4587-83f7-d33eb7a37577:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:5c455aa4-f18a-4f3e-8195-4d3d20f447a5:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:61201483-e22b-4170-ba24-705efb270635:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:814a3e55-7836-4019-8699-b987eefdebee:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:8413c1dc-0ad5-4268-97d5-6acb2d55d184:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:9530af4b-508d-4629-b2a5-edf28513bad4:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:a8969701-285f-4f4c-88a9-22c75ff1722b:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:d0bf740e-a4a4-401f-95a9-97920b0154f1:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:e053316c-eeac-4e76-a97f-b2fa57c511c7:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:e07b3007-6bc1-4b50-ac08-c5b31e345efd:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:f8823d3b-df07-40fe-aa2f-ab2e52f30d86:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:fff5c566-eeae-4bae-9a03-26ae9b5e8d49:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,value,ContractGenerator,Adagio_ResourceGathering_FPSSalvage,407c4e25-5e47-4460-9aed-67077c5e0f5e,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_fpssalvage.xml
Adagio_from,other,contract:06212b32-00ce-43e6-8fd4-4c7e0d833bf1:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:09f5d6ae-c1a2-4dba-ba0d-886c33ea1af6:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:1331671c-4bbd-47bc-b71e-c19def138faa:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:2501a070-bff6-4491-9c49-3456f1bfe128:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
Adagio_from,other,contract:28e535c8-740f-47cc-adcb-6238a0b5b724:ContractStringParam.Contractor,ContractGenerator,Adagio_ResourceGathering_ShipSalvage,e29eae76-5a8a-4577-8c6a-f943a46aae90,libs/foundry/records/contracts/contractgenerator/unitedresourceworkers_guild/adagio holdings/adagio_resourcegathering_shipsalvage.xml
