Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Power Output,Cooling Usage,EM Signature,EM Signature Decay,IR Signature,IR Signature Decay,Temperature to IR,Minimum Temperature for IR,Distortion Shutdown Damage,Distortion Decay Delay,Distortion Decay Rate,Distortion Shutdown Time
powr_acom_s01_lumacore,item_Name_POWR_ACOM_S01_LumaCore,,item_Desc_POWR_ACOM_S01_LumaCore,ACOM,1,1,Competition,140,16,0,6550,0.15,0,0.15,9,311,2050,1.5,136.6667,16.5
powr_acom_s01_starheart,item_NamePOWR_ACOM_S01_StarHeart,,item_DescPOWR_ACOM_S01_StarHeart,ACOM,1,2,Competition,120,16,0,6550,0.15,0,0.15,10,311,1800,1.5,120,16.5
powr_acom_s01_sunflare,item_NamePOWR_ACOM_S01_SunFlare_SCItem,,item_DescPOWR_ACOM_S01_Sunflare,ACOM,1,3,Competition,110,16,0,6550,0.15,0,0.15,10,311,1600,1.5,106.6667,16.5
powr_acom_s02_luxcore,item_NamePOWR_ACOM_S02_LuxCore_SCItem,,item_DescPOWR_ACOM_S02_LuxCore_SCItem,ACOM,2,1,Competition,380,20,0,8180,0.15,0,0.15,11,311,3150,3,210,18
powr_acom_s02_solarflare,item_Name_POWR_ACOM_S02_SolarFlare,,item_Desc_POWR_ACOM_S02_SolarFlare,ACOM,2,3,Competition,290,20,0,8180,0.15,0,0.15,12,311,2450,3,163.3333,18
powr_acom_s02_starburn,item_NamePOWR_ACOM_S02_StarBurn_SCItem,,item_DescPOWR_ACOM_S02_StarBurn_SCItem,ACOM,2,2,Competition,330,20,0,8180,0.15,0,0.15,11,311,2750,3,183.3333,18
powr_aegs_s01_charger,item_NamePOWR_AEGS_S01_Charger,,item_DescPOWR_AEGS_S01_Charger,AEGS,1,4,Military,240,16,0,7920,0.15,0,0.15,7,333,3550,1.5,236.6667,16.5
powr_aegs_s01_fierellcascade,item_NamePOWR_AEGS_S01_FierellCascade_SCItem,,item_Desc_POWR_AEGS_S01_FierellCascade,AEGS,1,2,Military,310,16,0,7920,0.15,0,0.15,6,333,4700,1.5,313.3333,16.5
powr_aegs_s01_quadracell,item_Name_POWR_AEGS_S01_QuadraCell,,item_Desc_POWR_AEGS_S01_QuadraCell,AEGS,1,1,Military,350,17,0,8420,0.15,0,0.15,6,333,5500,1.5,366.6667,16.5
powr_aegs_s01_regulus,item_NamePOWR_AEGS_S01_Regulus,,item_DescPOWR_AEGS_S01_Regulus,AEGS,1,3,Military,270,16,0,7920,0.15,0,0.15,6,333,4100,1.5,273.3333,16.5
powr_aegs_s02_bolide,item_Name_POWR_AEGS_S02_Bolide,,item_Desc_POWR_AEGS_S02_Bolide,AEGS,2,2,Military,860,20,0,9900,0.15,0,0.15,7,333,7500,3,500,18
powr_aegs_s02_maelstrom,item_NamePOWR_AEGS_S02_Maelstrom_SCItem,,item_DescPOWR_AEGS_S02_Maelstrom,AEGS,2,3,Military,750,20,0,9900,0.15,0,0.15,7,333,6500,3,433.3333,18
powr_aegs_s02_quadracellmt,item_NamePOWR_AEGS_S02_QuadracellMT_SCItem,,item_DescPOWR_AEGS_S02_QuadracellMT_SCItem,AEGS,2,1,Military,980,21,0,10400,0.15,0,0.15,6,333,8500,3,566.6667,18
powr_aegs_s02_vortex,item_NamePOWR_AEGS_S02_Vortex,,item_DescPOWR_AEGS_S02_Vortex,AEGS,2,4,Military,650,20,0,9900,0.15,0,0.15,8,333,5500,3,366.6667,18
powr_aegs_s03_centurion,item_Name_POWR_AEGS_S03_Centurion,,item_Desc_POWR_AEGS_S03_Centurion,AEGS,3,3,Military,2100,24,0,11900,0.15,0,0.15,8,333,10000,4.5,666.6667,19.5
powr_aegs_s03_drassik,item_NamePOWR_AEGS_S03_Drassik_SCItem,,item_DescPOWR_AEGS_S03_Drassik_SCItem,AEGS,3,4,Military,1800,24,0,11900,0.15,0,0.15,9,333,8500,4.5,566.6667,19.5
powr_aegs_s03_fulgur,item_Name_POWR_AEGS_S03_Fulgur,,item_Desc_POWR_AEGS_S03_Fulgur,AEGS,3,2,Military,2400,24,0,11900,0.15,0,0.15,8,333,11500,4.5,766.6667,19.5
powr_aegs_s03_quadracellmx,item_NamePOWR_AEGS_S03_QuadracellMX_SCItem,,item_DescPOWR_AEGS_S03_QuadracellMX_SCItem,AEGS,3,1,Military,2700,25,0,12400,0.15,0,0.15,7,333,13000,4.5,866.6667,19.5
powr_aegs_s04_idris,item_NameIdris_PowerPlant,,item_DescIdris_PowerPlant,AEGS,4,1,Military,56000,29,0,14400,0.15,0,0.15,9,333,47500,6,3166.667,21
