Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Aim Assist Distance (PiP) Min,Aim Assist Distance (PiP) Max,Aim Assist Distance (PiP) Buffer,Sensitivity IR,Sensitivity CS,Sensitivity EM,Sensitivity RS,Sensitivity dB,Piercing IR,Piercing CS,Piercing EM,Piercing RS,Piercing dB,Temperature to IR,Minimum Temperature for IR,Distortion Shutdown Damage,Distortion Decay Delay,Distortion Decay Rate,Distortion Shutdown Time
radr_antipersonnel_turret,,,,,0,1,MidRangeRadar,200,630,632.5,80,0.75,0.75,0.5,1,0,1,0.25,0.25,1,0.25,7,318,2000,1.5,150,14.83
radr_bltr_s01_hunter,item_Name_RADR_BLTR_S01_Hunter,,item_Desc_RADR_BLTR_S01_Hunter,BLTR,1,2,MidRangeRadar,420,780,1028.5,60,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,9,313,3240,1.35,198,17.71
radr_bltr_s01_pelerous,item_Name_RADR_BLTR_S01_Pelerous,,item_Desc_RADR_BLTR_S01_Pelerous,BLTR,1,1,MidRangeRadar,400,780,935,60,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,9,313,3240,1.5,198,17.86
radr_bltr_s01_prophet,item_Name_RADR_BLTR_S01_Prophet,,item_Desc_RADR_BLTR_S01_Prophet,BLTR,1,1,MidRangeRadar,460,780,1122,60,0.8,0.8,0.8,1,0,0.25,0.25,0.25,1,0.25,8,318,3240,1.2,198,17.56
radr_bltr_s02_cassandra,item_Name_RADR_BLTR_S02_Cassandra,,item_Desc_RADR_BLTR_S02_Cassandra,BLTR,2,1,MidRangeRadar,920,1200,1848,90,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,5400,2.4,360,17.4
radr_bltr_s02_predator,item_Name_RADR_BLTR_S02_Predator,,item_Desc_RADR_BLTR_S02_Predator,BLTR,2,2,MidRangeRadar,840,1200,1694,90,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,5400,2.7,360,17.7
radr_bltr_s02_spyglass,item_Name_RADR_BLTR_S02_Spyglass,,item_Desc_RADR_BLTR_S02_Spyglass,BLTR,2,3,MidRangeRadar,800,1200,1540,90,0.9,0.9,0.9,1,0,0.25,0.25,0.25,1,0.25,9,318,5400,3,360,18
radr_chco_s00_broadspecgo,item_Name_RADR_CHCO_S00_BroadSpecGo,,item_Desc_RADR_CHCO_S00_BroadSpecGo,CHCO,0,2,MidRangeRadar,273,585,695.75,80,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,1600,1.15,172.5,10.43
radr_chco_s00_fullspecgo,item_Name_RADR_CHCO_S00_FullSpecGo,,item_Desc_RADR_CHCO_S00_FullSpecGo,CHCO,0,1,MidRangeRadar,299,585,759,80,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,1600,1.02,172.5,10.3
radr_chco_s00_observergo,item_Name_RADR_CHCO_S01_ObserverGo,,item_Desc_RADR_CHCO_S01_ObserverGo,CHCO,0,4,MidRangeRadar,234,585,569.25,80,0.75,0.75,0.5,1,0,0.25,0.25,0.25,1,0.25,7,318,1600,1.4,172.5,10.68
