Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Damage Alpha,Rate of Fire,Fire Mode,Projectile Speed,Ammo Range,Ammo Quantity
apar_special_ballistic_01_black02,item_Nameapar_special_ballistic_01_black02,item_Nameapar_special_ballistic_01_black02_short,item_Descapar_special_ballistic_01,APAR,5,1,Large,,10,70,Single,50,200,5
apar_special_ballistic_01_mat01,item_Nameapar_special_ballistic_01_mat01,item_Nameapar_special_ballistic_01_mat01_short,item_Descapar_special_ballistic_01_mat01,APAR,5,1,Large,,10,70,Single,50,200,5
apar_special_ballistic_01_tan01,item_Nameapar_special_ballistic_01_tan01,item_Nameapar_special_ballistic_01_tan01_short,item_Descapar_special_ballistic_01,APAR,5,1,Large,,10,70,Single,50,200,5
apar_special_ballistic_01,item_Nameapar_special_ballistic_01,item_Nameapar_special_ballistic_01_short,item_Descapar_special_ballistic_01,APAR,5,1,Large,,10,70,Single,50,200,5
apar_special_ballistic_02_mat01,item_Nameapar_special_ballistic_02_mat01,item_Nameapar_special_ballistic_02_mat01_short,item_Descapar_special_ballistic_02_mat01,APAR,5,1,Large,,150,300,Single,700,2100,0
apar_special_ballistic_02,item_Nameapar_special_ballistic_02,item_Nameapar_special_ballistic_02_short,item_Descapar_special_ballistic_02,APAR,5,1,Large,,150,300,Single,700,2100,0
behr_binoculars_01_collector01,item_Namebehr_binoculars_01_collector01,item_Namebehr_binoculars_01_collector01_short,item_Descbehr_binoculars_01_collector01,BEHR,1,1,Gadget,,,60,Single,,,
behr_binoculars_01_tint01,item_Namebehr_binoculars_01_tint01,item_Namebehr_binoculars_01_tint01_short,item_Descbehr_binoculars_01_tint01,BEHR,1,1,Gadget,,,60,Single,,,
behr_binoculars_01_tint02,item_Namebehr_binoculars_01_tint02,item_Namebehr_binoculars_01_tint02_short,item_Descbehr_binoculars_01_tint02,BEHR,1,1,Gadget,,,60,Single,,,
behr_binoculars_01_tint03,item_Namebehr_binoculars_01_tint03,item_Namebehr_binoculars_01_tint03_short,item_Descbehr_binoculars_01_tint03,BEHR,1,1,Gadget,,,60,Single,,,
