Location Name,Ship Mineables,Hand Mineables,Ground Vehicle Mineables,Quality Note
Aaron Halo,"Beryl (Raw) — 18%
Aslarite (Raw) — 14.2%
Titanium (Ore) — 14.2%
Raw Ice — 10.4%
Raw Silicon — 10.3%
Aluminum (Ore) — 10.3%
Iron (Ore) — 10.3%
Copper (Ore) — 10.3%
Quantainium (Raw) — 2%",,,
Aberdeen,"Corundum (Raw) — 29.8%
Aluminum (Ore) — 29.7%
Titanium (Ore) — 28.5%
Ouratite — 10%
Quantainium (Raw) — 2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%","Feynmaline — 64%
Glacosite — 32%
Beradom — 4%",
Akiro Cluster,"Torite (Ore) — 28.5%
Raw Ice — 14.9%
Raw Silicon — 14.9%
Copper (Ore) — 14.9%
Iron (Ore) — 14.8%
Riccite (Ore) — 10%
Stileron — 2%",,,
Arial,"Aluminum (Ore) — 22%
Tin (Ore) — 22%
Hephaestanite (Raw) — 22%
Corundum (Raw) — 22%
Ouratite — 10%
Quantainium (Raw) — 2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%","Feynmaline — 52%
Glacosite — 32%
Beradom — 16%",
Asteroid Cluster (Low Yield),"Raw Ice — 19.6%
Raw Silicon — 19.6%
Aluminum (Ore) — 19.6%
Iron (Ore) — 19.6%
Copper (Ore) — 19.6%
Quantainium (Raw) — 2%",,,
Asteroid Cluster (Medium Yield),"Raw Ice — 19.6%
Raw Silicon — 19.6%
Aluminum (Ore) — 19.6%
Iron (Ore) — 19.6%
Copper (Ore) — 19.6%
Quantainium (Raw) — 2%",,,
Breaker Stations Interior,,"Aphorite — 75%
Sadaryx — 25%",,"Uncommon ship rocks: quality floor 65.1% (standard 50.1%)
Legendary ship rocks: quality floor 65.1% (standard 50.1%)"
Breaker Stations Large Geode,Savrilium (Ore) — 100%,,,"Uncommon ship rocks: quality floor 65.1% (standard 50.1%)
Legendary ship rocks: quality floor 65.1% (standard 50.1%)"
Calliope,"Iron (Ore) — 32.7%
Raw Ice — 32.6%
Hephaestanite (Raw) — 32.6%
Quantainium (Raw) — 2%","Aphorite — 61.1%
Dolivine — 36.9%
Janalite — 2%","Glacosite — 84%
Beradom — 12%
Feynmaline — 4%",
Cellin,"Agricium (Ore) — 28.5%
Raw Silicon — 25.8%
Quartz (Raw) — 25.7%
Taranite (Raw) — 18%
Quantainium (Raw) — 2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%","Beradom — 56%
Glacosite — 32%
Feynmaline — 12%",
Clio,"Raw Ice — 40%
Copper (Ore) — 40%
Taranite (Raw) — 18%
Quantainium (Raw) — 2%","Aphorite — 61.1%
Dolivine — 36.9%
Janalite — 2%","Glacosite — 68%
Beradom — 20%
Feynmaline — 12%",
Daymar,"Raw Silicon — 34.8%
Quartz (Raw) — 34.7%
Agricium (Ore) — 28.5%
Quantainium (Raw) — 2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%","Beradom — 48%
Feynmaline — 40%
Glacosite — 12%",
Euterpe,"Raw Ice — 40%
Copper (Ore) — 40%
Taranite (Raw) — 18%
Quantainium (Raw) — 2%","Aphorite — 61.1%
Dolivine — 36.9%
Janalite — 2%","Glacosite — 88%
Beradom — 12%
Feynmaline — 0%",
Glaciem Ring,"Torite (Ore) — 28.5%
Bexalite (Raw) — 18%
Raw Ice — 13.9%
Aluminum (Ore) — 13.8%
Iron (Ore) — 13.8%
Lindinium (Ore) — 10%
Savrilium (Ore) — 2%",,,
Hathor Caves,,"Aphorite — 30.2%
Jaclium (Ore) — 19.5%
Dolivine — 18.3%
Saldynium (Ore) — 15.8%
Carinite — 11.6%
Hadanite — 3.2%
Janalite — 1.1%
Carinite (Pure) — 0.5%",Carinite — 100%,
Hurston,"Aluminum (Ore) — 44%
Tin (Ore) — 44%
Ouratite — 10%
Quantainium (Raw) — 2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%","Beradom — 64%
Glacosite — 32%
Feynmaline — 4%",
Ita,"Tin (Ore) — 34.8%
Aluminum (Ore) — 34.7%
Aslarite (Raw) — 28.5%
Quantainium (Raw) — 2%","Aphorite — 58.6%
Dolivine — 35.4%
Hadanite — 6%","Glacosite — 69.2%
Feynmaline — 26.9%
Beradom — 3.8%",
