Element Name,Rarity,Ground Scan Signature,Scan Signature,Resistance,Instability
Agricium (Ore),uncommon,4000,3885,0.5,350
Aluminium (Ore),common,4000,4285,-0.4,0
Aslarite (Raw),uncommon,,3840,0.5,700
Beryl (Raw),rare,4000,3540,0.65,350
Bexalite (Raw),rare,4000,3600,0.6,600
Borase (Ore),rare,4000,3570,0.3,40
Copper (Ore),common,4000,4240,-0.7,50
Corundum (Raw),common,4000,4225,0.1,50
Gold (Ore),rare,4000,3585,0.5,550
Hephaestanite (Raw),common,,4180,-0.3,400
Ice (Raw),common,4000,4300,-0.5,0
Iron (Ore),common,4000,4270,-0.4,50
Laranite (Raw),uncommon,4000,3825,0.5,400
Lindinium (Ore),epic,,3400,0.95,1000
Aphorite,,,,0,0
Carinite,,4000,,0.5,300
Carinitepure,,,,0.5,300
Dolivine,,,,0.1,0
Hadanite,,,,0,200
Jaclium,,,,0.5,100
Janalite,,,,0.3,300
Sadaryx,,,,0,200
Saldynium,,,,0,100
Beradom,,4000,,0,0
Carinite,,,,0.5,300
Feynmaline,,4000,,0,200
Glacosite,,4000,,0.1,0
Ouratite (Raw),epic,,3370,0.6,600
Quantainium (Raw),legendary,4000,3170,0.95,1000
Quartz (Raw),common,4000,4210,-0.7,50
Riccite (Ore),epic,,3385,0.95,850
Savrilium (Ore),legendary,,3200,0.95,1000
Stileron (Ore),legendary,,3185,0.6,870
Silicon (Raw),common,4000,4255,-0.2,50
Taranite (Raw),rare,4000,3555,0.5,700
Tin (Ore),common,4000,4195,-0.2,0
Titanium (Ore),uncommon,4000,3855,0.1,0
Torite (Ore),uncommon,,3900,0.25,550
Tungsten (Ore),uncommon,4000,3870,-0.4,0
