Element Name,Rarity,Ground Scan Signature,FPS Scan Signature,Scan Signature,Resistance,Instability,Density,Optimal Window Midpoint,Optimal Window Randomness,Optimal Window Thinness,Explosion Multiplier,Cluster Factor,Quality Bands,Material Name,Mining Difficulty,Volatility Note,Cluster Note,Best Refinery
Agricium (Ore),uncommon,4000,,3885,0.5,350,7.14,0.5,0.15,2,4,0.2,34.6% / 58.8% / 66.7% / 79.6% / 85.2% / 94.3% / 97.1% / 100.0%,Agricium,Difficult,Unstable charge behavior,Isolated,3 refineries (+8)
Aluminium (Ore),common,4000,,4285,-0.4,0,2.7,0.6,0.15,-0.5,-36,0.7,31.8% / 51.1% / 61.4% / 78.3% / 89.6% / 91.9% / 95.3% / 100.0%,Aluminum,Easy,Low volatility,Cluster-prone,
Aslarite (Raw),uncommon,,,3840,0.5,700,2.47,0.4,0.2,0.6,240,0.1,28.7% / 57.5% / 60.2% / 74.1% / 85.4% / 92.7% / 96.3% / 100.0%,Aslarite,Extreme,Extreme fracture risk,Isolated,
Beryl (Raw),rare,4000,,3540,0.65,350,2.74,0.3,0.25,1.5,20,0.4,32.4% / 54.7% / 67.7% / 71.7% / 86.0% / 93.7% / 95.5% / 100.0%,Beryl,Extreme,Extreme fracture risk,Occasional clusters,Levski (+8)
Bexalite (Raw),rare,4000,,3600,0.6,600,6.97,0.4,0.3,0.4,100,0.05,30.2% / 59.7% / 63.2% / 75.6% / 87.5% / 94.1% / 95.9% / 100.0%,Bexalite,Extreme,Extreme fracture risk,Isolated,MIC-L5 Modern Icarus Station (+12)
Borase (Ore),rare,4000,,3570,0.3,40,4.2,0.3,0.3,0.5,120,0.4,35.9% / 58.4% / 67.6% / 74.3% / 89.2% / 90.3% / 97.6% / 100.0%,Borase,Extreme,Extreme fracture risk,Occasional clusters,MIC-L5 Modern Icarus Station (+9)
Copper (Ore),common,4000,,4240,-0.7,50,9.03,0.6,0.15,-0.9,-20,0.6,35.9% / 59.3% / 65.2% / 74.2% / 85.5% / 91.7% / 95.8% / 100.0%,Copper,Easy,Low volatility,Occasional clusters,MIC-L5 Modern Icarus Station (+9)
Corundum (Raw),common,4000,,4225,0.1,50,4.03,0.5,0,0.5,-36,0.7,30.9% / 50.4% / 66.5% / 79.3% / 88.6% / 90.4% / 97.1% / 100.0%,Corundum,Easy,Low volatility,Cluster-prone,Levski (+8)
Gold (Ore),rare,4000,,3585,0.5,550,21.07,0.5,0.25,2.1,100,0.05,26.4% / 55.3% / 64.4% / 78.6% / 86.4% / 91.6% / 95.9% / 100.0%,Gold,Extreme,Extreme fracture risk,Isolated,MIC-L2 Long Forest Station (+9)
Hephaestanite (Raw),common,,,4180,-0.3,400,3.2,0.7,0.15,0.5,120,0.5,33.0% / 57.2% / 69.2% / 75.8% / 89.6% / 91.6% / 97.5% / 100.0%,Hephaestanite,Extreme,Extreme fracture risk,Occasional clusters,
Ice (Raw),common,4000,,4300,-0.5,0,1,0.6,0.1,0.5,-20,0.7,32.2% / 56.1% / 65.9% / 71.4% / 87.3% / 92.2% / 96.6% / 100.0%,Pressurized Ice,Easy,Low volatility,Cluster-prone,
