description_key,mema_uec,rate_p50,dur_avg,avg_diff,avg_sat,runs
@vaughn_assassination_FPS_UGF_illegal_boss_desc_001,397179,4.71428571428571,21,3,3.5,2
@Foxwell_SecurityPatrol_E_Desc_001,421875,7.5,7.1,1,4,7
@RAIN_collectresources_multiple_GEN_desc_01,138333,1.33333333333333,45,1,5,1
@HaulCargo_AtoB_desc,247500,5.5,11,1,7,2
@Foxwell_bombingrun_E_desc_001,224438,6.75,9,2,3.5,2
@LingFamily_HaulCargo_MultiToSingle_desc_Party,304023,1.18181818181818,52,1.5,7,2
@Vaughn_EliminateSpecific_FPS_Rockcracker_Power_desc_001,465000,6,10,3,,1
@Shubin_Industrial_HandMining_Pyro_E_Local_Desc_001,96000,1,60,3,3,2
@eckhart_defendship_VLRT_desc_001,355714,8.57142857142857,7.2,1.7,3.9,34
@Foxwell_bombingrun_M_desc_001,166000,4,15,3,5,1
@Foxwell_DefendLocation_VE_Desc_001,118125,3.5,14.8,1.3,3.5,4
@headhunters_EliminateSpecific_Generic_E_desc_001,960000,15,6.6,1,2.3,8
@HaulCargo_AtoB_desc,90000,2.60869565217391,18.2,1.3,5.5,5
@HaulCargo_AtoB_desc,114750,1.5,22,1,7,59
@HaulCargo_AtoB_desc,68523,1.36363636363636,38.7,1.8,7,22
@HaulCargo_AtoB_desc,149000,4,31.3,1,7,3
@headhunters_eliminateall_base_Generic_E_desc_001,180000,4.28571428571429,13.3,1.7,2.6,58
@HaulCargo_AtoB_desc,183059,3.45394736842105,17,1.4,4.8,6
@vaughn_assassination_FPS_UGF_legal_boss_desc_001,530000,6.66666666666667,8,2.5,3.5,3
@Covalex_HaulCargo_SingleToMulti_RefinedOre,385465,1.3953488372093,43,,,1
@headhunters_EliminateSpecific_Asteroid_Generic_VE_desc_001,181667,6.66666666666667,9.2,2,5,5
@headhunters_eliminateall_XT_derelicts_desc_01,633462,4.61538461538461,13,3,3,1
@Headhunters_DefendLocation_VE_Desc_001,155769,4.61538461538461,12.3,2,,3
@Foxwell_SecurityPatrol_VH_Desc_001,455000,2,30,7,4,1
@Foxwell_DefendLocation_VE_Desc_001,135000,4,17,2,6,8
@Covalex_HaulCargo_SingleToMulti_Processed_Mixed_QTFuelHydroFuelShipAmmo,700745,2.10909090909091,29,2,5.5,2
@CFP_SecurityPatrol_VE_Desc_001,97200,2.7,22.5,1.5,1,2
@blackbox_recover_desc_intro_001,112500,3.33333333333333,19.3,2.5,3,3
@HaulCargo_AtoB_desc,262500,6,10,1,7,1
@cfp_eliminateall_intro_desc_001,118000,4,23.3,2,3.5,3
@Foxwell_ShipAmbush_E_desc_001,286875,8.4375,26.5,1.5,4,4
@Foxwell_ShipAmbush_VE_desc_001,270000,12,5.7,1.4,3.6,9
@RAIN_intro_desc_01,207500,2,36.5,1.3,3.3,4
@LingFamily_HaulCargo_MultiToSingle_desc_CFPAmenities,414348,0.869565217391304,64.7,2,5.5,3
@GFS_ShipWaveAttack_Mission01_Desc,200727,8.72727272727273,8.8,1,6,4
@RAIN_collectresources_multiple_GEN_desc_01,345833,3.33333333333333,22.3,1,6,3
@bhg_bounty_desc_ASD_Engineering_001,185500,3.5,23.1,1.5,4,8
@Eckhart_ShipAmbush_E_desc,226500,6,10.8,2.2,4.2,5
@CleanAir_ResourceGathering_Small_Filters_desc,565000,4,15,1,6,1
@Foxwell_SecurityPatrol_VE_Desc_001,337500,10,5.7,1.7,4,3
@searchbodyspace_desc_VE,183750,7.5,7.7,1,4,3
@bitzeros_shipheist_E_desc_001,,6.33333333333333,9.5,2.5,6,2
@headhunters_EliminateSpecific_Asteroid_Generic_VE_desc_001,163500,6,8.7,1.4,3.2,7
@RAIN_collectresources_multiple_GEN_desc_01,138333,1.33333333333333,45,1,5,1
@cfp_sabotage_servers_VH_XT_desc_001,976500,6,10,1,5,1
@Hockcrow_SearchBody_VeryEasy_Description_001,196500,6,10,3,5,1
@Shubin_Industrial_GroundVehicle_Stanton_E_DiscoverPlanetary_Desc_001,199950,2.86666666666667,21.5,1,6,2
@blackbox_recover_desc_VE_001,133759,3.63970588235294,15.7,1.8,3.5,6
@InterSec_ResourceGathering_Cryopods_Desc,852000,6,11.8,2.3,3,8
@cfp_bombingrun_E_desc_001,786000,12,6.8,1,5.3,4
@Shubin_Industrial_ShipMining_Stanton_VE_Local_Desc_001,1455000,30,2.6,1,3.5,19
@headhunters_EliminateSpecific_Generic_M_desc_001,372500,10,5.2,1.3,3.5,10
@destroyprobelegal_desc,79000,4,25.7,1.3,4.3,15
@Shubin_Industrial_HandMining_Intro_Local_Desc_001,114921,2.53968253968254,28.8,1.5,5,8
@northrock_bounty_fps_UGF_boss_desc_001,491488,5.47619047619048,13.5,5,6,6
@blackbox_recover_desc_intro_001,252656,6.875,10.8,1,4,6
@Foxwell_EliminateAll_Allies_desc_001,275455,5.45454545454545,11.6,1.5,2.7,9
@CleanAir_ResourceGathering_Small_Filters_desc,505000,4,15,1,6,1
@Shubin_Industrial_ShipMining_Nyx_E_Local_Desc_001,81000,1.33333333333333,45,3,,1
@blackbox_recover_desc_E_001,140294,3.52941176470588,14.3,1.7,4,3
@CleanAir_Courier_Combat_desc,407000,4,15,1,7,1
@cfp_defend-criminals_desc_001,765000,12,5,,,1
@cfp_sabotage_servers_M_HH_desc_001,,6.47727272727273,8.8,1,5,4
@Intersec_DefendShip_Vanduul_Desc_VeryHard_001,720498,3.67132867132867,42,3.7,4.7,4
@Foxwell_EliminateAll_desc_001,180000,5,10.7,2.7,3.7,3
@EckhartSecurity_EliminateAll_storm_shut_H_desc_001,77102,1.34090909090909,27,,,2
@Hockrow_FacilityDelve_P2M1_Repeat_desc,110893,1.07142857142857,61.8,3.7,5,13
@foxwell_DefendShip_H_desc_001,4672200,31.2,13,2.5,3,2
@Highpoint_KillAnimals_storm_H_desc_001,2787750,31.5,10.5,4,4,2
@cfp_defend_regionshift_desc_001,298000,4,15,2,1,1
