id,debugName,isLegacy,category,missionType,illegal,onceOnly,canBeShared,hideInMobiGlas,availableInPrison,titleLocKey,descriptionLocKey,title,description,factionGuid,factionName,rewardUEC,rewardIsDynamic,buyIn,timeToComplete,maxPlayersPerInstance,personalCooldownTime,minStandingName,minStandingNameKey,minStandingScope,maxStandingName,maxStandingNameKey,systems,blueprintRewardsCount,blueprintPoolNames,blueprintPoolGuids,blueprintChances,shipEncountersCount,haulingOrdersCount,locationCount,destinationCount
b663a2f6-a889-47eb-821d-194da213a9ed,HH_Pyro_LastLandings_Local_1box_Single_Courier,false,career,Delivery,true,false,true,false,false,Headhunters_Delivery_Outpost_title_001,Headhunters_Delivery_Outpost_desc_001,[DESTINATION] Errand,Got a box sitting at <EM4>[LOCATION]</EM4> that needs to make its way over to <EM4>[DESTINATION]</EM4>. Any chance you can knock this out real quick?\n\nMight be the easiest gig I’ve ever assigned out. Only real threat would be tripping over your own feet. A <EM4>handheld tractor beam</EM4> would also be smart to bring along. \n\nStows out.,09efeef4-c646-408d-a979-3ae56a3b1beb,Headhunters,26250,,,10,1,15,Neutral,mobiGlas_Reputation_Stance_Neutral,FactionReputation,Elite Contractor,RepScope_Contractor_Rank6,Pyro,0,,,,0,0,3,12
fb689d82-0fd7-459b-aab2-8e417df6815a,RR_Pyro_Checkmate_Local_1box_Single_Courier,false,story,Delivery,false,false,true,false,false,roughready_delivery_station_title_001,roughready_delivery_station_desc_001,[DESTINATION] Stroll,Any chance you’re at [DESTINATION]?\n\nNeed a box hustled from <EM4>[LOCATION]</EM4> to <EM4>[DESTINATION]</EM4>. Get it there on time and unbroken and it’ll be the easiest creds you’ll ever earn.   \n\n-Smokey,,,6000,,,4,1,45,,,,,,Pyro,0,,,,0,0,11,25
80933e8d-c9bf-492b-b69f-c5abd24962e9,HH_Pyro_RegionB_M_CFPOutposts_EliminateAll,false,career,Mercenary,false,false,true,false,false,headhunters_eliminateall_cfp_M_title_001,headhunters_eliminateall_cfp_M_desc_001,[LOCATION] has been greenlit,"Word came down from the Judge that we're to hit [LOCATION]. It's owned by CFP and security there have been less than hospitable to some of the locals, so they gotta go.\n\nThey may talk a big game about bringing security, but they got guns and are more than happy to use 'em.\n\nStows out.",09efeef4-c646-408d-a979-3ae56a3b1beb,Headhunters,62500,,,16,1,1,Jr. Contractor,RepScope_Contractor_Rank1,FactionReputation,Elite Contractor,RepScope_Contractor_Rank6,Pyro,1,BP_MISSIONREWARD_HeadHunters_MercenaryFPS_EliminateALL_RegionAB,e9947de1-6160-4d62-a319-2f4693140c88,1,0,0,22,17
4f141dc7-cd46-8fa0-bcc3-c18d0101a49a,HH_Pyro_RegionD_Rank3_Regional_Handyman,false,career,Maintenance,true,false,true,false,false,headhunters_maintenance_M_title_001,headhunters_maintenance_M_desc_001,[LOCATION] needs a bunch of repairs,"Need somebody handy with tools to pop over to <EM4>[LOCATION]</EM4> and help out with some repairs. Our last repair guy knocked out most of the fixes but there's still some stuff that could use looking at.\n\nI think if you've got <EM4>six fuses</EM4>, a <EM4>salvaging tool</EM4>, and <EM4>enough RMC canisters to patch up around five pipes</EM4>, you should be covered.\n\nHopefully you know what you're doing, but just in case, the <EM4>“Guide to Maintenance”</EM4> in your mobiGlas Journal might be worth a look.\n\nStows out.",09efeef4-c646-408d-a979-3ae56a3b1beb,Headhunters,38000,,,15,1,30,Sr. Contractor,RepScope_Contractor_Rank3,FactionReputation,Elite Contractor,RepScope_Contractor_Rank6,Pyro,0,,,,0,0,15,0
2faacd74-10f4-4b31-8e24-cca9c78841b8,CFP_Pyro_RegionB_M_CFPXSOutposts_HH_EliminateAll,false,career,Mercenary,false,false,true,false,false,cfp_defend_headhunters_M_title_001,cfp_defend_headhunters_M_desc_001,[LOCATION] needs assistance,"Headhunters have launched an unprovoked attack against [LOCATION]. Although we don't support the use of violence, Citizens for Prosperity won't let innocent people die. We need qualified security personnel to retake the outpost.\n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",5a6914c9-3d56-47e0-9fe2-b264ee17b992,Citizens For Prosperity,73250,,,20,1,45,Jr. Contractor,RepScope_Contractor_Rank1,FactionReputation,Elite Contractor,RepScope_Contractor_Rank6,Pyro,1,BP_MISSIONREWARD_CFP_Outpost_RegionAB,633d4069-c160-43d2-892d-2d8222261c20,1,0,0,21,0
3c33b776-e65f-46fc-930e-52e326df8ddc,CFP_Pyro_RegionA_H_CFPOutposts_MultiEliminateAllAndBoss,false,career,Mercenary,false,false,true,false,false,cfp_defend_boss_Generic_title_001,cfp_defend_boss_Generic_desc_001,[LOCATION] needs help,"We just received reports of a massive attack against [LOCATION] by a large group of armed individuals led by [TARGET], a notorious outlaw who has been threatening Citizens for Prosperity personnel for months. Details are still yet to be confirmed but we know there have been multiple casualties.\n\nCitizens for Prosperity is looking for any qualified security personnel to go and retake the outposts from these hostile elements. Our understanding is that [TARGET] tends to hide behind their soldiers, but will emerge if you take enough of the rank-and-file out.\n\nWhile we don't like to resort to violence, management can see no other way of resolving this situation and continuing our good work in the system.\n\nGood luck,\n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",5a6914c9-3d56-47e0-9fe2-b264ee17b992,Citizens For Prosperity,101000,,,25,1,45,Veteran Contractor,RepScope_Contractor_Rank4,FactionReputation,Elite Contractor,RepScope_Contractor_Rank6,Pyro,1,BP_MISSIONREWARD_CFP_Outpost_RegionC,a2da9707-9859-4da0-9f4b-90e5afe45833,1,0,0,27,0
46917e35-339c-1388-7f62-5b3af2420388,HH_Pyro_RegionD_Rank5_Regional_Handyman,false,career,Maintenance,true,false,true,false,false,headhunters_maintenance_H_title_001,headhunters_maintenance_H_desc_001,[LOCATION] needs massive repairs,"The storms over at <EM4>[LOCATION]</EM4> are getting to be a real pain in the ass. One of our outposts got absolutely reamed yesterday and needs some serious repairs so we're looking for help.\n\nFigure you'd need to bring <EM4>about six fuses</EM4>, a <EM4>salvaging tool</EM4>, and <EM4>enough RMC canisters to deal with at most eight busted pipes</EM4>. We think that’ll cover, but you'll get exact numbers on site.\n\nHell with this place.\n\nHopefully you know what you're doing, but just in case, that <EM4>“Guide to Maintenance”</EM4> in your mobiGlas Journal might be worth a look.\n\nStows out.",09efeef4-c646-408d-a979-3ae56a3b1beb,Headhunters,62000,,,20,1,30,Head Contractor,RepScope_Contractor_Rank5,FactionReputation,Elite Contractor,RepScope_Contractor_Rank6,Pyro,0,,,,0,0,15,0
4cd06280-1bb4-8ddb-2bcb-8cf6e714c3a4,HH_Pyro_RegionD_Rank0_Regional_Handyman,false,career,Maintenance,true,false,true,false,false,headhunters_maintenance_local_E_title_001,headhunters_maintenance_local_E_desc_001,[LOCATION] needs some repairs,"Hey if you’re reading this, we need a hand. An outpost of ours down at <EM4>[LOCATION]</EM4> got hit by a nasty storm and suffered some damage. None of our usual techs are available (or alive) to swing by so we wanna hire someone to go fix some fuses (no idea how many but <EM4>no more than three</EM4> I think). If you can bring a <EM4>salvaging tool</EM4> with <EM4>enough RMC canisters to sort out around three pipes</EM4>, we should be good.\n\nHopefully you know what you're doing, but just in case, the <EM4>“Guide to Maintenance”</EM4> in your mobiGlas Journal might be worth a look.\n\nStows out.",09efeef4-c646-408d-a979-3ae56a3b1beb,Headhunters,21500,,,10,1,30,Neutral,mobiGlas_Reputation_Stance_Neutral,FactionReputation,Neutral,mobiGlas_Reputation_Stance_Neutral,Pyro,0,,,,0,0,15,0
4669a238-eee1-b6c8-ad86-78e0e2a9ec86,HH_Pyro_RegionD_Rank1_Regional_Handyman,false,career,Maintenance,true,false,true,false,false,headhunters_maintenance_local_E_title_001,headhunters_maintenance_local_E_desc_001,[LOCATION] needs some repairs,"Hey if you’re reading this, we need a hand. An outpost of ours down at <EM4>[LOCATION]</EM4> got hit by a nasty storm and suffered some damage. None of our usual techs are available (or alive) to swing by so we wanna hire someone to go fix some fuses (no idea how many but <EM4>no more than three</EM4> I think). If you can bring a <EM4>salvaging tool</EM4> with <EM4>enough RMC canisters to sort out around three pipes</EM4>, we should be good.\n\nHopefully you know what you're doing, but just in case, the <EM4>“Guide to Maintenance”</EM4> in your mobiGlas Journal might be worth a look.\n\nStows out.",09efeef4-c646-408d-a979-3ae56a3b1beb,Headhunters,25750,,,12,1,30,Jr. Contractor,RepScope_Contractor_Rank1,FactionReputation,Elite Contractor,RepScope_Contractor_Rank6,Pyro,0,,,,0,0,15,0
152bc6c1-70e0-44fb-a89a-5200456f132c,TarPits_Stanton2_Unlawful_Salvage_CoverUp_Easy,false,story,Salvage,true,false,true,false,false,TarPits_ShipStrip_title_001,TarPits_ShipStrip_desc_001,[SHIP] clean up,"Got a particular salvage job that we could use some extra hands on. \n\nWe need you to find a [SHIP] that got punched out around [LOCATION]. Security’s already searching for it and if they find it, they’ll ID it for sure and we’ll be in loads of trouble.\n\nSo, we want you to make sure that can’t happen. Either tow the ship out of the search area or rip the entire hull off so nobody can tell who it belonged to. Whatever you decide, keep your mouth shut about this. \n\nWe’ll cred you up and anything you scrap is yours to keep. But if security finds the ship before you’re done, we’ll all be screwed and you won’t get paid so don’t disappoint.",5ebbd81d-82cb-4534-81fc-db7a2c386f70,Tar Pits,13500,,,6.7,-1,30,,,,,,Stanton,0,,,,0,0,1,0
3617c33e-0f3f-44e7-b468-7de2a2db1dc4,TarPits_Stanton2_Unlawful_Salvage_CoverUp_Medium,false,story,Salvage,true,false,true,false,false,TarPits_ShipStrip_title_001,TarPits_ShipStrip_desc_001,[SHIP] clean up,"Got a particular salvage job that we could use some extra hands on. \n\nWe need you to find a [SHIP] that got punched out around [LOCATION]. Security’s already searching for it and if they find it, they’ll ID it for sure and we’ll be in loads of trouble.\n\nSo, we want you to make sure that can’t happen. Either tow the ship out of the search area or rip the entire hull off so nobody can tell who it belonged to. Whatever you decide, keep your mouth shut about this. \n\nWe’ll cred you up and anything you scrap is yours to keep. But if security finds the ship before you’re done, we’ll all be screwed and you won’t get paid so don’t disappoint.",5ebbd81d-82cb-4534-81fc-db7a2c386f70,Tar Pits,23500,,,8.7,-1,30,,,,,,Stanton,0,,,,0,0,1,0
d46436e6-56ea-40ed-a0fd-e7c0c7218fbb,TarPits_Stanton2_Unlawful_Salvage_CoverUp_VeryEasy,false,story,Salvage,true,false,true,false,false,TarPits_ShipStrip_title_001,TarPits_ShipStrip_desc_001,[SHIP] clean up,"Got a particular salvage job that we could use some extra hands on. \n\nWe need you to find a [SHIP] that got punched out around [LOCATION]. Security’s already searching for it and if they find it, they’ll ID it for sure and we’ll be in loads of trouble.\n\nSo, we want you to make sure that can’t happen. Either tow the ship out of the search area or rip the entire hull off so nobody can tell who it belonged to. Whatever you decide, keep your mouth shut about this. \n\nWe’ll cred you up and anything you scrap is yours to keep. But if security finds the ship before you’re done, we’ll all be screwed and you won’t get paid so don’t disappoint.",5ebbd81d-82cb-4534-81fc-db7a2c386f70,Tar Pits,13500,,,6.7,-1,30,,,,,,Stanton,0,,,,0,0,1,0
7462c715-9517-451b-a32d-8e6b3ec0122d,HH_Pyro_RegionA_VLRT_Criminals_KillShip,false,career,Bounty Hunter,true,false,true,false,false,headhunters_killship_gen_vlrt_title_001,headhunters_killship_gen_vlrt_desc_001,[TARGET] needs stomping,Got a small fry who thinks they can hit the Headhunters and get away with it. So [TARGET] tried to knock over one of our stashes and think they can get away with it. \n\nLast we heard they were spotted around [LOCATION]. We need someone to head over and send a very clear message who is the reigning power in the system.\n\nDo it quick and clean.\n\nStows out.,09efeef4-c646-408d-a979-3ae56a3b1beb,Headhunters,38500,,,12,1,45,Jr. Contractor,RepScope_Contractor_Rank1,FactionReputation,Elite Contractor,RepScope_Contractor_Rank6,Pyro,0,,,,0,0,88,0
971e8dd9-9f67-4f92-9b36-9b376c2e9db2,Vaughn_Nyx_Assassination_Easy,false,career,Mercenary,true,false,true,false,false,vaughn_assassination_E_title_003,vaughn_assassination_E_desc_001,A Basic Task,"[TARGET] needs to be eliminated. My contacts tell me they will have one or two escorts, but nothing you can't handle. Find them near [LOCATION].\n\nMost Sincerely,\nVaughn",a161c267-0253-48e5-be7a-dfa16c6cbebe,Vaughn,32500,,,12,1,1,Jr. Contractor,RepScope_Contractor_Rank1,FactionReputation,Elite Contractor,RepScope_Contractor_Rank6,Nyx,0,,,,0,0,7,0
