Location Name,Ship Mineables,Hand Mineables
Aaron Halo,"Agricium (Ore)
Aluminium (Ore)
Aslarite (Raw)
Beryl (Raw)
Copper (Ore)
Corundum (Raw)
Hephaestanite (Raw)
Ice (Raw)
Iron (Ore)
Quantainium (Raw)
Silicon (Raw)
Tin (Ore)
Titanium (Ore)",
Aberdeen,"Agricium (Ore)
Aluminium (Ore)
Aslarite (Raw)
Beradom
Beryl (Raw)
Corundum (Raw)
Feynmaline
Glacosite
Ouratite (Raw)
Quantainium (Raw)
Titanium (Ore)","Aphorite
Dolivine
Hadanite"
Akiro Cluster,"Copper (Ore)
Hephaestanite (Raw)
Ice (Raw)
Iron (Ore)
Laranite (Raw)
Riccite (Ore)
Silicon (Raw)
Stileron (Ore)
Taranite (Raw)
Tin (Ore)
Torite (Ore)",
Arial,"Agricium (Ore)
Aluminium (Ore)
Beradom
Beryl (Raw)
Copper (Ore)
Corundum (Raw)
Feynmaline
Glacosite
Hephaestanite (Raw)
Ouratite (Raw)
Quantainium (Raw)
Quartz (Raw)
Silicon (Raw)
Tin (Ore)","Aphorite
Dolivine
Hadanite"
Asteroid Cluster (Low Yield),"Aluminium (Ore)
Beryl (Raw)
Copper (Ore)
Corundum (Raw)
Hephaestanite (Raw)
Ice (Raw)
Iron (Ore)
Quantainium (Raw)
Silicon (Raw)
Tin (Ore)",
Asteroid Cluster (Medium Yield),"Aluminium (Ore)
Beryl (Raw)
Copper (Ore)
Corundum (Raw)
Hephaestanite (Raw)
Ice (Raw)
Iron (Ore)
Quantainium (Raw)
Silicon (Raw)
Tin (Ore)",
Breaker Stations Interior,,"Aphorite
Sadaryx"
Breaker Stations Large Geode,"Savrilium (Ore)
Torite (Ore)",
Calliope,"Beradom
Beryl (Raw)
Feynmaline
Glacosite
Hephaestanite (Raw)
Ice (Raw)
Iron (Ore)
Quantainium (Raw)
Quartz (Raw)
Silicon (Raw)","Aphorite
Dolivine
Janalite"
Cellin,"Agricium (Ore)
Aslarite (Raw)
Beradom
Beryl (Raw)
Feynmaline
Glacosite
Hephaestanite (Raw)
Quantainium (Raw)
Quartz (Raw)
Silicon (Raw)
Taranite (Raw)
Titanium (Ore)","Aphorite
Dolivine
Hadanite"
Clio,"Beradom
Beryl (Raw)
Copper (Ore)
Feynmaline
Glacosite
Ice (Raw)
Quantainium (Raw)
Taranite (Raw)
Tin (Ore)","Aphorite
Dolivine
Janalite"
Daymar,"Agricium (Ore)
Aslarite (Raw)
Beradom
Beryl (Raw)
Feynmaline
Glacosite
Hephaestanite (Raw)
Quantainium (Raw)
Quartz (Raw)
Silicon (Raw)
Titanium (Ore)","Aphorite
Dolivine
Hadanite"
Euterpe,"Beradom
Beryl (Raw)
Copper (Ore)
Feynmaline
Glacosite
Ice (Raw)
Quantainium (Raw)
Taranite (Raw)
Tin (Ore)","Aphorite
Dolivine
Janalite"
Glaciem Ring,"Aluminium (Ore)
Bexalite (Raw)
Borase (Ore)
Corundum (Raw)
Gold (Ore)
Ice (Raw)
Iron (Ore)
Lindinium (Ore)
Savrilium (Ore)
Torite (Ore)
Tungsten (Ore)",
Hathor Caves,Carinite,"Aphorite
Carinite
Carinitepure
Dolivine
Hadanite
Jaclium
Janalite
Saldynium"
Hurston,"Agricium (Ore)
Aluminium (Ore)
Beradom
Beryl (Raw)
Copper (Ore)
Corundum (Raw)
Feynmaline
Glacosite
Ouratite (Raw)
Quantainium (Raw)
Tin (Ore)","Aphorite
Dolivine
Hadanite"
Ita,"Agricium (Ore)
Aluminium (Ore)
Aslarite (Raw)
Beradom
Beryl (Raw)
Copper (Ore)
Corundum (Raw)
Feynmaline
Glacosite
Quantainium (Raw)
Tin (Ore)
Titanium (Ore)","Aphorite
Dolivine
Hadanite"
Keeger Belt,"Aluminium (Ore)
Bexalite (Raw)
Borase (Ore)
Corundum (Raw)
Gold (Ore)
Ice (Raw)
Iron (Ore)
Lindinium (Ore)
Savrilium (Ore)
Torite (Ore)
Tungsten (Ore)",
