shipPoolId,shipName
7b3a30285675,Aegis Gladius
005292ee93f8,Aegis Gladius
005292ee93f8,Aegis Gladius Valiant
005292ee93f8,Aegis Redeemer
005292ee93f8,Aegis Vanguard Harbinger
005292ee93f8,Aegis Vanguard Hoplite
005292ee93f8,Aegis Vanguard Sentinel
005292ee93f8,Aegis Vanguard Warden
005292ee93f8,Anvil Arrow
005292ee93f8,Anvil F7C-M Super Hornet Mk I
005292ee93f8,Anvil Gladiator
005292ee93f8,Anvil Hurricane
005292ee93f8,Anvil Valkyrie
005292ee93f8,Argo RAFT
005292ee93f8,C.O. Nomad
005292ee93f8,Crusader A1 Spirit
005292ee93f8,Crusader Ares Star Fighter Inferno
005292ee93f8,Crusader C1 Spirit
005292ee93f8,Crusader Mercury Star Runner
005292ee93f8,Drake Buccaneer
005292ee93f8,Drake Caterpillar
005292ee93f8,Drake Cutlass Black
005292ee93f8,Drake Cutlass Steel
005292ee93f8,Drake Vulture
005292ee93f8,Esperia Prowler
005292ee93f8,Esperia Talon Shrike
005292ee93f8,MISC Freelancer
005292ee93f8,MISC Freelancer DUR
005292ee93f8,MISC Freelancer MAX
005292ee93f8,MISC Freelancer MIS
005292ee93f8,MISC Reliant Kore
005292ee93f8,MISC Reliant Tana
005292ee93f8,Origin 400i
005292ee93f8,RSI Scorpius
005292ee93f8,RSI Scorpius Antares
005292ee93f8,RSI Zeus Mk II ES
8ae774ef7e5d,Aegis Avenger Stalker
8ae774ef7e5d,Aegis Avenger Titan Renegade
8ae774ef7e5d,Aegis Avenger Warlock
8ae774ef7e5d,Aegis Eclipse
8ae774ef7e5d,Aegis Gladius
8ae774ef7e5d,Aegis Gladius Valiant
8ae774ef7e5d,Aegis Hammerhead
8ae774ef7e5d,Aegis Idris-M
8ae774ef7e5d,Aegis Idris-P
8ae774ef7e5d,Aegis Reclaimer
8ae774ef7e5d,Aegis Redeemer
8ae774ef7e5d,Aegis Retaliator
8ae774ef7e5d,Aegis Sabre
8ae774ef7e5d,Aegis Sabre Comet
8ae774ef7e5d,Aegis Sabre Firebird
8ae774ef7e5d,Aegis Sabre Raven
8ae774ef7e5d,Aegis Vanguard Harbinger
8ae774ef7e5d,Aegis Vanguard Hoplite
8ae774ef7e5d,Aegis Vanguard Sentinel
8ae774ef7e5d,Aegis Vanguard Warden
8ae774ef7e5d,Anvil Arrow
8ae774ef7e5d,Anvil C8 Pisces
8ae774ef7e5d,Anvil C8R Pisces Rescue
8ae774ef7e5d,Anvil C8X Pisces Expedition
8ae774ef7e5d,Anvil Carrack
8ae774ef7e5d,Anvil F7C Hornet Mk I
8ae774ef7e5d,Anvil F7C-M Super Hornet Mk I
8ae774ef7e5d,Anvil F7C-R Hornet Tracker Mk I
8ae774ef7e5d,Anvil F7C-S Hornet Ghost Mk I
8ae774ef7e5d,Anvil Gladiator
8ae774ef7e5d,Anvil Hawk
8ae774ef7e5d,Anvil Hurricane
8ae774ef7e5d,Anvil Terrapin
8ae774ef7e5d,Anvil Terrapin Medic
8ae774ef7e5d,Anvil Valkyrie
8ae774ef7e5d,Aopoa Khartu-al
8ae774ef7e5d,Argo MOLE
8ae774ef7e5d,Argo RAFT
8ae774ef7e5d,Broad & Rabiee Overseer Orbital Sentry
8ae774ef7e5d,C.O. Mustang Alpha
8ae774ef7e5d,C.O. Mustang Beta
8ae774ef7e5d,C.O. Mustang Delta
8ae774ef7e5d,C.O. Mustang Gamma
8ae774ef7e5d,C.O. Nomad
8ae774ef7e5d,Crusader A1 Spirit
8ae774ef7e5d,Crusader A2 Hercules Starlifter
8ae774ef7e5d,Crusader Ares Star Fighter Inferno
8ae774ef7e5d,Crusader Ares Star Fighter Ion
8ae774ef7e5d,Crusader C1 Spirit
8ae774ef7e5d,Crusader C2 Hercules Starlifter
8ae774ef7e5d,Crusader M2 Hercules Starlifter
8ae774ef7e5d,Crusader Mercury Star Runner
8ae774ef7e5d,Drake Buccaneer
8ae774ef7e5d,Drake Caterpillar
8ae774ef7e5d,Drake Corsair
8ae774ef7e5d,Drake Cutlass Black
8ae774ef7e5d,Drake Cutlass Steel
8ae774ef7e5d,Drake Cutter
8ae774ef7e5d,Drake Cutter Rambler
8ae774ef7e5d,Drake Cutter Scout
8ae774ef7e5d,Drake Herald
8ae774ef7e5d,Drake Vulture
8ae774ef7e5d,Esperia Prowler
8ae774ef7e5d,Esperia Talon
8ae774ef7e5d,Esperia Talon Shrike
8ae774ef7e5d,MISC Freelancer
8ae774ef7e5d,MISC Freelancer DUR
8ae774ef7e5d,MISC Freelancer MAX
8ae774ef7e5d,MISC Freelancer MIS
8ae774ef7e5d,MISC Hull A
8ae774ef7e5d,MISC Prospector
8ae774ef7e5d,MISC Reliant Kore
8ae774ef7e5d,MISC Reliant Mako
8ae774ef7e5d,MISC Reliant Sen
8ae774ef7e5d,MISC Reliant Tana
8ae774ef7e5d,MISC Starfarer
8ae774ef7e5d,MISC Starfarer Gemini
8ae774ef7e5d,Mirai Razor
8ae774ef7e5d,Mirai Razor EX
8ae774ef7e5d,Mirai Razor LX
8ae774ef7e5d,Origin 100i
8ae774ef7e5d,Origin 125a
8ae774ef7e5d,Origin 135c
8ae774ef7e5d,Origin 300i
8ae774ef7e5d,Origin 315p
8ae774ef7e5d,Origin 325a
8ae774ef7e5d,Origin 350r
8ae774ef7e5d,Origin 400i
8ae774ef7e5d,Origin 600i
8ae774ef7e5d,Origin 85X Limited
8ae774ef7e5d,Origin 890 Jump
8ae774ef7e5d,Origin M50 Interceptor
8ae774ef7e5d,RSI Aurora Mk I  LX
8ae774ef7e5d,RSI Aurora Mk I CL
8ae774ef7e5d,RSI Aurora Mk I ES
8ae774ef7e5d,RSI Aurora Mk I LN
8ae774ef7e5d,RSI Aurora Mk I MR
8ae774ef7e5d,RSI Constellation Andromeda
8ae774ef7e5d,RSI Constellation Aquila
8ae774ef7e5d,RSI Constellation Phoenix
8ae774ef7e5d,RSI Constellation Taurus
8ae774ef7e5d,RSI Mantis
8ae774ef7e5d,RSI Polaris
8ae774ef7e5d,RSI Scorpius
8ae774ef7e5d,RSI Scorpius Antares
8ae774ef7e5d,RSI Zeus Mk II ES
e282acba9506,Aegis Avenger Stalker
e282acba9506,Aegis Avenger Titan Renegade
e282acba9506,Aegis Avenger Warlock
e282acba9506,Aegis Eclipse
e282acba9506,Aegis Gladius
e282acba9506,Aegis Gladius Valiant
e282acba9506,Aegis Hammerhead
e282acba9506,Aegis Idris-M
e282acba9506,Aegis Idris-P
e282acba9506,Aegis Reclaimer
e282acba9506,Aegis Redeemer
e282acba9506,Aegis Retaliator
e282acba9506,Aegis Sabre
e282acba9506,Aegis Sabre Comet
e282acba9506,Aegis Sabre Firebird
e282acba9506,Aegis Sabre Raven
e282acba9506,Aegis Vanguard Harbinger
e282acba9506,Aegis Vanguard Hoplite
e282acba9506,Aegis Vanguard Sentinel
e282acba9506,Aegis Vanguard Warden
e282acba9506,Anvil Arrow
e282acba9506,Anvil C8 Pisces
e282acba9506,Anvil C8R Pisces Rescue
e282acba9506,Anvil C8X Pisces Expedition
e282acba9506,Anvil Carrack
e282acba9506,Anvil F7C Hornet Mk I
e282acba9506,Anvil F7C-M Super Hornet Mk I
e282acba9506,Anvil F7C-R Hornet Tracker Mk I
e282acba9506,Anvil F7C-S Hornet Ghost Mk I
e282acba9506,Anvil Gladiator
e282acba9506,Anvil Hawk
e282acba9506,Anvil Hurricane
e282acba9506,Anvil Terrapin
e282acba9506,Anvil Terrapin Medic
e282acba9506,Anvil Valkyrie
e282acba9506,Aopoa Khartu-al
e282acba9506,Argo MOLE
e282acba9506,Argo RAFT
e282acba9506,Broad & Rabiee Overseer Orbital Sentry
e282acba9506,C.O. Mustang Alpha
e282acba9506,C.O. Mustang Beta
e282acba9506,C.O. Mustang Delta
e282acba9506,C.O. Mustang Gamma
e282acba9506,C.O. Nomad
e282acba9506,Crusader A1 Spirit
e282acba9506,Crusader A2 Hercules Starlifter
e282acba9506,Crusader Ares Star Fighter Inferno
e282acba9506,Crusader Ares Star Fighter Ion
e282acba9506,Crusader C2 Hercules Starlifter
e282acba9506,Crusader M2 Hercules Starlifter
e282acba9506,Crusader Mercury Star Runner
e282acba9506,Drake Buccaneer
e282acba9506,Drake Caterpillar
e282acba9506,Drake Corsair
e282acba9506,Drake Cutlass Black
e282acba9506,Drake Cutlass Steel
e282acba9506,Drake Cutter
e282acba9506,Drake Cutter Rambler
e282acba9506,Drake Cutter Scout
e282acba9506,Drake Herald
e282acba9506,Drake Vulture
e282acba9506,Esperia Prowler
e282acba9506,Esperia Talon
e282acba9506,Esperia Talon Shrike
e282acba9506,MISC Freelancer
e282acba9506,MISC Freelancer DUR
e282acba9506,MISC Freelancer MAX
e282acba9506,MISC Freelancer MIS
e282acba9506,MISC Hull A
e282acba9506,MISC Hull C
e282acba9506,MISC Prospector
e282acba9506,MISC Reliant Kore
e282acba9506,MISC Reliant Mako
e282acba9506,MISC Reliant Sen
e282acba9506,MISC Reliant Tana
e282acba9506,MISC Starfarer
e282acba9506,MISC Starfarer Gemini
e282acba9506,Mirai Razor
e282acba9506,Mirai Razor EX
e282acba9506,Mirai Razor LX
e282acba9506,Origin 100i
e282acba9506,Origin 125a
e282acba9506,Origin 135c
e282acba9506,Origin 300i
e282acba9506,Origin 315p
e282acba9506,Origin 325a
e282acba9506,Origin 350r
e282acba9506,Origin 400i
e282acba9506,Origin 600i
e282acba9506,Origin 85X Limited
e282acba9506,Origin 890 Jump
e282acba9506,Origin M50 Interceptor
e282acba9506,RSI Aurora Mk I  LX
e282acba9506,RSI Aurora Mk I CL
e282acba9506,RSI Aurora Mk I ES
e282acba9506,RSI Aurora Mk I LN
e282acba9506,RSI Aurora Mk I MR
e282acba9506,RSI Constellation Andromeda
e282acba9506,RSI Constellation Aquila
e282acba9506,RSI Constellation Phoenix
e282acba9506,RSI Constellation Taurus
e282acba9506,RSI Mantis
e282acba9506,RSI Polaris
e282acba9506,RSI Scorpius
e282acba9506,RSI Scorpius Antares
5b39bf77a4c3,Aegis Avenger Stalker
5b39bf77a4c3,MISC Prospector
5b39bf77a4c3,RSI Mantis
6f0dc24fa50b,Aegis Avenger Stalker
6f0dc24fa50b,Anvil Valkyrie
6f0dc24fa50b,Drake Cutlass Black
6f0dc24fa50b,RSI Constellation Andromeda
6f0dc24fa50b,RSI Mantis
306a64ba06ec,Aegis Avenger Stalker
306a64ba06ec,Aegis Hammerhead
306a64ba06ec,Drake Caterpillar
306a64ba06ec,MISC Starfarer
306a64ba06ec,RSI Mantis
38cd4448651c,MISC Freelancer
9404da5f5286,Aegis Avenger Stalker
9404da5f5286,Aegis Avenger Titan Renegade
9404da5f5286,Aegis Avenger Warlock
9404da5f5286,Aegis Eclipse
9404da5f5286,Aegis Gladius
9404da5f5286,Aegis Gladius Valiant
9404da5f5286,Aegis Hammerhead
9404da5f5286,Aegis Idris-M
9404da5f5286,Aegis Idris-P
9404da5f5286,Aegis Reclaimer
9404da5f5286,Aegis Redeemer
9404da5f5286,Aegis Retaliator
9404da5f5286,Aegis Sabre
9404da5f5286,Aegis Sabre Comet
9404da5f5286,Aegis Sabre Firebird
9404da5f5286,Aegis Sabre Raven
9404da5f5286,Aegis Vanguard Harbinger
9404da5f5286,Aegis Vanguard Hoplite
9404da5f5286,Aegis Vanguard Sentinel
9404da5f5286,Aegis Vanguard Warden
9404da5f5286,Anvil Arrow
9404da5f5286,Anvil C8 Pisces
9404da5f5286,Anvil C8R Pisces Rescue
9404da5f5286,Anvil C8X Pisces Expedition
9404da5f5286,Anvil Carrack
9404da5f5286,Anvil F7C Hornet Mk I
9404da5f5286,Anvil F7C-M Super Hornet Mk I
9404da5f5286,Anvil F7C-R Hornet Tracker Mk I
9404da5f5286,Anvil F7C-S Hornet Ghost Mk I
9404da5f5286,Anvil Gladiator
9404da5f5286,Anvil Hawk
9404da5f5286,Anvil Hurricane
9404da5f5286,Anvil Terrapin
9404da5f5286,Anvil Terrapin Medic
9404da5f5286,Anvil Valkyrie
9404da5f5286,Aopoa Khartu-al
9404da5f5286,Argo MOLE
9404da5f5286,Argo RAFT
9404da5f5286,Banu Defender
9404da5f5286,Broad & Rabiee Overseer Orbital Sentry
9404da5f5286,C.O. Mustang Alpha
9404da5f5286,C.O. Mustang Beta
9404da5f5286,C.O. Mustang Delta
9404da5f5286,C.O. Mustang Gamma
9404da5f5286,C.O. Nomad
9404da5f5286,Crusader A1 Spirit
9404da5f5286,Crusader A2 Hercules Starlifter
9404da5f5286,Crusader Ares Star Fighter Inferno
9404da5f5286,Crusader Ares Star Fighter Ion
9404da5f5286,Crusader C2 Hercules Starlifter
9404da5f5286,Crusader M2 Hercules Starlifter
9404da5f5286,Crusader Mercury Star Runner
9404da5f5286,Drake Buccaneer
9404da5f5286,Drake Caterpillar
9404da5f5286,Drake Corsair
9404da5f5286,Drake Cutlass Black
9404da5f5286,Drake Cutlass Steel
9404da5f5286,Drake Cutter
9404da5f5286,Drake Cutter Rambler
9404da5f5286,Drake Cutter Scout
9404da5f5286,Drake Herald
9404da5f5286,Drake Vulture
9404da5f5286,Esperia Prowler
9404da5f5286,Esperia Talon
9404da5f5286,Esperia Talon Shrike
9404da5f5286,MISC Freelancer
9404da5f5286,MISC Freelancer DUR
9404da5f5286,MISC Freelancer MAX
9404da5f5286,MISC Freelancer MIS
9404da5f5286,MISC Hull A
9404da5f5286,MISC Hull C
9404da5f5286,MISC Prospector
9404da5f5286,MISC Reliant Kore
9404da5f5286,MISC Reliant Mako
9404da5f5286,MISC Reliant Sen
9404da5f5286,MISC Reliant Tana
9404da5f5286,MISC Starfarer
9404da5f5286,MISC Starfarer Gemini
9404da5f5286,Mirai Razor
9404da5f5286,Mirai Razor EX
9404da5f5286,Mirai Razor LX
9404da5f5286,Origin 100i
9404da5f5286,Origin 125a
9404da5f5286,Origin 135c
9404da5f5286,Origin 300i
9404da5f5286,Origin 315p
9404da5f5286,Origin 325a
9404da5f5286,Origin 350r
9404da5f5286,Origin 400i
9404da5f5286,Origin 600i
9404da5f5286,Origin 85X Limited
9404da5f5286,Origin 890 Jump
9404da5f5286,Origin M50 Interceptor
9404da5f5286,RSI Aurora Mk I  LX
9404da5f5286,RSI Aurora Mk I CL
9404da5f5286,RSI Aurora Mk I ES
9404da5f5286,RSI Aurora Mk I LN
9404da5f5286,RSI Aurora Mk I MR
9404da5f5286,RSI Constellation Andromeda
9404da5f5286,RSI Constellation Aquila
9404da5f5286,RSI Constellation Phoenix
9404da5f5286,RSI Constellation Taurus
9404da5f5286,RSI Mantis
9404da5f5286,RSI Polaris
9404da5f5286,RSI Scorpius
9404da5f5286,RSI Scorpius Antares
cd6e65ac5f96,Anvil Arrow
cd6e65ac5f96,C.O. Mustang Alpha
cd6e65ac5f96,C.O. Mustang Beta
cd6e65ac5f96,C.O. Mustang Delta
cd6e65ac5f96,C.O. Mustang Gamma
43a27f2d05e6,Aegis Sabre Firebird
43a27f2d05e6,Aegis Vanguard Harbinger
43a27f2d05e6,MISC Freelancer MIS
614be765cd47,Aegis Gladius
614be765cd47,RSI Constellation Andromeda
ec3b346f8af0,Aegis Hammerhead
ec3b346f8af0,Anvil Arrow
ec3b346f8af0,Anvil F7C Hornet Mk I
a940b0efd39e,Aegis Gladius
a940b0efd39e,Drake Corsair
a940b0efd39e,RSI Polaris
29d3e23d9ab4,Aegis Avenger Stalker
29d3e23d9ab4,Aegis Avenger Titan
29d3e23d9ab4,Aegis Avenger Titan Renegade
29d3e23d9ab4,Aegis Avenger Warlock
29d3e23d9ab4,Aegis Eclipse
29d3e23d9ab4,Aegis Gladius
29d3e23d9ab4,Aegis Gladius Dunlevy
29d3e23d9ab4,Aegis Gladius Pirate
29d3e23d9ab4,Aegis Gladius Valiant
29d3e23d9ab4,Aegis Sabre
29d3e23d9ab4,Aegis Sabre Comet
29d3e23d9ab4,Aegis Sabre Firebird
29d3e23d9ab4,Aegis Sabre Firebird Wikelo War Special
29d3e23d9ab4,Aegis Vanguard Harbinger
29d3e23d9ab4,Aegis Vanguard Hoplite
29d3e23d9ab4,Aegis Vanguard Sentinel
29d3e23d9ab4,Aegis Vanguard Warden
29d3e23d9ab4,Anvil Arrow
29d3e23d9ab4,Anvil F7A Hornet Mk I
29d3e23d9ab4,Anvil F7C Hornet Mk I
29d3e23d9ab4,Anvil F7C Hornet Mk II
29d3e23d9ab4,Anvil F7C Hornet Wildfire Mk I
29d3e23d9ab4,Anvil F7C-M Hornet Heartseeker Mk I
29d3e23d9ab4,Anvil F7C-M Super Hornet Mk I
29d3e23d9ab4,Anvil F7C-R Hornet Tracker Mk I
29d3e23d9ab4,Anvil F7C-S Hornet Ghost Mk I
29d3e23d9ab4,Anvil Gladiator
29d3e23d9ab4,Anvil Hawk
29d3e23d9ab4,Anvil Hurricane
29d3e23d9ab4,Aopoa San'tok.yāi
29d3e23d9ab4,Banu Defender
29d3e23d9ab4,C.O. Nomad
29d3e23d9ab4,C.O. Nomad Teach's Special
29d3e23d9ab4,Crusader A1 Spirit
29d3e23d9ab4,Cutlass Black PYAM Exec
29d3e23d9ab4,Drake Buccaneer
29d3e23d9ab4,Drake Cutlass 2949 Best In Show Edition
29d3e23d9ab4,Drake Cutlass Black
29d3e23d9ab4,Drake Cutlass Blue
29d3e23d9ab4,Drake Cutlass Steel
29d3e23d9ab4,Drake Herald
29d3e23d9ab4,Esperia Blade
29d3e23d9ab4,Esperia Glaive
29d3e23d9ab4,Esperia Talon
29d3e23d9ab4,Esperia Talon Shrike
29d3e23d9ab4,Gatac Syulen
29d3e23d9ab4,Grey's Shiv
29d3e23d9ab4,MISC Freelancer
29d3e23d9ab4,MISC Freelancer DUR
29d3e23d9ab4,MISC Freelancer MAX
29d3e23d9ab4,MISC Freelancer MIS
29d3e23d9ab4,MISC Reliant Kore
29d3e23d9ab4,MISC Reliant Tana
29d3e23d9ab4,Mirai Guardian
29d3e23d9ab4,Mirai Guardian MX
29d3e23d9ab4,Mirai Guardian MX Wikelo War Special
29d3e23d9ab4,Mirai Guardian QI
29d3e23d9ab4,Mirai Guardian QI Wikelo Special
29d3e23d9ab4,Mirai Guardian Wikelo War Special
29d3e23d9ab4,Origin 300i
29d3e23d9ab4,Origin 315p
29d3e23d9ab4,Origin 325a
29d3e23d9ab4,RSI Mantis
29d3e23d9ab4,RSI Scorpius
29d3e23d9ab4,RSI Scorpius Antares
29d3e23d9ab4,RSI Scorpius Wikelo Sneak Special
29d3e23d9ab4,Syulen PYAM Exec
29d3e23d9ab4,Vanduul Blade
29d3e23d9ab4,Vanduul Glaive
29d3e23d9ab4,Vanduul Scythe
29d3e23d9ab4,Wreckage
8ce5049c8832,Drake Cutlass Black
153037ee201f,Crusader A2 Hercules Starlifter
4bb7dc3661b1,Drake Caterpillar
f57678759eaf,C.O. Mustang Delta
f57678759eaf,MISC Prospector
1d35ec3ce43c,C.O. Mustang Delta
1d35ec3ce43c,MISC Prospector
1d35ec3ce43c,Origin M50 Interceptor
1d35ec3ce43c,RSI Mantis
14440239dc56,Drake Buccaneer
14440239dc56,MISC Prospector
14440239dc56,Origin M50 Interceptor
