Size,Name,Manufacturer,Class,Grade,Shield Characteristics HP Pool,Shield Characteristics Regen Rate,Shield Characteristics Regen Time,Shield Characteristics Damaged Delay,Shield Characteristics Downed Delay,NAV-SCM Reserve Pool Regen Rate,NAV-SCM Reserve Pool Regen Time,Resistance (Max / Min) Physical,Resistance (Max / Min) Energy,Resistance (Max / Min) Distortion,Absorption (Max / Min) Physical,Absorption (Max / Min) Energy,Absorption (Max / Min) Distortion,Distortion Resistance Shutdown Dmg,Distortion Resistance Decay Delay,Distortion Resistance Decay Rate,Distortion Resistance Shutdown Time,EM Emit Min,EM Emit Max,EM Emit Decay,IR Emit Start,Power Segment Usage Min,Power Segment Usage Max,Cooling Usage Min,Cooling Usage Max,Temperature (°C) Cooling Threshold,Temperature (°C) IR Threshold,Temperature (°C) Overheat,Temperature (°C) Max,Temperature (°C) Recovery,Health,Damage Multipliers Physical,Damage Multipliers Energy,Damage Multipliers Distortion,Damage Multipliers Thermal,Damage Multipliers Biochemical,Damage Multipliers Stun,Lifetime,Self Repair Use,Self Repair Time to Repair,Self Repair Health Ratio,Mass,K µSCU
3,5CA 'Akura',Behring,Civilian,C,100 000,19 000,5.3s,6.1s,12.1s,47 500,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,5 500,4.5,366.7,19.5s,630,1 800,0.15,0,2,4,1.4,4,29.9,44.9,99.9,109.9,104.9,1 100,0.9,0.9,1,0.1,1,1,,1,98,20%,1 300,756
2,5MA 'Chimalli',Behring,Civilian,C,10 000,1 900,5.3s,5.5s,11s,4 750,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,3 500,3,233.3,18s,765,1 350,0.15,0,2,3,1.7,3,29.9,44.9,99.9,109.9,104.9,410,0.9,0.9,1,0.1,1,1,,1,56,20%,440,252
1,5SA 'Rhada',Behring,Civilian,C,3 000,570,5.3s,5s,10s,1 425,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 250,1.5,150,16.5s,382.5,900,0.15,0,1,2,0.85,2,29.9,44.9,99.9,109.9,104.9,150,0.9,0.9,1,0.1,1,1,,1,32,20%,150,84
3,6CA 'Bila',Behring,Civilian,B,100 000,20 000,5s,5.5s,11s,50 000,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,6 000,4.5,400,19.5s,630,1 800,0.15,0,2,4,1.4,4,29.9,44.9,99.9,120.9,115.9,1 300,0.9,0.9,1,0.1,1,1,,1,89.1,20%,1 300,756
2,6MA 'Kozane',Behring,Civilian,B,10 000,2 000,5s,5s,10s,5 000,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,4 000,3,266.7,18s,765,1 350,0.15,0,2,3,1.7,3,29.9,44.9,99.9,120.9,115.9,470,0.9,0.9,1,0.1,1,1,,1,50.9,20%,440,252
1,6SA 'Arbiter',Behring,Civilian,B,3 000,600,5s,4.6s,9.1s,1 500,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 600,1.5,173.3,16.5s,382.5,900,0.15,0,1,2,0.85,2,29.9,44.9,99.9,120.9,115.9,170,0.9,0.9,1,0.1,1,1,,1,29.1,20%,150,84
3,7CA 'Nargun',Behring,Civilian,A,100 000,22 000,4.5s,5s,10.1s,55 000,1.8s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,7 000,4.5,466.7,19.5s,630,1 800,0.15,0,2,4,1.4,4,29.9,44.9,99.9,131.9,125.9,1 500,0.9,0.9,1,0.1,1,1,,1,81.7,20%,1 300,756
2,7MA 'Lorica',Behring,Civilian,A,10 000,2 200,4.5s,4.6s,9.2s,5 500,1.8s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,4 550,3,303.3,18s,765,1 350,0.15,0,2,3,1.7,3,29.9,44.9,99.9,131.9,125.9,540,0.9,0.9,1,0.1,1,1,,1,46.7,20%,440,252
1,7SA 'Concord',Behring,Civilian,A,3 000,660,4.5s,4.2s,8.3s,1 650,1.8s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,2 950,1.5,196.7,16.5s,382.5,900,0.15,0,1,2,0.85,2,29.9,44.9,99.9,131.9,125.9,200,0.9,0.9,1,0.1,1,1,,1,26.7,20%,150,84
1,AllStop,Gorgon Defender Industries,Military,C,3 168,602,5.3s,5.8s,11.5s,1 505,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,3 150,1.5,210,16.5s,289.3,1 240,0.15,0,1,3,0.7,3,29.9,59.9,139.9,149.9,144.9,210,0.9,0.9,1,0.1,1,1,,1,40,20%,120,84
2,Armada,Basilisk,Industrial,D,7 200,1 296,5.6s,6.1s,12.1s,3 240,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,3 650,3,243.3,18s,1 262.3,1 980,0.15,0,3,4,2.55,4,29.9,49.9,109.9,107.9,103.9,430,0.9,0.9,1,0.1,1,1,,1,61.6,20%,590,252
3,ARMOR,Seal Corporation,Civilian,B,72 000,14 400,5s,5.5s,11s,36 000,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,6 000,4.5,400,19.5s,525,1 500,0.15,0,2,4,1.4,4,29.9,44.9,99.9,120.9,115.9,1 300,0.9,0.9,1,0.1,1,1,,1,111,20%,950,756
2,Aspis,Basilisk,Industrial,C,7 200,1 368,5.3s,5.5s,11s,3 420,2.1s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,4 200,3,280,18s,1 262.3,1 980,0.15,0,3,4,2.55,4,29.9,49.9,109.9,119.9,114.9,500,0.9,0.9,1,0.1,1,1,,1,56,20%,590,252
2,Bamoty,Yorm,Competition,D,6 400,1 152,5.6s,5.1s,10.3s,2 880,2.2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,1 700,3,113.3,18s,1 230,1 230,0.15,0,3,3,3,3,34.9,37.9,79.9,80.9,76.9,200,0.9,0.9,1,0.1,1,1,,1,77,20%,150,252
3,Barbican,Basilisk,Industrial,B,72 000,14 400,5s,5.5s,11s,36 000,2s,25 / 0,0 / 0,95 / 75,45 / 0,100 / 100,100 / 100,7 500,4.5,500,19.5s,1 686.4,2 480,0.15,0,4,5,3.4,5,29.9,49.9,109.9,131.9,126.9,1 600,0.9,0.9,1,0.1,1,1,,1,89.1,20%,1 800,756
