Size,Name,Manufacturer,Type,Damage Sustained (60s),Damage Burst,Damage Alpha,Damage Maximum,Damage Alpha Physical,Damage Alpha Energy,Damage Alpha Distortion,Damage RPM,Ammo Speed,Ammo Lifetime,Ammo Range,Ammo Quantity,Ammo Spread,Ammo Explosion Radius,Ammo Pellet Per Shot,Ammo Penetration Base Distance,Ammo Penetration Near Radius,Ammo Penetration Far Radius,Barrel Spin Time Up,Barrel Spin Time Down,Heat Per Shot,Heat Cooling Delay,Heat Cooling sec.,Overheat Max Round,Overheat Max Time,Overheat Cooldown,Capacitor Max Ammo,Capacitor Max Regen sec.,Capacitor Cooldown,Charge Action Charge Time,Charge Action Overcharge,Charge Action Overcharged,Charge Action Cooldown,Charge Modifiers Damage,Charge Modifiers Fire Rate,Charge Modifiers Ammo Speed,Distortion Resistance Shutdown Dmg,Distortion Resistance Decay Delay,Distortion Resistance Decay Rate,Distortion Resistance Shutdown Time,EM Emit Active,EM Emit Decay,IR Emit,Power Segment Usage Active,Power Segment Usage Min,Health,Damage Multipliers Max,Damage Multipliers Physical,Damage Multipliers Energy,Damage Multipliers Distortion,Damage Multipliers Thermal,Damage Multipliers Biochemical,Lifetime,Self Repair Stun,Self Repair Use,Self Repair Time to Repair,Mass,K µSCU
1,9-Series Longsword Cannon,KnightBridge Arms,Ballistic Cannon,149.3,202.5,48.6,24 057,48.6,0,0,250,1 600,1.25,2 000,495,0.5 - 0.5,,1,1.98,0.1,0.2,,,2.4,0.798,32.1,42,10.1,3.94,,,,,,,,,,,500 000,0,500 000,1s,38,0.15,0,0.1,0.1,850,0.6,1,1,1,1,1,,1,21.2,20%,76.8,84
2,10-Series Greatsword Cannon,KnightBridge Arms,Ballistic Cannon,217.8,304.1,73,35 911.1,73,0,0,250,1 600,1.44,2 304,492,0.5 - 0.5,,1,2.64,0.13,0.26,,,2.4,0.838,30.6,42,10.1,4.26,,,,,,,,,,,500 000,0,500 000,1s,38,0.15,0,0.1,0.1,850,0.6,1,1,1,1,1,,1,34.9,20%,192,252
3,11-Series Broadsword Cannon,KnightBridge Arms,Ballistic Cannon,315.6,455.3,109.3,53 428.1,109.3,0,0,250,1 600,1.63,2 608,489,0.5 - 0.5,,1,4.95,0.25,0.5,,,2.4,0.88,29.1,42,10.1,4.6,,,,,,,,,,,500 000,0,500 000,1s,38,0.15,0,0.1,0.1,2 850,0.6,1,1,1,1,1,,1,57.6,20%,480,756
5,Absolution Distortion Scattergun,Preacher Armament,Distortion ScatterGun,720,720,720,∞,0,0,720,60,700,2,1 400,∞,4 - 4,20 - 25,8,1.68,0.08,0.17,,,,,,,,,75,15,0.401,,,,,,,,500 000,0,500 000,1s,578,0.15,0,0,1.4,2 640,0.6,1,1,1,1,1,,1,87.1,20%,1 880,4 200
4,AD4B Ballistic Gatling,Behring,Ballistic Gatling,1 108.5,1 266,84.4,440 568,84.4,0,0,900,900,3.33,2 997,5 220,0.756 - 0.756,,1,2.2,0.11,0.22,0.198,0.397,0.508,0.485,31.7,197,13.1,2.23,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,1 650,0.6,1,1,1,1,1,,1,37,20%,375,2 100
5,AD5B Ballistic Gatling,Behring,Ballistic Gatling,1 592.6,1 897.5,126.5,633 006,126.5,0,0,900,900,3.67,3 303,5 004,0.792 - 0.792,,1,3.3,0.17,0.33,0.228,0.456,0.573,0.509,30.2,175,11.7,2.41,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,1 650,0.6,1,1,1,1,1,,1,61,20%,938,4 200
6,AD6B Ballistic Gatling,Behring,Ballistic Gatling,2 352.9,2 848.5,189.9,898 986.6,189.9,0,0,900,900,4,3 600,4 734,0.828 - 0.828,,1,5.5,0.28,0.55,0.262,0.524,0.654,0.534,28.8,153,10.2,2.61,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,1 650,0.6,1,1,1,1,1,,1,101,20%,2 340,7 560
1,APAR BallisticScatterGun S6,Apocalypse Arms,Ballistic ScatterGun,355,355,355,582 555,355,0,0,60,1 000,7.5,7 500,1 641,4 - 4,,1,0.528,0.03,0.05,,,0,0.2,32.4,,,0.986,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,16.2,20%,60,7 560
1,Ardor-1 Salvaged Repeater,Hurston Dynamics,Laser Repeater,306.2,427,73.2,∞,0,73.2,0,350,1 000,2,2 000,∞,0.3 - 0.3,,1,0.3,0.02,0.03,,,,,,,,,75,15,0.66,,,,,,,,500 000,0,500 000,1s,167,0.15,0,0,0.45,524,0.6,1,1,1,1,1,,1,9.99,20%,24,84
2,Ardor-2 Salvaged Repeater,Hurston Dynamics,Laser Repeater,457.8,639.9,109.7,∞,0,109.7,0,350,1 000,2.3,2 300,∞,0.3 - 0.3,,1,0.4,0.02,0.04,,,,,,,,,75,15,0.693,,,,,,,,500 000,0,500 000,1s,223,0.15,0,0,0.6,850,0.6,1,1,1,1,1,,1,16.5,20%,60,252
3,Ardor-3 Salvaged Repeater,Hurston Dynamics,Laser Repeater,631.1,884.3,151.6,∞,0,151.6,0,350,1 000,2.6,2 600,∞,0.3 - 0.3,,1,0.75,0.04,0.08,,,,,,,,,75,15,0.727,,,,,,,,500 000,0,500 000,1s,278,0.15,0,0,0.75,1 024,0.6,1,1,1,1,1,,1,27.2,20%,150,756
1,Attrition-1 Repeater,Hurston Dynamics,Laser Repeater,278.2,388,66.5,∞,0,66.5,0,350,1 000,2,2 000,∞,0.5 - 0.5,,1,0.3,0.02,0.03,,,,,,,,,75,15,0.66,,,,,,,,500 000,0,500 000,1s,167,0.15,0,0,0.45,524,0.6,1,1,1,1,1,,1,9.99,20%,24,84
2,Attrition-2 Repeater,Hurston Dynamics,Laser Repeater,416.1,581.7,99.7,∞,0,99.7,0,350,1 000,2.3,2 300,∞,0.5 - 0.5,,1,0.4,0.02,0.04,,,,,,,,,75,15,0.693,,,,,,,,500 000,0,500 000,1s,223,0.15,0,0,0.6,850,0.6,1,1,1,1,1,,1,16.5,20%,60,252
3,Attrition-3 Repeater,Hurston Dynamics,Laser Repeater,561.1,786.2,134.8,∞,0,134.8,0,350,1 000,2.6,2 600,∞,0.5 - 0.5,,1,0.75,0.04,0.08,,,,,,,,,75,15,0.727,,,,,,,,500 000,0,500 000,1s,278,0.15,0,0,0.75,1 024,0.6,1,1,1,1,1,,1,27.2,20%,150,756
4,Attrition-4 Repeater,Hurston Dynamics,Laser Repeater,839.5,1 179.4,202.2,∞,0,202.2,0,350,1 000,3,3 000,∞,0.5 - 0.5,,1,1,0.05,0.1,,,,,,,,,75,15,0.764,,,,,,,,500 000,0,500 000,1s,334,0.15,0,0,0.9,1 650,0.6,1,1,1,1,1,,1,44.9,20%,375,2 100
4,Attrition-4 Repeater (Point Defense Turret),Hurston Dynamics,Laser Repeater,622.8,875,150,∞,0,150,0,350,2 400,3,7 200,∞,0.5 - 0.5,,1,1,0.05,0.1,,,,,,,,,75,15,0.764,,,,,,,,500 000,0,500 000,1s,334,0.15,0,0,0.9,1 650,0.6,1,1,1,1,1,,1,44.9,20%,375,2 100
5,Attrition-5 Repeater,Hurston Dynamics,Laser Repeater,1 394.6,1 964.6,336.8,∞,0,336.8,0,350,1 000,3.3,3 300,∞,0.5 - 0.5,,1,1.5,0.08,0.15,,,,,,,,,75,15,0.802,,,,,,,,500 000,0,500 000,1s,390,0.15,0,0,1.05,2 640,0.6,1,1,1,1,1,,1,74.1,20%,938,4 200
6,Attrition-6 Repeater,Hurston Dynamics,Laser Repeater,2 086.8,2 947.9,505.4,∞,0,505.4,0,350,1 000,3.6,3 600,∞,0.5 - 0.5,,1,2.5,0.13,0.25,,,,,,,,,75,15,0.842,,,,,,,,500 000,0,500 000,1s,446,0.15,0,0,1.2,4 224,0.6,1,1,1,1,1,,1,122,20%,2 340,7 560
2,ATVS Repeater,Behring,Distortion Repeater,142.5,225,27,∞,0,0,27,500,1 430,1.61,2 302,∞,0.55 - 0.55,18 - 28,1,0.56,0.03,0.06,,,,,,,,,75,15,0.5,,,,,,,,500 000,0,500 000,1s,243,0.15,0,0,0.6,850,0.6,1,1,1,1,1,,1,16.5,20%,90,252
